Datetime,Username,Text,Cleaned_Tweets
7/3/2023,??Tantiga Ahgase ??,I'm very worried dear ?? https://t.co/Fxe5nKrSJV,im worried dear
8/3/2023,Matthews Izzac,"I’m not worried about our defending now. I’ll only be worried when the clock hits 85min + extra time. 

That’s when we defend like Milwall FC,

It’s just a Chelsea thing. ??

#CHEBVB #UCL #CFC",im worried defending ill worried clock hit min extra time thats defend like milwall fc chelsea thing
10/3/2023,Skid??,I hope Seungmin and Han get enough rest tonight. Hmmmmm so worried,hope seungmin han get enough rest tonight hmmmmm worried
10/3/2023,Fred Johns ????,"Im totally not worried about a run on one of my banks because the chairman of the nation’s accounting regulatory authority sits on the board of that bank. 

Sounds like absolutely no conflict of interest.",im totally worried run one bank chairman nation accounting regulatory authority sits board bank sound like absolutely conflict interest
10/3/2023,MD,"I have a graduate trainee in my department. Our big boss didnt assign her to anyone in person. Whoever gives her assignments will do the monitoring. But I’m worried with this fella, even after a few months of her tenure, she still didnt know about our stakeholders in general.",graduate trainee department big bos didnt assign anyone person whoever give assignment monitoring im worried fella even month tenure still didnt know stakeholder general
10/3/2023,??,Happy that it got postponed but low key worried that this is never endingggg,happy got postponed low key worried never endingggg
10/3/2023,Sony Thang,"@PowerUSAID You should be more worried about the ecological disaster in the Baltic Sea after your govt blew up the Nordsteam pipeline. 
Vietnam is no dupe about USAID!",worried ecological disaster baltic sea govt blew nordsteam pipeline vietnam dupe usaid
11/3/2023,Andy Pickering,"@IncheonLuke @ajosshi I will going in Onion style multi layers.

My GF worried she hasnt been in vold weather for 4 years , plus she off to visit her Aunt in Sweden for a few days.

Dont think Singapore style gonn help her ????????",going onion style multi layer gf worried hasnt vold weather year plus visit aunt sweden day dont think singapore style gonn help
11/3/2023,Quentin ??,"Wow interesting to see all this fear in the space ??

I’m seeing a lot of threads saying they’re worried about USDC and the recommend to swap to cash to a bank account.

Thought banks were bad and web3 was the way ??",wow interesting see fear space im seeing lot thread saying theyre worried usdc recommend swap cash bank account thought bank bad web way
12/3/2023,Vilakshan Jakhu,@RAJUPAUNIKAR @venkat1962 Little too late for that. Besides it’s not the lotus we should be worried about it’s the puppet masters of theirs! https://t.co/mdQ4AaC8Yq,little late besides lotus worried puppet master
13/3/2023,{??tensai},i am sometimes worried that i am ungrateful. is the outside world much worst than where i am at?,sometimes worried ungrateful outside world much worst
13/3/2023,??????Brandish 100YQ Anime Confirmed??????,"Hated to say this but sometimes Shiki made us worried and uneasy due his desire of making friends; I mean as admirable as it was, he needs to understand that not everyone had redemption. @shikigranbellED @WorldOfAnime12 @OliviaBalafika @FirePhoenixFT @Mohamed79913530 https://t.co/6P7oOBjB06",hated say sometimes shiki made u worried uneasy due desire making friend mean admirable need understand everyone redemption
13/3/2023,?? Nat Kang Comedy ????,"Regarding the logic of the government office dress code for civilians...

... usually few counters open, not many civil servants to look at the 'indecent' clothing...

... and other civilians usually too lost or worried looking at the ticket numbers to bother looking also... ? https://t.co/MUpYcqoATI",regarding logic government office dress code civilian usually counter open many civil servant look indecent clothing civilian usually lost worried looking ticket number bother looking also
14/3/2023,Syazleen Sies,I love how shawn is extremely worried of how this tropical girl is going to be in the cold. He’s been a little extra on the layers that I have to pack and checking every clothes I want to bring whether it’s “thick” enough.,love shawn extremely worried tropical girl going cold he little extra layer pack checking every clothes want bring whether thick enough
14/3/2023,sativa au chocolat,"Thai people are so sweet the waitress saw me eating tom yum with my nose running, eyes watering, and was so worried for me she offered me bread and ice cream (apparently that’s not a normal reaction ??). And she said sorry for the thai chili 10 times like ma’am I’m enjoying it!!",thai people sweet waitress saw eating tom yum nose running eye watering worried offered bread ice cream apparently thats normal reaction said sorry thai chili time like maam im enjoying
14/3/2023,El,"My man @saylor is never worried about a bank run, because he runs the treasury with #Bitcoin https://t.co/Y8pcbhVRMx",man never worried bank run run treasury
14/3/2023,Ryssa Gonzalez,"At A & E ,worried sick again, back tht feeling????heavy heart as mum admitted to hospital again ! Waiting still at the hospital at 3.57am here . I don’t really like hospital visit , brings sad memories! like who wld anyways ??hope mom will fight this like she use to last year! ????",e worried sick back tht feelingheavy heart mum admitted hospital waiting still hospital dont really like hospital visit brings sad memory like wld anyways hope mom fight like use last year
14/3/2023,BrotherBatu Return,"During his so-called vacations in London, Muhyiddin was incredibly worried that he might suffer the same fate as Najib. After weeks in the U.K., there were fears that the ex-premier might have fled to London to avoid prosecution and never returned to face the music.",socalled vacation london muhyiddin incredibly worried might suffer fate najib week uk fear expremier might fled london avoid prosecution never returned face music
16/3/2023,Sasha????,"People/companies building in web3 should worry as much about onboarding web2 

as people/companies that built email worried about onboarding snail mail",peoplecompanies building web worry much onboarding web peoplecompanies built email worried onboarding snail mail
16/3/2023,loladiane008 ????????????,"@sonymusicsg confirming I could join the exclusive event in SG so I rebooked my flight to 5am-ish next day. From Elyu, packed my bag and went to the airport but unable to board the plane so I rebooked again for 12noon-ish. Was worried I won’t make it to the event ?? +++ https://t.co/qWhKaSHhBj",confirming could join exclusive event sg rebooked flight amish next day elyu packed bag went airport unable board plane rebooked noonish worried wont make event
17/3/2023,iDollaSEA ????????,@idollaclub @nerdcremepuff That’s good coz worried I miss it too. You know la…I tidur awal.??????,thats good coz worried miss know lai tidur awal
18/3/2023,World Traveler Smitty,"@NickCampana4 @madmen_sports @uSTADIUM Played Rodgers last season as well. It was fun lol.

Bills will get back to running over the Jets. Not worried about anyone in the divison.",played rodgers last season well fun lol bill get back running jet worried anyone divison
23/3/2023,Brad Burgess,@ChuckCallesto Why aren't they worried about the atrocities in Myanmar and other parts of the world ? Was peaceful there when Trump cared.,arent worried atrocity myanmar part world peaceful trump cared
23/3/2023,Conny Brunnkvist,"Perhaps not in the name of political correctness to say but, 
with regards to teen-fads, I worry that #GenerationTikTok is going to turn out the most retarded ever ???? https://t.co/4i7xFQSKmL",perhaps name political correctness say regard teenfads worry going turn retarded ever
23/3/2023,???? ????? ????,I’m worried about my baby actually but she’s seems look fine inside the tummy.,im worried baby actually shes seems look fine inside tummy
24/3/2023,Jan Robert Nikkanen,"I don’t understand that china have Tiktok under own control, so Gay tiktok is! China government don’t accept that! I don’t worry at all about that! Impossible to control millions tiktok in second!",dont understand china tiktok control gay tiktok china government dont accept dont worry impossible control million tiktok second
24/3/2023,SkinCo by The Daily Essencials,"Missed our Grand Opening day? Don’t worry, we’ve got you covered. Catch a glimpse of all the action during the event. (Part 1)

Enjoy watching ??

#SkinCoSGOpening
#AlexaGoesToSkinCo #TheDailyEssencials #AlexaforTheDailySkin #SkinCoSG #TheDailySkin https://t.co/ytYyJSGKiq",missed grand opening day dont worry weve got covered catch glimpse action event part enjoy watching
24/3/2023,Aidah Samah,"Dont worry, be happy... https://t.co/ZpszXr6dJ7",dont worry happy
24/3/2023,Football Manager Ed ????,@tsukiyaii It's a worry everywhere especially those aging nations macam Japan. Sebab tu time Shinzo Abe meninggal dulu meme ni popular sebab issue low population (I assume)... https://t.co/N3kPHob47q,worry everywhere especially aging nation macam japan sebab tu time shinzo abe meninggal dulu meme ni popular sebab issue low population assume
24/3/2023,Matt Anderson,"@NeilPagey I’ve been exercising a lot, fast 16 hours a day, don’t smoke, rarely drink. You can’t assume anything!
Well worth an annual checkup, too many of us just don’t worry…!",ive exercising lot fast hour day dont smoke rarely drink cant assume anything well worth annual checkup many u dont worry
24/3/2023,Matt Anderson,"@lancaster_rona Agree on the tests, most people just don’t worry until something comes along! Good luck with your bypass.",agree test people dont worry something come along good luck bypass
24/3/2023,?? Nat Kang Comedy ????,"PN, PN. Always worried about youths being corrupted by the creative industries, but never by drugs, child marriage, or even not having clean water. https://t.co/fehmFgIBAj",pn pn always worried youth corrupted creative industry never drug child marriage even clean water
24/3/2023,MC10,@jowen123456 @IFTVofficial Maybe for the first trial but Prisma trial is the one they are worried about !,maybe first trial prisma trial one worried
25/3/2023,Mario Hennenberger,"@ProfessorF @elonmusk nothing to worry, microsoft will ruin it in the process, thats what they do best after all ;)",nothing worry microsoft ruin process thats best
26/3/2023,Ranajit Dam ??,"Of all the things Lebanon has to worry about, this shouldn't have been one https://t.co/tnLDfJMkas",thing lebanon worry shouldnt one
26/3/2023,Adam,@eustachianRP @trader1sz What tf- I’d only worry about daily tbh,tf id worry daily tbh
