Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-30 22:11:21+00:00,thekangbae,It seems that when I’m stress I eat more but when I’m annoyed I eat lesser (like really less) but since yesterday till now things just still making me annoyed for several reasons but I still have to try calm myself down because ya know bulan puasa,Malaysia,seems im stress eat im annoyed eat lesser like really le since yesterday till thing still making annoyed several reason still try calm ya know bulan puasa
2023-03-30 12:25:22+00:00,Tomy0109,"@Politruk69 @KyivIndependent Actually my world is in china. I live there. LoL. I hope you like noodles because they're going to force you to eat them. 

BTW: It's in Brazil that 20% of the people living with less than 2$ per day? Before wanted to become the king of the world try to buy a crown.","Bangkok, Thaïlande",actually world china live lol hope like noodle theyre going force eat btw brazil people living le per day wanted become king world try buy crown
2023-03-30 10:30:23+00:00,IEatRainbows100,The less you meddle in a situation or strongarm anyone into se... More for Leo https://t.co/KrXOMqtIuu,Victoria,le meddle situation strongarm anyone se leo
2023-03-30 09:49:45+00:00,Awise_dumbass,"Less sleep + didn't eat lunch, I feel tired yet hungry",Southeast Asia ,le sleep didnt eat lunch feel tired yet hungry
2023-03-30 07:56:14+00:00,darsini_m,"Set a new record for myself! 
All it took was less that 24hrs to totally ruin my appetite. Ppl just kept feeding me food. Now I can’t eat anything 
It’s been almost a day since I had a proper meal. Let’s see how many days it takes for me to get back to normal",Malaysia,set new record took le hr totally ruin appetite ppl kept feeding food cant eat anything almost day since proper meal let see many day take get back normal
2023-03-30 03:39:37+00:00,Allfian_1,"Only one answer it seems. Not enough calorie. 
Either I eat less (which I doubt, because hun I eat tons of food), or I spend so much energy (which is even more unlikely because hun I admit my lazy ass loves to sleep all day long)","Tawau, Sabah",one answer seems enough calorie either eat le doubt hun eat ton food spend much energy even unlikely hun admit lazy as love sleep day long
2023-03-30 03:39:00+00:00,tepokdion,"But if you notice working animals, that you would expect you would want to be more docile than food animals as a matter of safety are general not white (horses, donkeys, carabaos). Why? Because we rarely eat them, so the aesthetics of the fur matters less.",,notice working animal would expect would want docile food animal matter safety general white horse donkey carabao rarely eat aesthetic fur matter le
2023-03-30 03:10:24+00:00,Fameclaire,@SeketulOuro I can agree with ppl telling me to eat less meat but forcing me to go vegan ughhh,Sabah,agree ppl telling eat le meat forcing go vegan ughhh
2023-03-29 20:11:48+00:00,Me56gk,@realsteelmuslim U said less than 1% of Chinese population eat dog in your own word.,Taiwan,u said le chinese population eat dog word
2023-03-29 15:46:54+00:00,terrygoncalves9,"@SSDandala @ReneVanderVyver Yes  we can see by all the cultural things found like flushing toilets and BMW motor spares...
Eat some more banana, relax and be less racist.!!!
#FuckQueenRamaphosa
#FokOffANC
@MYANC 
@PresidencyZA
@CyrilRamaphosa","South Semarang, Indonesia",yes see cultural thing found like flushing toilet bmw motor spare eat banana relax le racist
