Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-29 06:11:49+00:00,ZamanAshraf,"#Bangladesh #CID_Police has picked-up #journalist #Samsuzzaman from his Savar home in the early hours for writing a report on #IndependenceDay quoting a day labourer who asked: ""What to do with independence if we can't afford food?"" @UN_SPExperts @UN_HRC
https://t.co/J9tTgmU6GI","Kowloon, Hong Kong",pickedup savar home early hour writing report quoting day labourer asked independence cant afford food
2023-03-29 04:44:17+00:00,hey_dude0,"@theRealKiyosaki only buy food saves more, who need Prada, Panerai, Polo, those can afford won’t care about price",Singapore,buy food save need prada panerai polo afford wont care price
2023-03-28 20:06:59+00:00,Reita6231,"@cafreeland Wow, you got money to buy new shoes and new clothes….lots Canadians can’t even afford foods and heat…",Hongkong,wow got money buy new shoe new clotheslots canadian cant even afford food heat
2023-03-28 17:22:08+00:00,Im_Nirjon,"@D8Omkar @iSoumikSaheb Mate this is just a kid what  you expect from a roadside poor kid they barely can afford food,they don't have those kind of mentality,our so called journalist used that kid to get some headlines.","Dhaka,Bangladesh",mate kid expect roadside poor kid barely afford foodthey dont kind mentalityour called journalist used kid get headline
2023-03-28 12:47:30+00:00,nidraaa_,@ShoronTiham Eating something different everyday is ofcourse a desire for all of us but at least you're getting some decent food everyday whereas many people can't even afford any food. So we should be thankful for that.,"Dhaka, Bangladesh",eating something different everyday ofcourse desire u least youre getting decent food everyday whereas many people cant even afford food thankful
2023-03-28 06:26:28+00:00,smartmama,"Really.  Corruption has travelled in the blood. Country has come to this stage  where people can't afford food. They can be sold at one plate of biryani.  Which comes first, stomach  or vote.",x,really corruption travelled blood country come stage people cant afford food sold one plate biryani come first stomach vote
2023-03-27 16:00:22+00:00,Jonatha46362971,This is utterly heartbreaking. This poor dinner lady has to take food away from children in the school lunch queue because their parents can’t afford to pay for it. What have we come to as a country? #costofliving,Thailand,utterly heartbreaking poor dinner lady take food away child school lunch queue parent cant afford pay come country
2023-03-27 15:57:30+00:00,sol_tonyjaisol4,"This idiot, the cost of living is what is bringing down birth rates… people can’t afford to have children because rent/mortgages, food, utilities etc are way beyond the pay scale 98% of Americans earn.",Indonesia jawa,idiot cost living bringing birth rate people cant afford child rentmortgages food utility etc way beyond pay scale american earn
2023-03-26 12:41:18+00:00,yonggrass_miri,"@Enigma89605185 @fmtoday If they can afford to be choosy, ok.
If cannot put food on the table please don't do illegal things. 
Poor people eat to live, rich people can choose when to eat. Poor had problem earning money, money can cause problems by the wrong rich.",Sarawak ,afford choosy ok put food table please dont illegal thing poor people eat live rich people choose eat poor problem earning money money cause problem wrong rich
2023-03-26 05:47:25+00:00,itsshevanessa97,"As you grow old:
Its not about the success, but its all about, sustaining and surviving everyday,
Its all about eating good food, buying things you'd crave for since then, going to places you've never been for you can't afford it wayback then.","Caloocan City, National Capita",grow old success sustaining surviving everyday eating good food buying thing youd crave since going place youve never cant afford wayback
2023-03-26 04:18:39+00:00,seungvoirs,@whoisthisbitc11 THAT IS SO TRUE !! my school is surrounded by super big mansions but all the residents look like they can’t afford food 😭,Singapore,true school surrounded super big mansion resident look like cant afford food
2023-03-25 15:33:32+00:00,kadijah_jay,Dear Muslims is not just to fast but fast pray 🙏 give food to those who can't afford food many are suffering yet feels shameful to ask or don't have who to assist them be kind and help even though you are not ask to lets spread 💕 and generous,Republic of the Philippines,dear muslim fast fast pray give food cant afford food many suffering yet feel shameful ask dont assist kind help even though ask let spread generous
2023-03-25 12:44:35+00:00,48_Crash,"@team_greenhalgh We can't afford to heat our homes, the supermarkets look like 80s East Germany and the food they've got we can't afford - what do you expect?",Cotswolds,cant afford heat home supermarket look like east germany food theyve got cant afford expect
2023-03-24 15:48:12+00:00,PaulTor37394981,@stillgray Do not dance if you can’t afford the band. Junk food for the losers who are cheap.,Turtle Island,dance cant afford band junk food loser cheap
