Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-30 18:50:33+00:00,jeffscribbles,Sorry Tonton Gutierrez and Rita Avila that you had to endure this cheap stunt. Gi coveran intawn ni Tonton ang food kay nagpa electric fan with styro effect.,Cebu City,sorry tonton gutierrez rita avila endure cheap stunt gi coveran intawn ni tonton ang food kay nagpa electric fan styro effect
2023-03-30 11:55:00+00:00,khwaichokfung,"@Silverback141 @DejaRu22 That’s what I did. Cheap. Sunny. Good food. I gave up creature comforts to be out of the cities, which are becoming westernized at an increasing rate.",Thailand,thats cheap sunny good food gave creature comfort city becoming westernized increasing rate
2023-03-30 10:40:10+00:00,DJKAZWAL,"Providing cheap and healthy food sa schools, offices, also charity events. 

Yea. Thats the dream","Lopez, Quezon",providing cheap healthy food sa school office also charity event yea thats dream
2023-03-30 08:28:27+00:00,zaina350,"@rileybrown_ai Athens Greece .. super cheap phenomenal weather, fresh food in a good timezone, only caveat, don’t run your banking in Greece",Singapore,athens greece super cheap phenomenal weather fresh food good timezone caveat dont run banking greece
2023-03-29 08:55:13+00:00,theOCDspy,"Went to Hoi An for the weekend, amazing how everything is still so cheap there, I think I only spent around $500 for 4 days on food and drinks?",Hong Kong,went hoi weekend amazing everything still cheap think spent around day food drink
2023-03-29 08:39:19+00:00,bbbyourluve,"@buildyoursummer OK hot and humid.. I live in Greece so I won't have problem with BKK me thinks
Also food seems very cheap!",Thailand,ok hot humid live greece wont problem bkk think also food seems cheap
2023-03-28 15:32:01+00:00,AntaraEnglish,NFA bolsters Cheap Food Movement to ensure price stability https://t.co/qg3MyLHXVr,Indonesia,nfa bolster cheap food movement ensure price stability
2023-03-28 14:51:10+00:00,faezmaleksss,"Real men don’t :

1) Don’t complain cheap food on social media
2) Never argue small petty things
3) Not belittle other people
4) Always mind their words
5) Just follow the flow
6) Never trade their time to waster
7) Don’t eat like shit
8) Talk good only","Alor Star, Kedah",real men dont dont complain cheap food social medium never argue small petty thing belittle people always mind word follow flow never trade time waster dont eat like shit talk good
2023-03-28 11:25:31+00:00,zachsparrowe,@BellyDanceFanC1 @HorrorGorl Not sure the exact number but it’s extremely cheap. Average rent price for an apartment is between 250-500 dollars. Food is usually 1-2 dollars a meal. It costs like 3 dollars to fill up my motor bike with gas,"Ho Chi Minh, Vietnam",sure exact number extremely cheap average rent price apartment dollar food usually dollar meal cost like dollar fill motor bike gas
2023-03-28 09:05:45+00:00,Devinarde,"@Divyeshj18 @ShishirShelke1 Come. We have indoor ski resorts that actually make it feel like the real thing, electric cars everywhere for cheap, food is cheap, soon we'll resurrect dinosaurs or something.",Hong Kong,come indoor ski resort actually make feel like real thing electric car everywhere cheap food cheap soon well resurrect dinosaur something
2023-03-28 05:19:06+00:00,Tabdeeli_,"With food #inflation hitting up to 42 percent in urban areas, a large number of consumers have opted for slightly cheap but ‘high quality’ Iranian ‘smuggled’ products, such as oil and cheese, readily available in #Rawalpindi and #Islamabad.
#tabdeeli https://t.co/qIjlEJIV6q",Islamabad,food hitting percent urban area large number consumer opted slightly cheap high quality iranian smuggled product oil cheese readily available
2023-03-28 02:53:33+00:00,xiaoenna,We don’t disturb u! U stay and eat cheap food please respect my people.,"Sabah, Malaysia",dont disturb u u stay eat cheap food please respect people
2023-03-28 01:59:55+00:00,imaan_khasru,"Thailand is THE tourist country, I can’t wait to see clueless YTs gorge on food that they think is cheap but is actually priced higher on the English menu &amp; talk about how zen they feel in elephant print pants LMAO","Dhaka, Bangladesh",thailand tourist country cant wait see clueless yts gorge food think cheap actually priced higher english menu amp talk zen feel elephant print pant lmao
2023-03-28 01:19:11+00:00,RichardGmoney,"@Emmonspired Malaysia. Great food, top notch Healthcare that is dirt cheap, very safe.  Very family friendly. Not as populated as other places. 

I've been here for a couple months now. Love it. Also it has lots of options for work visas and stuff.",S.E Asia,malaysia great food top notch healthcare dirt cheap safe family friendly populated place ive couple month love also lot option work visa stuff
2023-03-27 19:02:58+00:00,onions80661343,"Spring - 'chemical spills and/or food processing factories burning down, celebrity trails, mass shootings 

Summer - police brutality stuff

Fall - cheap gas, politics stuff 

Winter - they vote away some basic fundamental right/way of life without warning ( gas stove,abortions)",Austria,spring chemical spill andor food processing factory burning celebrity trail mass shooting summer police brutality stuff fall cheap gas politics stuff winter vote away basic fundamental rightway life without warning gas stoveabortions
2023-03-27 18:32:50+00:00,DogeBillionairr,"@NFTantalus @edw4rs Has most of Thai perks (cheap, sunshine, food, beach) but don’t expect much nightlife. Basically a retirement village","Bali, Indonesia",thai perk cheap sunshine food beach dont expect much nightlife basically retirement village
2023-03-27 11:03:31+00:00,Nanwongroi,"The taste was good, The food was cheap. #Bangkok 🍜 https://t.co/Kp4S0EWm5Z","Bangkok, Thailand",taste good food cheap
2023-03-27 08:03:10+00:00,ItsYourTanmoy,"Train No 13010
Rishikesh to howrah
Coach no B3 Seat No 42
Rs.130 per thali Veg 
Chole ki sabji hain ya panni ka sabji samaj hi nahi aa raha hai
Bohot achha @IRCTCofficial 
@AshwiniVaishnaw sir please take action against the persons who are giving this cheap food to us https://t.co/1wirXlUKE7","Tripura,India",train rishikesh howrah coach b seat r per thali veg chole ki sabji hain ya panni ka sabji samaj hi nahi aa raha hai bohot achha sir please take action person giving cheap food u
2023-03-26 23:11:24+00:00,worldwidebags,"wholesale cheap large waterproof non woven #insulated cooler bags for #food
https://t.co/Np0kmCkd77 https://t.co/ISmNzDoyC4","Xiamen,China",wholesale cheap large waterproof non woven cooler bag
2023-03-26 15:50:55+00:00,MohdRidzuanIsa1,"@JKSteinberger you really like to have billions die don't you? bold of you to assume your ilk wont be the first to go. ramping down fossil fuel without a viable alternative would mean no more modern products, no more cheap products across the globe, markedly less food material etc.",kuala lumpur,really like billion die dont bold assume ilk wont first go ramping fossil fuel without viable alternative would mean modern product cheap product across globe markedly le food material etc
2023-03-26 14:27:56+00:00,loz_dude,"@toadmeister As a vegetarian who loves Italian food, I am very happy at this news.
But I suspect that any food producer that uses bugs will find that they are targeting a very small niche market - it will probably appear in cheap snacks first.","Petaling Jaya, Malaysia",vegetarian love italian food happy news suspect food producer us bug find targeting small niche market probably appear cheap snack first
2023-03-26 12:11:47+00:00,Foeslasher,"@nekoyamamegumi @KKishimei For real for real, not only were food cheap but almost everything else was",Singapore,real real food cheap almost everything else
2023-03-25 07:29:09+00:00,Lencario,"Lunch is cheap!

Apparently you need to purchase a card for credits and use that card to order food. Very interesting. 

Also, pomegranate refreshments for 50 baht. Yay! https://t.co/N59FL796re","Petaling Jaya, Selangor",lunch cheap apparently need purchase card credit use card order food interesting also pomegranate refreshment baht yay
2023-03-25 07:21:18+00:00,MakanTimes,"15 Chinatown Complex Food Stalls For Cheap Xiao Long Bao, Michelin-Approved Chicken Rice And More - Eatbook https://t.co/UmA525yYHe",Singapore Focus,chinatown complex food stall cheap xiao long bao michelinapproved chicken rice eatbook
2023-03-25 06:47:08+00:00,ScottG84954603,"@spriter99880 Get ready my fellow countrymen, after education and healthcare we will give up basic needs such as shelter and food. 
As you know these responses don't come cheap...",Singapore,get ready fellow countryman education healthcare give basic need shelter food know response dont come cheap
2023-03-24 15:48:12+00:00,PaulTor37394981,@stillgray Do not dance if you can’t afford the band. Junk food for the losers who are cheap.,Turtle Island,dance cant afford band junk food loser cheap
2023-03-23 10:32:44+00:00,LoudDunkMummy,Lawson's newly opened their counter in my city n my husband won't miss out. Kinda strange because whenever we to to Jpn/Korea and i ask to buy food from Lawson he'd call me out for being cheap 🤣🤣🤣 https://t.co/m8rpN8D65r,,lawsons newly opened counter city n husband wont miss kinda strange whenever jpnkorea ask buy food lawson hed call cheap
2023-03-21 06:10:02+00:00,GregoryLeow,"Cheap and good wanton mee! (Toa Payoh, singapore; street food)
https://t.co/oumT0lV8lx",singapore,cheap good wanton mee toa payoh singapore street food
2023-03-20 23:49:40+00:00,sawahdicup,"Like, ""you can not afford this uniqlo clothes since you are poor"" or, ""your shoes so ugly, it must be cheap"", or  ""please take this food away because I know you can not afford dinner, right?"" I completely know they were just joking around, indeed.",Under the willow,like afford uniqlo clothes since poor shoe ugly must cheap please take food away know afford dinner right completely know joking around indeed
2023-03-18 11:30:37+00:00,mofiercee,"Nice place to chill in Miri with live band on weekends. Cheap foods as well! (@ De Tanjong Miri in Miri, Sarawak) https://t.co/mMgfmUoeIj https://t.co/394xXslbbT",,nice place chill miri live band weekend cheap food well de tanjong miri miri sarawak
2023-03-17 13:30:03+00:00,RalphEmmers,Look oysters are not fancy. It’s cheap mariner food. Americans make everything about status, 特别行政区,look oyster fancy cheap mariner food american make everything status
2023-03-15 04:17:30+00:00,msiarabbitowner,"Maybe when I was younger idk why but Klang really a nice place actually, cheap food, free parking most of the time because MPK is lazy and fewer traffic jams",Malaysia,maybe younger idk klang really nice place actually cheap food free parking time mpk lazy fewer traffic jam
2023-03-13 13:31:11+00:00,ssqventuresJB,@levelsio Cheap street food is at your doorstep. Hunker down and build for a year and you can live comfortably without hassle moving around in cheap dorms etc,"Bangkok, Thailand",cheap street food doorstep hunker build year live comfortably without hassle moving around cheap dorm etc
2023-03-11 13:28:14+00:00,GLENN_MJ,Hungry steak sa Cebu Yacht Club - food was relatively cheap but tasted so good!,,hungry steak sa cebu yacht club food relatively cheap tasted good
2023-03-10 08:27:18+00:00,food_blogger,Sometimes a cheap sushi dinner is just what you want. https://t.co/WJ65qqoZbK,South Central SG,sometimes cheap sushi dinner want
2023-03-09 03:54:47+00:00,LauraNineham,"I managed to tick off my food list during my short time in #Hanoi, but there are so many places I didn’t get time to visit!
Made sure to try the egg coffee, Bánh cuốn, Phở &amp; Bún Chả. All were delicious and cheap 😋 https://t.co/yC6YK7FBy6",United Kingdom,managed tick food list short time many place didnt get time visit made sure try egg coffee bnh cun ph amp bn ch delicious cheap
2023-03-08 04:27:53+00:00,SoCal360,"Da Nang, Vietnam. Food here are insanely cheap! 🇻🇳 https://t.co/cLIX9vLSau",Sunny Southern California,da nang vietnam food insanely cheap
