Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-30 15:29:40+00:00,FrieddChickit,"i hope u are the one who always reminds him to get some nutritious food and get enough sleep on time. If he said that he has no appetite pls call me asap, i’ll deliver u his fav meal and pls take it for him. He also has an eye allergic so don’t let him playing the phone too—",Indonesia,hope u one always reminds get nutritious food get enough sleep time said appetite pls call asap ill deliver u fav meal pls take also eye allergic dont let playing phone
2023-03-28 07:38:47+00:00,CHENCHENPPE,"@fsl040331 555，I seldom control him. But I told him not to interfere with eating.If you don't eat enough nutritious food, will not be able to grow tall and will obese.5555，Become a fat man like mom.",ประเทศไทย,seldom control told interfere eatingif dont eat enough nutritious food able grow tall obesebecome fat man like mom
2023-02-28 08:55:59+00:00,Hydro_Medical,"First and foremost, it's important to prioritize self-care while traveling. This can include getting enough sleep, staying hydrated, eating nutritious food, and taking time for relaxation and rejuvenation.","Bali, Indonesia",first foremost important prioritize selfcare traveling include getting enough sleep staying hydrated eating nutritious food taking time relaxation rejuvenation
2022-10-16 15:43:58+00:00,faizalhamssin,"Wear your perfume; not bathe in it.

Eat nutritious food. Sweat it out regularly. Drink enough water. Then, you’ll notice that one spray on the chest is all it takes; the perfume will blend nicely with your natural smell, and you will smell just nice and pleasant all day long. 😃","Kuala Lumpur, Malaysia",wear perfume bathe eat nutritious food sweat regularly drink enough water youll notice one spray chest take perfume blend nicely natural smell smell nice pleasant day long
2022-08-23 21:07:14+00:00,TheB_sunshines,@blumenzhnni Hope she will recovery soon bestie..just give her enough rest plenty of nutritious food and supplement ..take medicine according to the doctor ok,"Kota Tasikmalaya, Jawa Barat",hope recovery soon bestiejust give enough rest plenty nutritious food supplement take medicine according doctor ok
2022-08-11 23:02:53+00:00,Ekafebri24,"Take care of your health

Your health is critical in every aspect of life.

Get enough sleep, get out in fresh air, eat nutritious food, and exercise regularly.","Klaten, Jawa Tengah",take care health health critical every aspect life get enough sleep get fresh air eat nutritious food exercise regularly
2022-08-10 09:48:19+00:00,mochiang92,"The dinner show is about to start, I wish you smooth performance. 
🌹🙅‍♀️❤️🫶🥰💕
Don't be too tired, and have enough sleep and nutritious food💤🍱🍌🥚

@YoshikiOfficial 
#YOSHIKI
@YoshikiChannel https://t.co/S8o3fKIINT",Taiwan,dinner show start wish smooth performance dont tired enough sleep nutritious food
2022-08-01 04:46:16+00:00,tesolmatthew,"calorie deficit = hungry body vibes = life needs to be exciting/satisfying enough to keep me in that pocket. or else…

if up against it..i’ll sometimes try a breathing/visualization thing where i take deep breaths and imagine the air is a nutritious food substance filling me up","Nuan Chan, Thailand",calorie deficit hungry body vibe life need excitingsatisfying enough keep pocket else itill sometimes try breathingvisualization thing take deep breath imagine air nutritious food substance filling
2022-07-18 06:22:22+00:00,_charlieechan,"Why is this even sounds like a good news to everyone? If the government is well-equipped enough to give all his citizens access to nutritious food, we shouldn’t have any discussions by now. 

Key word, long term effect.","Quezon City,Phillipines",even sound like good news everyone government wellequipped enough give citizen access nutritious food shouldnt discussion key word long term effect
2022-06-16 09:52:34+00:00,mochiang92,"@YoshikiOfficial Are you getting enough sleep and eating nutritious food when you are busy?💤💤🛏😴🥚🍱🍌🥩

We are always by your side to accompany you🫶❤️🙅‍♀️",Taiwan,getting enough sleep eating nutritious food busy always side accompany
2022-04-22 23:41:43+00:00,undresscathy,"Morning routine 🥰💪🏼 Love yourself enough to move, get some sunlight, eat  nutritious food and avoid stress and toxic people.❤️ https://t.co/fHL043H2rh",Paranaque City,morning routine love enough move get sunlight eat nutritious food avoid stress toxic people
