Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-30 23:37:41+00:00,haidarbajrai,"@maigolleri you know the other day my sister belikan onde2, size 10 sen, ada 8 biji, and the price were rm3.50. I am not really that person who complains about food prices but demnnn, that was expensive","Batu Pahat, Johor",know day sister belikan onde size sen ada biji price rm really person complains food price demnnn expensive
2023-03-30 13:51:11+00:00,gray_siblings,"FIP Warriors Update
All of them started their treatment. We will be needing 3 vials every five days which costs $100 each. Confinement, food and tests are excluded. 

Its a long and expensive medications. Hoping for your full support towards our family. Thank you ❤️🙏

#Caturday https://t.co/jTcv787ZHa",Republic of the Philippines,fip warrior update started treatment needing vial every five day cost confinement food test excluded long expensive medication hoping full support towards family thank
2023-03-30 04:37:42+00:00,BangkokPostNews,"#BangkokPost: Sugar, consumed in everything from chocolate to fizzy drinks and baked products, is becoming ever more expensive, raising costs for the industry and keeping up pressure on global food inflation. #business
https://t.co/MJYxfBZD2l",Thailand,sugar consumed everything chocolate fizzy drink baked product becoming ever expensive raising cost industry keeping pressure global food inflation
2023-03-30 00:32:58+00:00,DanTheOther,"@JimSpoons1 by ""good stop"" I mean ""food stop"" - off the side of the major road, pretty new, purpose built for travellers, with a bunch of different fast foods. These places are usually a bit more expensive https://t.co/nVv32uJoRP","Suphan Buri, Thailand",good stop mean food stop side major road pretty new purpose built traveller bunch different fast food place usually bit expensive
2023-03-29 23:40:56+00:00,azimazhad,"Right now, the issue with plant-based food (processed to be similar to meat) is its expensive price tag.

This is due to an early stage of production and market testing. So only a small batch was made. And the cost to start those facilities are expensive.","Selangor, Malaysia",right issue plantbased food processed similar meat expensive price tag due early stage production market testing small batch made cost start facility expensive
2023-03-29 16:02:01+00:00,asyrafmalekk,Bazaar food are expensive. But then again people went to like McD to buy a 24 ringgit burger. But then again the quality is not the same.,kuala lumpur,bazaar food expensive people went like mcd buy ringgit burger quality
2023-03-29 13:57:44+00:00,iamkarenpang,"People out there willing to spend so much $ to get the latest iPhone or Samsung phone

Then usually the very same people balk &amp; whine over how expensive hawker food is

Hypocrite much 

Your IT device wouldn't feed you , literally",Singapore,people willing spend much get latest iphone samsung phone usually people balk amp whine expensive hawker food hypocrite much device wouldnt feed literally
2023-03-29 12:02:39+00:00,kal_reads,My breakfast is always more expensive than my lunch because I like convenience store food a lot 🤡,Philippines,breakfast always expensive lunch like convenience store food lot
2023-03-29 03:32:49+00:00,mhutauruk,"@BuzzFeedFood LoL
 is this a broke budget food? 
Cheese is expensive one.
Use eggs instead! 
One..",,lol broke budget food cheese expensive one use egg instead one
2023-03-28 21:23:39+00:00,AYX9jsLRX1DDmXa,"What do people think of the price of this package? Of course, if you eat expensive food, you will pay more. I eat expensive food that doesn't fill me up.",香港,people think price package course eat expensive food pay eat expensive food doesnt fill
2023-03-28 15:15:11+00:00,AndyeelesEeles,@GuidoFawkes  a Brixt benefit food is more expensive  in Brixt uk ! Now out control prices for Brixt failure take back control ditch the Brixt clown in your desperate attempt to not do that to live in land fantasy pay more for Brixt https://t.co/EpSzKIe4WQ,Austria,brixt benefit food expensive brixt uk control price brixt failure take back control ditch brixt clown desperate attempt live land fantasy pay brixt
