Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-30 03:43:38+00:00,CJMalaysia,"Selangor state government has introduced a program that uses vending machines to provide food assistance and promote government initiatives to the B40 community

Read more: https://t.co/BAOuNttwES https://t.co/DeeZPomQOf",Kuala Lumpur,selangor state government introduced program us vending machine provide food assistance promote government initiative b community read
2023-03-29 07:31:07+00:00,bnionline1,"Over 1,000 Returning IDPs in Paletwa Struggle With Food Insecurity Due To Lack of Assistance

Over 1,000 internally displaced persons (IDPs) who have returned to their homes in Paletwa Township, Chin State, are currently experiencing food difficulties as they have not received https://t.co/TPPLXl4Aa3",Myanmar,returning idp paletwa struggle food insecurity due lack assistance internally displaced person idp returned home paletwa township chin state currently experiencing food difficulty received
2023-03-29 06:46:32+00:00,matrade,"...instant food products for domestic and global markets such as the People's Republic of China, Hong Kong, Macau, Singapore, Australia, USA, Canada and more.

Become a MATRADE member today to gain various assistance in expanding your export business.",Malaysia,instant food product domestic global market people republic china hong kong macau singapore australia usa canada become matrade member today gain various assistance expanding export business
2023-03-29 06:25:44+00:00,KhanAviator,"Floods in Sindh have left people in dire need of assistance, including food, health, sanitation, education, and livelihood restoration. @RESCUEorg is addressing these needs head-on. #IRCFloodResponse https://t.co/MF3765sMCg",Islamabad,flood sindh left people dire need assistance including food health sanitation education livelihood restoration addressing need headon
2023-03-26 17:02:54+00:00,JeffreyCor,@POTUS And removing unemployment assistance from those who had been receiving it while funds remained and otherwise qualified ripped away food and many other things from individuals and families. Don't complain about someone else doing something similar to what you already did.,CA,removing unemployment assistance receiving fund remained otherwise qualified ripped away food many thing individual family dont complain someone else something similar already
2023-03-24 09:14:42+00:00,AaronAndrews27,"@fransglobal Every day he has side splitting terror is a day closer to justice. 

Still he will never know the fear of those on govt health benefits,
The parents w/ child food assistance, or those who rely on fuel assistance for heating.

All life saving programs he constantly threatened.","Taichung City, Taiwan",every day side splitting terror day closer justice still never know fear govt health benefit parent w child food assistance rely fuel assistance heating life saving program constantly threatened
2023-03-09 19:05:16+00:00,UNTalentJobs,"🇵🇭 Opening @WFP 
 🧰 #Programme 
 
PROGRAMME POLICY OFFICER (AGRICULTURAL DEVELOPMENT AND FOOD ASSISTANCE FOR ASSETS) 
 
 🗓 Exp. in 2 days 
 #unjobs #untalent #hiring 
https://t.co/qifBwOPEw2","New York, USA",opening programme policy officer agricultural development food assistance asset exp day
2023-03-09 09:46:35+00:00,RohingyaResp,"🍲In the aftermath of the large fire that hit the world's largest refugee camp on Sunday, @WFP and food security partners are committed ensuring access to life saving food assistance.

🍞Their focus is to ensure no one goes to bed on empty stomach.

#Rohingya #refugees https://t.co/FpJqsGcqKt","Cox's Bazar, Bangladesh",aftermath large fire hit world largest refugee camp sunday food security partner committed ensuring access life saving food assistance focus ensure one go bed empty stomach
2023-03-06 04:18:03+00:00,ShomimMd,"The #Rohingya people in Refugee camp are facing not only fire incidents but also different kinds of #horrendous situations such as human trafficking, attacking by unknown arm groups and lack of food assistance in everyday life.

#WhatsHappeningInRefugeeCamp
#UrgentRepartriation https://t.co/UX56lVXWZI","Cox's Bazar, Bangladesh",people refugee camp facing fire incident also different kind situation human trafficking attacking unknown arm group lack food assistance everyday life
2023-03-05 11:18:00+00:00,ShomimMd,"Another fire incident in #RohingyaRefugee camp!

Nearly 1000  Rohingya refugee tents were burnt down in a devastating fire at around 2:40pm on Sunday ( 5 Mar 2023) in Bhalikhali -2 , Camp-11.

⚠️Need urgent support and food assistance for the victim! https://t.co/W1HDV06sm9","Cox's Bazar, Bangladesh",another fire incident camp nearly rohingya refugee tent burnt devastating fire around pm sunday mar bhalikhali camp need urgent support food assistance victim
2023-03-01 10:07:06+00:00,Media_Selangor,Selangor Journal | KPDN to send food bank assistance to flood-affected areas — Minister https://t.co/09zMclclMc https://t.co/1bWUrzYvSi,Shah Alam,selangor journal kpdn send food bank assistance floodaffected area minister
2023-02-22 18:20:56+00:00,ShomimMd,"The reduction of the food assistance for the #Rohingya is likely to lead to a host of new challenges, including extortion,prostitution,human trafficking,drug trafficking, and radicalization. So,we urge the #WFP and other humanitarian organizations not to cut rations for Rohingya. https://t.co/OcJ7bsnLKi","Cox's Bazar, Bangladesh",reduction food assistance likely lead host new challenge including extortionprostitutionhuman traffickingdrug trafficking radicalization sowe urge humanitarian organization cut ration rohingya
2023-02-18 07:31:28+00:00,SahatZia_Hero,"“The repercussions of these cuts will be immediate and long lasting, as refugees remain almost entirely dependent on this assistance for their nutritional needs,” said UN officials Tom Andrews and Michael Fakhri in a statement.

#Rohingya #Refugees #Food https://t.co/RhVoeNnXib","Bangladesh, from 🇲🇲",repercussion cut immediate long lasting refugee remain almost entirely dependent assistance nutritional need said un official tom andrew michael fakhri statement
2023-02-18 07:00:11+00:00,SahatZia_Hero,"WFP said it would reduce the value of its food assistance to $10 per person from $12 starting next month. Donor budgets have been stretched by the pandemic, economic downturn and crises across the globe.

#Rohingya #Refugee #Food #RohingyaCrisis 
 https://t.co/Y0xqDOMEKM","Bangladesh, from 🇲🇲",wfp said would reduce value food assistance per person starting next month donor budget stretched pandemic economic downturn crisis across globe
2023-02-17 13:04:55+00:00,SahatZia_Hero,"“The repercussions of these cuts will be immediate and long-lasting, as refugees remain almost entirely dependent on this assistance for their nutritional needs,” the UN experts said.

@WFPAsiaPacific @WFP
@Refugees
#Rohingya #Refugees #Food 
 https://t.co/A3tV9PZuHR","Bangladesh, from 🇲🇲",repercussion cut immediate longlasting refugee remain almost entirely dependent assistance nutritional need un expert said
2023-02-17 13:01:33+00:00,SahatZia_Hero,"WFP @WFP cutting food assistance of Rohingya Refugees.

The reduction, resulting from a severe funding shortfall, could be ‘catastrophic’ for hundreds of thousands of #Rohingya refugees who are dependent on Humanitarian Aid in Bangladesh camps. 
@WFPChief

https://t.co/A3tV9PZuHR","Bangladesh, from 🇲🇲",wfp cutting food assistance rohingya refugee reduction resulting severe funding shortfall could catastrophic hundred thousand refugee dependent humanitarian aid bangladesh camp
2023-02-16 10:30:37+00:00,SahatZia_Hero,"Now, Turkey-Syria crisis after the Ukraine crisis, @WFP is cutting lifesaving food assistance from Rohingya refugee responses.
It will have extremely bad impact on the lives of #Rohingya Refugees who are just dependent on Humanitarian assistances.","Bangladesh, from 🇲🇲",turkeysyria crisis ukraine crisis cutting lifesaving food assistance rohingya refugee response extremely bad impact life refugee dependent humanitarian assistance
2023-02-07 07:29:03+00:00,Media_Selangor,"Selangor Journal | Permatang state rep hands over cash assistance, food items to fire victims https://t.co/DfrKLKKNE8 https://t.co/k0v8E6FM9v",Shah Alam,selangor journal permatang state rep hand cash assistance food item fire victim
2023-01-29 10:33:11+00:00,RohingyaResp,"📣“Every day, many people from my community come to take food assistance from this E-voucher Outlet. My role is to manage crowds and help people to get their services.” 

- A #Rohingya #refugee volunteer working in an e-voucher outlet https://t.co/0h48Dl6OsN","Cox's Bazar, Bangladesh",every day many people community come take food assistance evoucher outlet role manage crowd help people get service volunteer working evoucher outlet
2023-01-19 14:15:34+00:00,Media_Selangor,Selangor Journal | Education Ministry proposes increase to preschool food assistance rate in Budget 2023 https://t.co/TSB6p3dn0j https://t.co/ah1tHaD4t0,Shah Alam,selangor journal education ministry proposes increase preschool food assistance rate budget
2023-01-05 03:37:55+00:00,food_blogger,@dbs_care It’s very painful to get help and assistance on your platinum helpline. Especially if I have to listen to and speak in Singlish so that your responder can understand. Wor…,South Central SG,painful get help assistance platinum helpline especially listen speak singlish responder understand wor
2022-12-22 01:14:30+00:00,pia_gutierrez,"According to the DSWD, beneficiaries will receive P10,000 in financial assistance, hygiene kits and food packs. Children will also receive gift packs which include toys, books, and clothes https://t.co/VJHPqZ8OuG","Quezon City, Philippines",according dswd beneficiary receive p financial assistance hygiene kit food pack child also receive gift pack include toy book clothes
2022-10-18 15:10:42+00:00,SnapeVoldemort,"@LovePeace2911 @KarthirrKK Who told you that Singapore government will give free food? Before you comment, please do a simple search on Google. There is no such thing as free food in Singapore. Yes there is community assistance program but not easy to get help from the government. #BiggBossTamil6","Lauerz, Schweiz",told singapore government give free food comment please simple search google thing free food singapore yes community assistance program easy get help government
