Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-29 19:59:07+00:00,BoolieCro1930,"We’ve had 12 years of Tory, and an increase in food banks and their users, in the cost of living, in poverty, in homelessness in suicides and all you can say, after 22 years of Tory, is “Wowzers Liz looked good.”",asia,weve year tory increase food bank user cost living poverty homelessness suicide say year tory wowzers liz looked good
2023-03-29 15:45:18+00:00,OpenaRomy,"Until food producers are unshackled from the curse of poverty, Phils will always be a net food-importing nation. How can we depend on them, how can they be more productive, how can they insure food security when they themselves struggle to make ends meet? https://t.co/0E7mLln646",Philippines,food producer unshackled curse poverty phils always net foodimporting nation depend productive insure food security struggle make end meet
2023-03-29 14:29:18+00:00,AnakbayanCebu,"exploitation and feudal bondage. The peasant class comprises the biggest socio-economic class as it provides food for itself and for the entire country, and yet in a cruelly ironic display, they are the ones mired in deep poverty, hunger, and landlessness. (2/?)","Cebu Island, Philippines",exploitation feudal bondage peasant class comprises biggest socioeconomic class provides food entire country yet cruelly ironic display one mired deep poverty hunger landlessness
2023-03-28 01:55:34+00:00,KanekoaTheGreat,"Bing Chat says the US-backed regime change in Libya caused ""millions of people to suffer from displacement, poverty, food insecurity, health problems, human rights abuses, and lack of basic services"" and enabled the rise and spread of extremist groups such as al-Qaeda and ISIS. https://t.co/USFpYBF3vW",Hawaii,bing chat say usbacked regime change libya caused million people suffer displacement poverty food insecurity health problem human right abuse lack basic service enabled rise spread extremist group alqaeda isi
2023-03-27 11:50:23+00:00,UNDPasiapac,"Converging crises in Asia-Pacific are pushing millions more into poverty, setting back #SDGs by 3 decades if not addressed. See approaches to ramp-up energy-food-finance efforts, in new report by @UNDP @ADB_HQ &amp; 
@UNESCAP #APFSD #AsiaPacific #GlobalGoals 

https://t.co/IkxG1e0pqR https://t.co/0WxgkQIg8m","Bangkok, Thailand",converging crisis asiapacific pushing million poverty setting back decade addressed see approach rampup energyfoodfinance effort new report amp
2023-03-27 07:27:00+00:00,AsadAToor,"The stagnation in farming means that the trade balance will keep worsening while food insecurity and poverty will continue to surge unless the trend is reversed. That will require a change in our decades-old policies, increased use of technology. https://t.co/bUyqvmqi7K",Islamabad,stagnation farming mean trade balance keep worsening food insecurity poverty continue surge unless trend reversed require change decadesold policy increased use technology
2023-03-26 14:46:05+00:00,princism67,"I've my boards tomorrow of Poverty &amp; Food Security. Trying to concentrate on my studies but Quinny has some other plans 🤯
#RSAvsWI",Nepal,ive board tomorrow poverty amp food security trying concentrate study quinny plan
2023-03-26 02:53:32+00:00,cheanchung,I was briefed that JCI PJ Chapter has been assisting and servicing the communities within PJ for many many years. Among the notable programs is the FoodHero Campaign initiated together with TedBoy bakery to help reduce food wastage addressing urban poverty within PJ &amp; Selangor. https://t.co/BHygUJFNYT,"Petaling, Selangor",briefed jci pj chapter assisting servicing community within pj many many year among notable program foodhero campaign initiated together tedboy bakery help reduce food wastage addressing urban poverty within pj amp selangor
2023-03-11 01:49:14+00:00,xanwara,"These factors may worsen ADHD symptom, but does not cause ADHD.

- Eating too much sugar
- Consuming artificial food colorings and flavorings
- Watching too much television
- Bad parenting styles
- Family chaos
- Poverty

#MentalHealthAwareness","Kuala Lumpur, Malaysia",factor may worsen adhd symptom cause adhd eating much sugar consuming artificial food coloring flavoring watching much television bad parenting style family chaos poverty
2023-03-01 12:00:20+00:00,noami888,"Proverbs 30:8-9
8 Remove far from me vanity and lies: give me neither poverty nor riches; feed me with food convenient for me:
9 Lest I be full, and deny thee, and say, Who is the Lord? or lest I be poor, and steal, and take the name of my God in vain. My daily prayer 🙏",Cagayan de Oro City,proverb remove far vanity lie give neither poverty rich feed food convenient lest full deny thee say lord lest poor steal take name god vain daily prayer
2023-02-27 06:50:33+00:00,Media_Selangor,"Selangor Journal | Malaysia, Indonesia in pact to reduce poverty, increase food security in Southeast Asia https://t.co/ndbRHqnvp7 https://t.co/BMxzcgGQ3u",Shah Alam,selangor journal malaysia indonesia pact reduce poverty increase food security southeast asia
2023-02-18 00:22:44+00:00,ggonzzalezz,"In practical terms, social protection systems help addressing #inequalities when accessing basic services, food, shelter items and protection. Good targeting, reliable technology and inclusive approaches make them a powerful tool to fight #poverty",Philippines,practical term social protection system help addressing accessing basic service food shelter item protection good targeting reliable technology inclusive approach make powerful tool fight
2023-02-04 16:12:00+00:00,Sunil_Deodhar,"Thread👇

“Earlier, when women of Indian households belonging to Below Poverty Line used to prepare food on चूल्हा, they suffered health issues.

But @narendramodi Ji has changed this. Under #PMUjjwalaYojana, around 1Cr cylinders were distributed for free”.

#G20India (1/4) https://t.co/fEsGG0a5C6",New Delhi,thread earlier woman indian household belonging poverty line used prepare food suffered health issue ji changed around cr cylinder distributed free
2022-12-29 11:38:27+00:00,GL1962,@RaggedTP Good luck comrade. Poverty and empty food banks may be an alternative if a crash course is required.... ;),"Bangkok, Thailand",good luck comrade poverty empty food bank may alternative crash course required
2022-12-12 09:44:45+00:00,mannyges,"Our globe trotting President BBM is off to Europe to spread more disinformation about the country.After 100 days agri products are still high, food prices have sky rocketed, more people have joined the poverty line.Nothing has changed for the better. All talk,nothing done","Las Pinas City, National Capit",globe trotting president bbm europe spread disinformation countryafter day agri product still high food price sky rocketed people joined poverty linenothing changed better talknothing done
2022-12-10 03:39:06+00:00,Asitdas_1988,"India's pace of poverty reduction has been unprecedented &amp; made possible due to PM Sri @narendramodi Ji's vision of #Antyodaya.

Schemes like Jal Jeevan Mission, PM Awas Yojana, PM Garib Kalyan Anna Yojana &amp; Ayushman Bharat have ensured food, shelter &amp; health security of the poor https://t.co/OlCEYMOn3O",India,india pace poverty reduction unprecedented amp made possible due pm sri ji vision scheme like jal jeevan mission pm awas yojana pm garib kalyan anna yojana amp ayushman bharat ensured food shelter amp health security poor
2022-11-24 10:38:01+00:00,rajan_2009,"#AnwarIbrahimPM10  Can we have: 

1. cabinet &amp; shadow cabinet 
2.independent MACC, AGC &amp; the enforcement answerable to Parliment 
3.focus on Economy, Environment, education, food security, international relationship, poverty, disposable income 
4. Lean cabinet &amp; not bloated one",Batang Berjuntai/ K.Selangor ,cabinet amp shadow cabinet independent macc agc amp enforcement answerable parliment focus economy environment education food security international relationship poverty disposable income lean cabinet amp bloated one
2022-11-23 22:28:22+00:00,edsangco,"On the 1st of the 3-day Public Food Procurement Forum, participants were enlightened on the Enhanced Partnership Against Hunger and Poverty (PAHP) Program which, if strengthened, could be a vehicle to achieve food security and increased real income of Filipino farm families. https://t.co/PgTM0OZ0ur","Socorro, Caraga",st day public food procurement forum participant enlightened enhanced partnership hunger poverty pahp program strengthened could vehicle achieve food security increased real income filipino farm family
2022-11-21 11:13:01+00:00,radekrzehak,"Many families which survived #PaengPH lost their houses, source of food and income pushing them even into deeper poverty. It will take months if not years for them to recover. And the highest price will be paid by #children. Assistance is still needed @BangsamoroGovt @unicefphils https://t.co/fljfPaUyOv",Philippines,many family survived lost house source food income pushing even deeper poverty take month year recover highest price paid assistance still needed
2022-11-13 04:57:18+00:00,ahameleers1,"Congratulations #PKSF on its anniversary! 
Incredible to see how the organization works to reduce poverty, improve food security, and bring economic transformation in rural #Bangladesh.",Dhaka,congratulation anniversary incredible see organization work reduce poverty improve food security bring economic transformation rural
2022-11-08 13:15:32+00:00,joeyandamo78,"@jeroshje @coachsadji ""They rarely ever washed, had no bath tubs, no underwear &amp; wore the same clothes day and night. They lived in utmost poverty, slaved long hours, even the children worked. They drank heavily of alcohol, ate like hogs of spoiled, unnatural food and suffered from malnutrition."" 6/6",,rarely ever washed bath tub underwear amp wore clothes day night lived utmost poverty slaved long hour even child worked drank heavily alcohol ate like hog spoiled unnatural food suffered malnutrition
2022-10-15 22:47:42+00:00,ud_farmer,"Proverbs 28:19
The one who works his land will have plenty of food, but whoever chases fantasies will have his fill of poverty. https://t.co/DfWj8HRDz1",Republic of the Philippines,proverb one work land plenty food whoever chase fantasy fill poverty
2022-10-07 16:51:02+00:00,SangethaJ,"When we want to understand multi dimensional poverty, then we must move beyond the “food basket” modus operandi. Clothes cost way more than food at times, esoecially if one has growing children.",Malaysia,want understand multi dimensional poverty must move beyond food basket modus operandi clothes cost way food time esoecially one growing child
2022-09-26 13:12:11+00:00,hmd_tanvir,"Public rally 2022 to demand food security, end poverty and discrimination

Gcap Bangladesh. https://t.co/sI9wENTKwa","Barishal, Bangladesh",public rally demand food security end poverty discrimination gcap bangladesh
2022-09-25 03:40:51+00:00,siegeism,"@BootstrapCook @Effiedeans 3) My luxury isn’t money it’s time. I can cycle around around London, find cheap deals and buy what I can carry in my backpack. My other luxury is not having a family to navigate, so more power you for solving food poverty one bag of oats at a time.","Lewisham, London",luxury isnt money time cycle around around london find cheap deal buy carry backpack luxury family navigate power solving food poverty one bag oat time
2022-09-11 13:28:26+00:00,jeffmagnifixII,"Getting out from poverty feels great. I no longer feel bad for eating good food, and buying the clothes that I am craving to have.","Manila, PH",getting poverty feel great longer feel bad eating good food buying clothes craving
2022-09-07 13:58:31+00:00,Alexand20879300,@FiorellaIsabelM Time to measure food supply chain lower price helping poor countries but realistically western businessmen/entrepreneurs don't eagar do immediately it. Food shortage question is dragging for a considerable time. Poverty &amp; hopeless country is still siffering famine souring price.,,time measure food supply chain lower price helping poor country realistically western businessmenentrepreneurs dont eagar immediately food shortage question dragging considerable time poverty amp hopeless country still siffering famine souring price
2022-09-05 08:12:49+00:00,mgb819,"If not partying, he’s traveling and in both cases Dayunyor doesn’t give a damn about 31M mired in poverty, high prices, food shortages, traffic mess &amp; typhoon destruction.",,partying he traveling case dayunyor doesnt give damn mired poverty high price food shortage traffic mess amp typhoon destruction
2022-08-13 13:42:18+00:00,yansibree,"Ive been browsing through Grab Food for the past hour and decided to just reheat last week's leftovers from the fridge.

Ayun, muntik na naman po tayong kumain ng panis na tortang talong. 

This hunger and this poverty are not aligned. 😒",Philippines,ive browsing grab food past hour decided reheat last week leftover fridge ayun muntik na naman po tayong kumain ng panis na tortang talong hunger poverty aligned
2022-07-18 10:34:36+00:00,bahabidari,"Is this really necessary? Many Malaysians are going without enough food, living below the poverty line and we want to do this??? Maybe we should drink warm water. 

https://t.co/M2wGj8hij3",Sarawak 🇲🇾,really necessary many malaysian going without enough food living poverty line want maybe drink warm water
2022-07-09 02:11:47+00:00,ZaxZoul,"Richest countries fighting for their geopolitics &amp; economic interest, poor countries suffering a lot for economic crisis, fuel &amp; food price rises that will cause many peoples into poverty... 😪😪😪","Sarawak, Malaysia",richest country fighting geopolitics amp economic interest poor country suffering lot economic crisis fuel amp food price rise cause many people poverty
2022-07-05 02:52:44+00:00,ArleneIcasiano1,"He did not mention "" poverty,per se,but he mentioned food sufficiency..he just have a more positive way of saying it!!",,mention povertyper sebut mentioned food sufficiencyhe positive way saying
2022-06-30 06:19:58+00:00,JoegreenIam,The plastic pollution problem in our country is not caused by plastic it's caused by poverty. Climate change or plastic pollution is far from many families priority it's food on the table that matters most. #sachetNation,Davao City,plastic pollution problem country caused plastic caused poverty climate change plastic pollution far many family priority food table matter
2022-06-30 02:05:19+00:00,ANKYIIMR,"@AdeParimal Bass karo apna time waste cities ke Naam change krne me.

Bahut mudde hain solve karne ke liye
Employment
GDP
Economy
Inflation
Education
Infrastructure
INR/USD 
Poverty
Electricity
Food &amp; Water
Environment
Happiness Index

Pehle ye sab solve karo fir cities ke Naam par aana 🙏🏼",Jakarta,bass karo apna time waste city ke naam change krne bahut mudde hain solve karne ke liye employment gdp economy inflation education infrastructure inrusd poverty electricity food amp water environment happiness index pehle ye sab solve karo fir city ke naam par aana
2022-06-15 10:44:24+00:00,sarahjhtaylor,Read this thread to understand how #PutinsWar has increased food insecurity and poverty worldwide— including here in #SoutheastAsia. One more reason to #StandWithUkraine.,"Bangkok, Thailand",read thread understand increased food insecurity poverty worldwide including one reason
2022-06-15 03:38:42+00:00,SohanBMYP,"Hundreds of millions of humanity’s most vulnerable live in South Asia, where rising temperatures make it more difficult to address poverty, food insecurity and health challenges. @RazzaqNahim @SaleemulHuq @saberhc https://t.co/zsX38IdTx0","Barishal, Bangladesh",hundred million humanity vulnerable live south asia rising temperature make difficult address poverty food insecurity health challenge
2022-05-30 01:18:30+00:00,World_Farmers,"Small volume harvest today on our eggplant as we are still getting out of the dry season. The big harvest is still ahead. Our mission farm helps in creating jobs, producing food and fighting poverty that is prevalent in our country. @ADAlvarez7 @GlobalFarmerNet https://t.co/U8G0eoZcre",,small volume harvest today eggplant still getting dry season big harvest still ahead mission farm help creating job producing food fighting poverty prevalent country
2022-05-26 15:35:42+00:00,toypattaree,"Environmental concern is a good thing but it seems too far fetched, it’s like developed country issue priority 
While you struggling with the earth
We struggling with hunger, poverty, living each day filled with pain and worries, Are we going to have food to eat tonight?",Shanghai,environmental concern good thing seems far fetched like developed country issue priority struggling earth struggling hunger poverty living day filled pain worry going food eat tonight
