Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-30 20:18:59+00:00,jammingem,"@POTUS Biden is a terrible president in my opinion. He has stirred up trouble where ever he gets involved. Our food prices are sky high, as is our fuel and items needed in daily lives. I also pray he dosent get us involved in anymore Wars !",CA,biden terrible president opinion stirred trouble ever get involved food price sky high fuel item needed daily life also pray dosent get u involved anymore war
2023-03-30 10:41:46+00:00,asianpeace_org,"Bangladesh journalist arrested after report on high food prices
https://t.co/V5uCDWpW8V
#bangladesh #journalist #arrest https://t.co/nNmkKVtJXw",Thailand,bangladesh journalist arrested report high food price
2023-03-30 03:30:19+00:00,RecoveryTrade,@MikeZaccardi Is any of this translating to disinflation in food prices reflected in CPI?  Seems stubbornly high.,Hong Kong,translating disinflation food price reflected cpi seems stubbornly high
2023-03-30 01:53:00+00:00,Tom_Brouns,Bangladesh journalist arrested after report on high food prices | Media News | Al Jazeera https://t.co/YEvjrNMogd,"Dhaka, Bangladesh",bangladesh journalist arrested report high food price medium news al jazeera
2023-03-29 21:36:29+00:00,Merc_Gone_Dark,"With skyrocketing food prices and near 50-year-high inflation, families are struggling to put food on the table.
Instead of helping, the issue is being politicized by PMLN, leaving the most vulnerable to suffer.
We must act now to prevent more tragedy.
#SupremeCourt https://t.co/6040xpGKa4",Islamabad,skyrocketing food price near yearhigh inflation family struggling put food table instead helping issue politicized pmln leaving vulnerable suffer must act prevent tragedy
2023-03-29 19:11:52+00:00,Twentifo2420,Benefits like a reccession? Or no growth of the GDP? Or highest inflation in 40 years? Or high fuel prices? Or high food prices? Or high cost of living? Or decline in the stock market? Or decline in 401K value? That what he has delivered.,"Petaling Jaya, Malaysia",benefit like reccession growth gdp highest inflation year high fuel price high food price high cost living decline stock market decline k value delivered
2023-03-29 17:20:38+00:00,monjurullmannan,Disturbing news out of Bangladesh as journalist Shamsuzzaman Shams is arrested after reporting on high food prices.,"Dhaka, Bangladesh",disturbing news bangladesh journalist shamsuzzaman sham arrested reporting high food price
2023-03-29 15:56:28+00:00,TanvirMadber,"#Bangladeshi #journalist #Shamsuzzaman_Shams arrested under the controversial Digital Security Act after report on high food prices.
https://t.co/wqOk3N5RA0","Dhaka, Bangladesh",arrested controversial digital security act report high food price
2023-03-29 15:16:10+00:00,NST_Online,"#NSTworld #Bangladesh police on Wednesday charged a reporter from a leading newspaper for producing ""false news"" after an article on high food prices went viral, stoking fears about media freedom.

https://t.co/Jy7tJQatam",Malaysia,police wednesday charged reporter leading newspaper producing false news article high food price went viral stoking fear medium freedom
2023-03-29 08:58:21+00:00,bworldph,"[INFLATION] Here’s what some Filipinos say on how they cope with rising food prices

Preliminary data from the Philippine Statistics Authority showed the consumer price index slowed to 8.6% in February, from the 14-year high 8.7% in January. https://t.co/tbs1W9CXRK",Philippines,inflation here filipino say cope rising food price preliminary data philippine statistic authority showed consumer price index slowed february year high january
2023-03-28 09:09:05+00:00,inquirerdotnet,"Kenyan police fired teargas and water cannons at stone-throwing supporters of opposition leader Raila Odinga during a second week of protests against the government and high food prices, with one person shot dead in the western city of Kisumu. | @Reuters https://t.co/qZFNrFN2O5",Makati City,kenyan police fired teargas water cannon stonethrowing supporter opposition leader raila odinga second week protest government high food price one person shot dead western city kisumu
2023-03-28 05:10:45+00:00,NickAndrews10,Energy subsidies and warmer weather help ease higher energy prices but high food costs still weigh on consumer budgets in U.K. and EU. Food prices push UK shop price inflation to new high: BRC | Reuters https://t.co/AXXf82f0MB,Hong Kong,energy subsidy warmer weather help ease higher energy price high food cost still weigh consumer budget uk eu food price push uk shop price inflation new high brc reuters
2023-03-25 07:56:50+00:00,Sirkel1975,"Janiuay National Comprehensive High School has finished presenting their Agri-pitch entitled, “Integrated Farming System: A Route to Empower Farmers Towards Sustainable Production and Food Prices Stability”.

#Agrikonomiya2023",UP Los Baños,janiuay national comprehensive high school finished presenting agripitch entitled integrated farming system route empower farmer towards sustainable production food price stability
