Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-30 02:07:50+00:00,nijee__,@KN96Artworks I'm hungry but why can't I eat 🥹,Malaysia,im hungry cant eat
2023-03-29 01:14:34+00:00,leunamme171089,"I love chocolate molten cake, lemon poppy seed, burnt vanilla cheesecakes and many more, but I don’t know how can anyone eat pandan, onde, gula Melaka cakes, I rather be hungry then touching those  🤣",Malaysia,love chocolate molten cake lemon poppy seed burnt vanilla cheesecake many dont know anyone eat pandan onde gula melaka cake rather hungry touching
2023-03-26 10:50:37+00:00,JustEllenIGuess,"@ProgressCityUSA Predictably, this ended with remorse and ""I'm so sorry and now also hungry and can we go here again on our next trip and I will eat something I promise."" I can't remember how old we were but we thankfully made it back there several more times.",Taiwan,predictably ended remorse im sorry also hungry go next trip eat something promise cant remember old thankfully made back several time
2023-03-26 04:36:28+00:00,firmansh99,@survivallucem Hungry but can't eat yet...,,hungry cant eat yet
2023-03-24 18:48:05+00:00,LarryBou2,"Don't want to eat when you are extremely hungry, but you can't be full; don't want to drink when you are extremely thirsty, but don't drink too much. https://t.co/jL69glDkHv",España,dont want eat extremely hungry cant full dont want drink extremely thirsty dont drink much
2023-03-12 11:59:53+00:00,perwati,"There are many times I regret to wear braces, like recently. I can't eat, I don't want to eat but I am hungry. I don't comprehend people who use braces just for style up, seriously. I'm getting skinnier lately. My cheeks lost its chubbiness T_T",in my heart that matters,many time regret wear brace like recently cant eat dont want eat hungry dont comprehend people use brace style seriously im getting skinnier lately cheek lost chubbiness tt
2023-02-24 16:05:57+00:00,Chiqee,massive queue now for immigrations. ugh can’t wait to get out of here &amp; shower. it’s be 24hrs of travelling. i’m hungry &amp; could eat but i would prefer to just crash for the night &amp; that’ll be ok. idk maybe i’ll get a second wind after arriving at my hotel. we’ll see!,Global citizen,massive queue immigration ugh cant wait get amp shower hr travelling im hungry amp could eat would prefer crash night amp thatll ok idk maybe ill get second wind arriving hotel well see
2023-02-01 14:06:23+00:00,kerienaa,hungry but can't eat 😭🤢, 🇵🇭,hungry cant eat
2023-01-30 05:48:16+00:00,cheskrtskrt,"Chiao anyways, I’m hungry but I can’t eat.😑",Somewhere ,chiao anyways im hungry cant eat
2022-10-16 11:39:39+00:00,MasliKartika,"#BTS_YetToCome_Weverse_LIVE 
#Onlineconcert 
I want to cry because I can't see directly, even though I've tried to leave but there's always a problem I'm sorry,I'm feeling hungry so I think I need to cook something and eat snacks and enjoy the concert wkwkwkk https://t.co/cF3c18Nx9V","Mukim 12 (Bayan Lepas), Pulau ",want cry cant see directly even though ive tried leave there always problem im sorryim feeling hungry think need cook something eat snack enjoy concert wkwkwkk
2022-09-08 16:56:36+00:00,DroChavez,I’m hungry but I can’t eat. Okay. Goodnight. 💤,Singapore,im hungry cant eat okay goodnight
2022-07-27 16:56:19+00:00,bionicgayman,"Almost 1am
Can't sleep
Hungry
Wanna eat
But if I eat I won't get shredded
Man I hate being gay sometimes","Bali, Indonesia",almost cant sleep hungry wan na eat eat wont get shredded man hate gay sometimes
2022-07-19 05:09:18+00:00,tia_96,@PaulePLN Because he is always hungry but he can't eat much or Don Saladino will torture him in the gym to burn those fats 🤣🙏🏾🙏🏾,"Malang-East Java, Indonesia",always hungry cant eat much saladino torture gym burn fat
