Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-30 17:25:14+00:00,OrtolanMagazine,"@sethrose__ @ellobosalvaje ""An empty stomach and full balls""

Aight so fucking, what, 90% of men on earth are just fucking alphas who ""got that fire"" not just poor, hungry incels?

Lmfao nah. I'll take the food and a chick who's dtf all day, any day. Hustle culture has been whack for a minute now",Bangkok,empty stomach full ball aight fucking men earth fucking alpha got fire poor hungry incels lmfao nah ill take food chick who dtf day day hustle culture whack minute
2023-03-30 16:14:16+00:00,TanKokHung,"@KeithMcCullough I like hungry honey badgers. When they see tickers hanging in RTA, they go for it. Cobra, ants, bees, etc, they are food just like any tickers.",Malaysia,like hungry honey badger see ticker hanging rta go cobra ant bee etc food like ticker
2023-03-30 11:33:41+00:00,xzyx111,"Yknow how weird it is when you ate a lot of food, and then 5 minutes later your stomach felt really hungry again for no reason? Well that’s exactly what happend to me yesterday 💀","Bekasi Utara, Indonesia",yknow weird ate lot food minute later stomach felt really hungry reason well thats exactly happend yesterday
2023-03-30 01:56:01+00:00,sinardailymy,"To be in charge of a hunger strike was a great responsibility, all I worried about was the fate of the strikers and the desire of the hungry souls for freedom, not food. #IsmaatMansour #ThePalestinianDiaries #HungerStrike #Palestine #Israel https://t.co/KpRdIZ9fF9","Shah Alam, Selangor, Malaysia",charge hunger strike great responsibility worried fate striker desire hungry soul freedom food
2023-03-29 16:06:17+00:00,AshmeadeHawkins,"Just $5 will buy a hot meal for a hungry homeless child. To Donate, just Click on this Link: https://t.co/EXKWbsUvfy #hunger #homeless #children #charity #food","Manila, Philippines",buy hot meal hungry homeless child donate click link
2023-03-29 15:33:24+00:00,ROHINGYA123,"Please consider donating or sharing!!!

Your donations go to providing food, water, and education for the #Rohingya  children, buy medicine for people suffering from illnesses, dig wells to expand access to clean water, and provide #food for the #hungry.

https://t.co/eN8wwb11On","Cox's Bazar, Bangladesh",please consider donating sharing donation go providing food water education child buy medicine people suffering illness dig well expand access clean water provide
2023-03-29 07:47:25+00:00,Lialarsen,"@nziradzemasoja @KingJayZim @TeamFuloZim Perfect example of why not to cook when you are hungry. I hope @nziradzemasoja that you are a serious bodybuilder because that way too much protein for one person. 

So why are the eggs not peeled? Why is the food not served on a plate? 
There is zero creativity here 
Score 4/10",Kuala Lumpur City,perfect example cook hungry hope serious bodybuilder way much protein one person egg peeled food served plate zero creativity score
2023-03-28 17:23:21+00:00,lovely_zeenew,I feel sad for my baby is hungry  already why not gave them food first!! 😭😭,"Bogor, Jawa Barat",feel sad baby hungry already gave food first
2023-03-28 12:18:13+00:00,kennleandre,"@tenoq If you're hungry, anything looks tasty. Hence the focus on presentation rather than taste. I realize the lack of the aroma of freshly cooked food at the TTDI one that day",Kuala Lumpur,youre hungry anything look tasty hence focus presentation rather taste realize lack aroma freshly cooked food ttdi one day
2023-03-27 12:59:14+00:00,NTUsg,Congrats to an #NTUsg student team that emerged victorious at the DBS Foundation X NEA Hungry for Change Challenge for their idea of an #AI-powered app that can connects F&amp;B joints with excess soon-expiring food ingredients to customers who are keen to buy them at a cheaper cost. https://t.co/92IFDNTYv9,Singapore,congrats student team emerged victorious db foundation x nea hungry change challenge idea powered app connects fampb joint excess soonexpiring food ingredient customer keen buy cheaper cost
2023-03-27 11:35:36+00:00,piathedreamer,"ㅁㅊ???

민초?
모치?
😅

sorry i'm hungry 🥹

i want food, i am starvation ಥ⁠‿⁠ಥ

but cheering for taehyungie! 💜😊",Pilipinas,sorry im hungry want food starvation cheering taehyungie
2023-03-27 07:37:55+00:00,SeeBeyondBorder,Hen accepted a position as a Project Officer for Education with 'Food for the Hungry' after graduating from the Educational Changemaker Program in January. We are delighted to see her gaining valuable experience and using her skills to enhance education in Cambodia. https://t.co/aKnTetqRIc,Cambodia,hen accepted position project officer education food hungry graduating educational changemaker program january delighted see gaining valuable experience using skill enhance education cambodia
2023-03-27 06:58:54+00:00,timeouthk,"We’re hiring! We’re looking for a Section Editor who is passionate, knowledgeable, and hungry to cover Hong Kong’s ever-evolving food and drink scene. 


If you think you have what it takes, click below for the full job description and send in your CV! https://t.co/qVxZPmZY3Y",Hong Kong,hiring looking section editor passionate knowledgeable hungry cover hong kongs everevolving food drink scene think take click full job description send cv
2023-03-27 04:34:21+00:00,iblate4that,"No appetite. Then hungry af but food nowhere near. Then no appetite. Ready for bed. BOOM, STARVING.",Wawa,appetite hungry af food nowhere near appetite ready bed boom starving
2023-03-26 04:31:55+00:00,prettyred_25,"Pj &amp; Cj be having me weak😂😂😂😂😂😂😂 he asked Pj for piece of his food and P was like go head have some, then was like ""yea y'all always be looking hungry. ""😭😭😭😭😭😭",IN MY BAG,pj amp cj weak asked pj piece food p like go head like yea yall always looking hungry
2023-03-17 06:13:20+00:00,BossScotch,"Jgh from Graduation rehearsal 🥹

I slept for an hour and woke up at 4am and your boi is tired and hungry (no food and water legit since 7am)",,jgh graduation rehearsal slept hour woke boi tired hungry food water legit since
2023-03-07 12:30:59+00:00,miuuunzone,"For attractive lips, Speak with words of kindness
For lovely eyes, Seek out the good in people
For a slim figure, share your food with the hungry
For beautiful hair, let a child run his or her fingers through it once a day
For poise, walk with knowledge you'll never walk alone.",,attractive lip speak word kindness lovely eye seek good people slim figure share food hungry beautiful hair let child run finger day poise walk knowledge youll never walk alone
2023-03-05 07:15:36+00:00,Chiqee,"the street food vendor that i’ve pardoned for years is still here! unfortunately, the laab &amp; sticky rice lady/family is no longer in business. 

so hungry! gonna eat something first but i gotta go back to wear a long sleeve shirt. the sun is so scorching. https://t.co/NWtjfXmxqw",Global citizen,street food vendor ive pardoned year still unfortunately laab amp sticky rice ladyfamily longer business hungry gon na eat something first got ta go back wear long sleeve shirt sun scorching
2023-02-25 04:42:27+00:00,Jancukliverzzz,"@tokoyamitowa I'm happy @tokoyamitowa to become Nissin U.F.O ambassador. In Indonesia, Papua, this food saves me from feeling hungry at the end of the month while waiting for my salary to come thanks Towa and Nissin . https://t.co/Wr8UyT5BsD",Serui,im happy become nissin ufo ambassador indonesia papua food save feeling hungry end month waiting salary come thanks towa nissin
2023-02-24 09:06:36+00:00,iamredthomas,hungry for self-discovery... and errr food 😋 https://t.co/30Tf0MTkVZ,Las Piñas City,hungry selfdiscovery errr food
2023-02-13 16:41:21+00:00,DRSANJAYDEBBA19,"THIS NIGHT I DO PRAY FOR THOSE WHO ARE HUNGRY  ! SINCE LAST NIGHT  , NO FOOD OR NO WATER  ! MAY GOD BLESS ALL OF THEM BY THE NAME OF OUR  SAVIOUR GOD LORD JESUS CHRIST  ! AMEN AMEN 💛✝️","Tripura, India",night pray hungry since last night food water may god bless name saviour god lord jesus christ amen amen
2023-02-07 04:36:04+00:00,mikebluistro,"@Pontifex The other side of Matthew 25:31-46

... ‘Depart from me, you cursed, into the eternal fire prepared for the devil and his angels; for I was hungry and you gave me no food, I was thirsty and you gave me no drink...

Punishment awaits to those who showed no compassion in deeds.",,side matthew depart cursed eternal fire prepared devil angel hungry gave food thirsty gave drink punishment awaits showed compassion deed
2023-02-05 06:01:59+00:00,SubtleThorn,The worst food in the whole world is imaginary food for the starving people who are dying to have a real food in their hungry stomach.. https://t.co/lp8e3UoRyH,Davao City / Mati City,worst food whole world imaginary food starving people dying real food hungry stomach
2023-02-04 07:53:13+00:00,WidyDee,Really. Don’t go near me if I’m hungry. Except you bring food. For me.,Indonesia,really dont go near im hungry except bring food
2023-02-01 08:19:46+00:00,ubudartisan,"Hungry for more? ⁠You’re in luck! We’re back this March to do it all over again. Get ready for two days, filled with delicious food and contemporary crafts. Save the date and stay tuned for more exciting #UbudArtisanMarket announcements!","Ubud, Indonesia",hungry youre luck back march get ready two day filled delicious food contemporary craft save date stay tuned exciting announcement
2023-01-27 10:05:36+00:00,miesunbae,"Such a good taste of food and nice place for hangout ☺️👌 Last picture, si kecik already woke up and hungry 😂 #foodie https://t.co/IjmyjtiX3b",Kuala Lumpur,good taste food nice place hangout last picture si kecik already woke hungry
2023-01-26 06:25:44+00:00,nuriwa_J,"This is a comfort food for most of us whether susah or senang. I’d choose this when I’m too lazy to think of a meal to eat, too lazy to cook or suddenly feel hungry after watching Midnight Diner or anime. Mana laa nak cari miso chashu ramen or kaisedon tgh malam. 😂",Singapore ,comfort food u whether susah senang id choose im lazy think meal eat lazy cook suddenly feel hungry watching midnight diner anime mana laa nak cari miso chashu ramen kaisedon tgh malam
2023-01-21 12:28:09+00:00,jhcapitall,"@SteadyCompound Still waiting for my bro to be back. I'm damn hungry now.

Oh and if you're wondering, there are still more food in the fridge HAHAHA https://t.co/M6RMqCl5KO",Singapore,still waiting bro back im damn hungry oh youre wondering still food fridge hahaha
2023-01-15 20:23:17+00:00,jirehmaya,"Hungry at 4:20am. Opened the fridge to scour for food. Found my jap curry blocks and leftover roasted chicken. Also grabbed an egg and instant noodles. Time to make chicken curry noodles, I guess. Will post pic if I feel like it.","Pasig, Philippines",hungry opened fridge scour food found jap curry block leftover roasted chicken also grabbed egg instant noodle time make chicken curry noodle guess post pic feel like
