Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-30 23:55:01+00:00,firdyfire,"Industry players worried about Energy Commission chief’s ‘other job’

https://t.co/troihOFab9",Malaysia,industry player worried energy commission chief job
2023-03-30 23:49:23+00:00,angel19971102,"@setox8 I love this so much😭😭😭
Clark must've always been worried about Bruce and dreaded about losing him...
love the angst and how Bruce comfort Clark without questioning or doubting anything.",Taiwan,love much clark mustve always worried bruce dreaded losing love angst bruce comfort clark without questioning doubting anything
2023-03-30 23:45:13+00:00,Charrlygirl,@HillaryMonahan I’m worried. For the prosecution team and their families. I’m also worried that a frenzy is about to be whipped up.,MA,im worried prosecution team family im also worried frenzy whipped
2023-03-30 23:29:47+00:00,_AdamBomb95,I literally heard like 4 airplanes fly overhead in the past 20 minutes. All close as fuck too. Not sure if I should be worried.,CA,literally heard like airplane fly overhead past minute close fuck sure worried
2023-03-30 23:17:19+00:00,linusesq,should we be worried about the @phillies?  meanwhile the Jays/Cards trading big shots,Philly metro,worried meanwhile jayscards trading big shot
2023-03-30 23:08:45+00:00,AdrianE04275411,What's so wrong with the New Day passing out boxes of Cinnamoji Toast Crunch at #Wrestlemania? I'd be more worried about the fact that it's not a special edition Booty-O's box.,Somewhere in GA,whats wrong new day passing box cinnamoji toast crunch id worried fact special edition bootyos box
2023-03-30 22:48:45+00:00,AMGglobal64,@CollinRugg I find it ironically hilarious that it only takes about 6 Alpha males to handle a roomful of angry trans mob folk. This is why most of us aren't seriously worried about any threats from the Left.,CA,find ironically hilarious take alpha male handle roomful angry trans mob folk u arent seriously worried threat left
2023-03-30 22:44:14+00:00,jakolenn,Husband is being extra caring these days &amp; I love it 💕he seems to be worried if that annoys me but ai said I like it,sabah,husband extra caring day amp love seems worried annoys ai said like
2023-03-30 22:21:08+00:00,thespicexqueen,America is full of domestic terrorists and everybody worried about countries halfway around the damn world,CA.,america full domestic terrorist everybody worried country halfway around damn world
2023-03-30 21:48:12+00:00,musicienmorose,"This time, Lawrence's patience is wearing thin; and additionally, he's worried someone might walk in and wonder who's messing with the piano.

He moves forward urgently to grab Quincy's arm as soon as he sees him go in for more key smashing.

   ""Why do you behave like a child?""",x,time lawrence patience wearing thin additionally he worried someone might walk wonder who messing piano move forward urgently grab quincy arm soon see go key smashing behave like child
2023-03-30 21:43:26+00:00,HassanMahmood_,@mockingjay_45 Now I'm worried why it took them so much time to realize that,Lahore-Islamabad ,im worried took much time realize
2023-03-30 21:27:12+00:00,smallyang007,"If life cheats you，don't be disappointed and worried.Calmness is needed in melancholy days    #DiorFall23xMileApo 

MILEAPO IN MUMBAI",Thailand,life cheat youdont disappointed worriedcalmness needed melancholy day mileapo mumbai
2023-03-30 21:02:41+00:00,mileapo19851121,"There are many people who get off halfway, you don't have to be worried,    

MILEAPO IN MUMBAI                                                           #DiorFall23xMileApo @milephakphum @Nnattawin1",ประเทศไทย,many people get halfway dont worried mileapo mumbai
2023-03-30 20:52:49+00:00,miiraaRaa,@ApeOnArbitrum yes.  I was worried when your old account disappeared.,Jawa Tengah,yes worried old account disappeared
2023-03-30 20:36:48+00:00,eklaieklaii,"We should all be worried about this. @NepalPoliceHQ, please take them into control if this is in Nepal. If this continues, Nepal will become just like India.",Nepal,worried please take control nepal continues nepal become like india
2023-03-30 20:34:23+00:00,JieMALv,"I st'ill like myselt. I am not disappointed. worried, moved or disappointed.  

@Nnattawin1   @milephakphum #DiorFall23xMileApo",กรุงเทพมหานคร,still like myselt disappointed worried moved disappointed
2023-03-30 20:18:31+00:00,SalmanNaseer,@4eyedRaven @batttman12 Man is depressed and I'm worried about him.,Islamabad,man depressed im worried
2023-03-30 19:53:52+00:00,mileapo19851121,"What is lost is always beautiful, and what is not obtained is always worried.    

MILEAPO IN MUMBAI                                                           #DiorFall23xMileApo @milephakphum @Nnattawin1",ประเทศไทย,lost always beautiful obtained always worried mileapo mumbai
2023-03-30 19:25:53+00:00,IAm_DylanJames,"Y’all rly out here worried and comparing urself to ppl that do not even have an ounce of the values, integrity or self belief that u got and that’s where ur fucked up bc ur not recognizing ur own worth or value so ur getting in ur own way and throwing urself off, acting in ways…","Bali, Indonesia",yall rly worried comparing urself ppl even ounce value integrity self belief u got thats ur fucked bc ur recognizing ur worth value ur getting ur way throwing urself acting way
2023-03-30 19:17:53+00:00,ShahajadaShahP,"Assange has been confined in Belmarsh, a category A prison, in London since April 2019. We, the Bangladeshi alongside other south asian countries  people are also very worried about #JulianAssange. We are also gravely concerned.

#FreeAssangeNOW","Dhaka, Bangladesh",assange confined belmarsh category prison london since april bangladeshi alongside south asian country people also worried also gravely concerned
2023-03-30 18:39:40+00:00,NewAgeBDcom,Editors’ Council worried https://t.co/i0orHyi0Xd,Dhaka,editor council worried
2023-03-30 18:38:37+00:00,SyedAliRizviOf1,"The major underlying cause of increasing poverty is the lack of Basic Human Rights. The dilemma is that influentials ensure people stay worried about bread rather than striving for rights that can solve all social problems.
#Supreme_Court_Of_Pakistan
 #PakistanEconomicCrisis https://t.co/KV4LNqxTmT",Islamabad,major underlying cause increasing poverty lack basic human right dilemma influentials ensure people stay worried bread rather striving right solve social problem
2023-03-30 18:29:21+00:00,Hangvn,"Each ho #推特账号 ur they grew more worried 
#推特代发 #推特群发 https://t.co/sMe9aNdrFA",Vietnam,ho ur grew worried
2023-03-30 18:24:35+00:00,Nowthisisall,"@rsrchaf I was thinking if this guy is behaving so aggressively, then how would he treat the actors as his students?? I’m so worried about them now😂!! Still he literally give his efforts to the shitty trolls!!","London, England",thinking guy behaving aggressively would treat actor student im worried still literally give effort shitty troll
2023-03-30 18:07:43+00:00,kavin9587,@Dave25720402 Why are you worried so much when the owner of this account is not concerned about it?,Singapore,worried much owner account concerned
2023-03-30 17:29:26+00:00,Filpped_Mileapo,"Every day beats for you, every moment is touched by you, every second is worried about you. It's nice to have you :D:

#DiorFall23xMileApo   @milephakphum  @Nnattawin1",ประเทศไทย,every day beat every moment touched every second worried nice
2023-03-30 17:21:04+00:00,Ravithirann,"@thatgurlahal You're assuming things, crying, and ovethinking that makes me feel so bad and worried abt you. 😪💔",Malaysia,youre assuming thing cry ovethinking make feel bad worried abt
2023-03-30 17:20:13+00:00,SoleiLauren,going on a birthday trip ur girl paid for &amp; still being worried about wtf i'm doing and making sure i know is crazyyyyy, Catch me if you can ,going birthday trip ur girl paid amp still worried wtf im making sure know crazyyyyy
2023-03-30 17:13:32+00:00,Mileapo66,"14. The reason why we are worried is that our memory is too good. What should be remembered and what should not be remembered will remain in our memory.
#DiorFall23xMileApo",ประเทศไทย,reason worried memory good remembered remembered remain memory
2023-03-30 17:07:12+00:00,Wenzhou137666,":D: Thise is only one name in the world, and it makes me so worried, like an invisible thread, one end firmly tied to the tip of my heart, and the othis end in your hand :D:

#DiorFall23xMileApo @Nnattawin1 @MilePhakpum",Thailand,thise one name world make worried like invisible thread one end firmly tied tip heart othis end hand
2023-03-30 17:01:16+00:00,Lossblueberr,"@KingXavier28 I'm actually fine, but I'm worried about my school work recently",indonesia,im actually fine im worried school work recently
2023-03-30 16:50:38+00:00,tkey_wm,"please concern about our nong si say na~ he worried about all of the fans too, every people need personal space including them as an artist🙏",Indonesia,please concern nong si say na worried fan every people need personal space including artist
2023-03-30 16:32:46+00:00,pPrince54,All my friends are either engaged or married and all I’m worried about is how can I get another dog,CA,friend either engaged married im worried get another dog
2023-03-30 16:31:53+00:00,hanbinhours,its the fact that gyuvin was consistently being 6th over the last weeks and literally dropped 10 spots outta nowhere I'm so worried for matthew I'm not even kidding,Malaysia,fact gyuvin consistently th last week literally dropped spot outta nowhere im worried matthew im even kidding
