Datetime,Username,Text,Location,Cleaned_Tweets
2023-03-30 06:11:08+00:00,A22118339Ali,"@Jhagra One, to kick out drive of Azadi or Liberty by Law &amp; Justice
To implicitly &amp; explicitly ""remind"" people;
1. You are nothing more than animals
2.their job is to only worry about ""plate of food""
Freedom -integroty-dream-hope are bullshit",Islamabad ,one kick drive azadi liberty law amp justice implicitly amp explicitly remind people nothing animal job worry plate food freedom integrotydreamhope bullshit
2023-03-30 05:48:09+00:00,RaffyInspires,"""Confession time: I like you, but I like food over you. 🤭🍔🍕 Food never judges, it's always there for me, and it never disappoints. But don't worry, you're still pretty awesome too! 😜❤️ #FoodieConfessions #FoodOverLove #JustKidding""",Philippines,confession time like like food food never judge always never disappoints dont worry youre still pretty awesome
2023-03-29 01:40:18+00:00,LJP987,"Attended a wonderful event at Acqua last night. An opening event for the Italian Company Festilia, fruit exporters. Made some new friends, had some delicious food. The fella standing next to me wants to come sing in my bar when I open, I said ok, he said don’t worry, I’m good. https://t.co/s0tFG1tpSF","Bangkok, Thailand",attended wonderful event acqua last night opening event italian company festilia fruit exporter made new friend delicious food fella standing next want come sing bar open said ok said dont worry im good
2023-03-28 07:47:29+00:00,xtremeappliance,"Don't have time to prepare your meals? Worry no more because 1.8L XTREME Home Rice Cooker is here to save the day! 😉 With its automatic keep-warm function, your food is guaranteed warm and ready to serve! Shop it now for as low as P1,395. 💚 https://t.co/bUjR6KedpP",Manila City,dont time prepare meal worry l xtreme home rice cooker save day automatic keepwarm function food guaranteed warm ready serve shop low p
2023-03-28 05:21:51+00:00,asiaonecom,'Worry about my food first': Man cooks lunch inside truck while stuck in 2-hour Causeway jam https://t.co/jEFclccDhh https://t.co/OydkmZCH4W,Singapore,worry food first man cook lunch inside truck stuck hour causeway jam
2023-03-27 20:11:28+00:00,truefanjessica,"@sarah__gohogs @woopigkayla Oh yeah, this includes their food and drink though so it at least relieves me of having to worry about that",📍nwa,oh yeah includes food drink though least relief worry
2023-03-27 09:48:22+00:00,cookcucucu,Hug &amp; Love yourself by accepting your body. Don’t worry when u have a little belly after lunch or when you sit IT’S NORMALLLL. Don’t be afraid to eat. Enjoy food with your friends and get some exercise together. #cookyoga https://t.co/Imdzq9VUJ3,"Bangkok, Thailand",hug amp love accepting body dont worry u little belly lunch sit normallll dont afraid eat enjoy food friend get exercise together
2023-03-26 22:10:32+00:00,_Futgoat_,"@jesseteno @ZokeVM @whalenonfools @ooglybooglybo @deezmalders @SaeedDiCaprio Its harder to become an athlete but once you are its much easier than most jobs, literally everything catered for you to play a game, not working multiple shifts in different conditions or having to worry about money or food.",CA,harder become athlete much easier job literally everything catered play game working multiple shift different condition worry money food
2023-03-25 12:56:23+00:00,unicare_clinic,"Did you know that food poisoning is a common issue for travelers to Bali? Symptoms can include nausea, vomiting, diarrhea, and fever, and can ruin your Bali adventure. But don't worry, we're here to help you prevent and treat it! https://t.co/vXSra6jsEL","Ubud, Indonesia",know food poisoning common issue traveler bali symptom include nausea vomiting diarrhea fever ruin bali adventure dont worry help prevent treat
2023-03-08 03:16:44+00:00,hiduphijau,@NotHarisHazizan Dont worry. I always eat your food 😘,,dont worry always eat food
2023-03-01 04:26:00+00:00,rhyanstjames,"Lord, remind me always that I have nothing except what You give, and I can do nothing except what You enable me to do. Indeed, You tell me to be like the birds that worry about storing food; and to live my life fully by trusting everything in You. #DeoGratias",Philippines,lord remind always nothing except give nothing except enable indeed tell like bird worry storing food live life fully trusting everything
2023-02-28 05:22:04+00:00,AlannaEloa,"In Australia Milo will give me foods, Peter will give me roofs. Everything is free of charge. Graham will give me breakfast and swimming all will be good, no need to worry about me at all but what you have to do, you have to worry about yourselves, just focus on yourself",,australia milo give food peter give roof everything free charge graham give breakfast swimming good need worry worry focus
2023-02-28 01:12:49+00:00,AlannaEloa,"That time I didn't have Passport in Australia. After this I have Passport so no need to worry so much World. I'd loved you too💚. Hungry is my money enough/not to buy food. I said, healthy like protein bars, fresh blended fruits and veggies, nuts, beans are advisable in Pool part",,time didnt passport australia passport need worry much world id loved hungry money enoughnot buy food said healthy like protein bar fresh blended fruit veggie nut bean advisable pool part
2023-02-26 01:24:06+00:00,MattSmith2044,"“You should eat the food you want and you should revel in the drink
You should watch the sun come up and you should have sex on a sink
Wear the clothes you want and never worry what they think
‘Cause it can all be good and gone snap over in a blink, wink”
The Dirty Heads
#Bali https://t.co/q5KJa3bMKy",,eat food want revel drink watch sun come sex sink wear clothes want never worry think cause good gone snap blink wink dirty head
2023-02-25 03:10:52+00:00,mrcurtainmy,"Sunscreen blinds continue to allow “soft light” into your home, so you can still appreciate natural light in the kitchen while you cook without being hot and flustered. They are also easy to clean so there is no need to worry about food and water staining them. https://t.co/JVW4ckwWJP","Johore, Malaysia",sunscreen blind continue allow soft light home still appreciate natural light kitchen cook without hot flustered also easy clean need worry food water staining
2023-02-25 01:24:58+00:00,ChettiarShashi,"Your health is obviously important but stress, fear and worry are far more damaging than any delicious food or drink you may deny yourself. Happiness and peace are the best medicine.",Wilayah Persekutuan Kuala Lump,health obviously important stress fear worry far damaging delicious food drink may deny happiness peace best medicine
2023-02-22 12:26:51+00:00,joyceannclbtz,"Omgggg, super sweet @ChaelAdriano 🥹 Thank you so much po. Don't worry po, malapit na po ako makauwi. Thanks to my friend, Jona sa pamasahe. 🥹 
Also, thank you to all my friends, Jona, Jel, Irish sa foods. Wala akong breakfast &amp; lunch kanina.
Grabe, lifesaver ko kayo 🥹

SLMT 🫶 https://t.co/g8RoQtaULn","Manila City, National Capital ",omgggg super sweet thank much po dont worry po malapit na po ako makauwi thanks friend jona sa pamasahe also thank friend jona jel irish sa food wala akong breakfast amp lunch kanina grabe lifesaver ko kayo slmt
2023-02-21 17:31:58+00:00,Jahenanas,"It's been a while since I sit alone in a fast food restaurant in the middle of the night.

A friend of mine just had a breakdown. Now I'm worry.",Indonesia,since sit alone fast food restaurant middle night friend mine breakdown im worry
2023-01-31 06:09:05+00:00,harsh_vardhhan,"Since many travellers worry about vegetarian food in Vietnam.

It isn’t that rare anymore.

A nice vegan restaurant in Da Nang - Kurumi. https://t.co/dpgcIhoqVa",🇮🇳 India Inc.,since many traveller worry vegetarian food vietnam isnt rare anymore nice vegan restaurant da nang kurumi
2023-01-30 04:22:25+00:00,GoonerGetYahh,"I just don’t need all this fussing about planning what I eat, as if I’ve got enough to worry about in my life &amp; luckily in Thailand I have plenty of foods to choose 😂","Bangkok, Thailand",dont need fussing planning eat ive got enough worry life amp luckily thailand plenty food choose
2023-01-23 06:36:13+00:00,naqirozman,We need to realize that anxiety is not the same thing as anxiety disorder. You may feel anxious when talking to stranger and when ordering food that is just normal. Except when you have prolonged excessive worry and few anxiety disorder symptom that bothering your daily life.,Ipoh,need realize anxiety thing anxiety disorder may feel anxious talking stranger ordering food normal except prolonged excessive worry anxiety disorder symptom bothering daily life
2023-01-08 04:00:00+00:00,ayampenyets3,"Feeling hungry? But Sunday is the day to chill at home? Worry not, we are available online! Just search ✨Restoran Ayam Penyet Simpang 3✨ on your food apps. 😉

@BangiCommunity @BangiKita @Twt__Kajang https://t.co/IALTzisFTv","Kajang, Selangor",feeling hungry sunday day chill home worry available online search restoran ayam penyet simpang food apps
2022-10-31 10:56:59+00:00,robhealthcrunch,"Don’t worry about aging. 

Life after 50 brings more pleasant surprises than you may think - if you follow these 9 steps! 

Reverse your aging process and forget your age - it doesn’t matter! Go for life. 

https://t.co/omsGTIusED

#life #Mindset #health #food","Siem Reap, Cambodia ",dont worry aging life brings pleasant surprise may think follow step reverse aging process forget age doesnt matter go life
