Datetime,Username,Text,Location,Cleaned_Tweets
2022-02-17 03:41:43+00:00,FreeThinkerZone,@WalshyNick Eat less.,"Selangor, Malaysia",eat le
2022-03-01 09:41:36+00:00,kusahafiez,"Dah 2022 pun ada orang buat thread panjang-panjang compare gaji Malaysia dengan (x). Masalahnya there's always someone else who is willing to do more for the same pay, or even worse, do what you do for less. Unless you're a specialist in a niche industry, eat the market standard.",,dah pun ada orang buat thread panjangpanjang compare gaji malaysia dengan x masalahnya there always someone else willing pay even worse le unless youre specialist niche industry eat market standard
2022-03-01 11:30:59+00:00,neesasodirman,I try to work out and eat less,,try work eat le
2022-03-05 02:42:57+00:00,Erouliismail,@WebMD Hopefully less risk for vaccinated person especially with 3 doses / booster shot. Most importantly eat healthy food and clean eating.,"Petaling Jaya, Malaysia",hopefully le risk vaccinated person especially dos booster shot importantly eat healthy food clean eating
2022-03-08 08:39:22+00:00,kiddiepax,"Sometimes i feel bad because kenot eat much. So i'm trying my best to eat a lot when i'm with my man, and less when he's not around.",,sometimes feel bad kenot eat much im trying best eat lot im man le he around
2022-03-18 04:59:24+00:00,yidianlah,"Right food with right meal plan to keep your metabolic sustainable. lose Weight is simply just eat what you like but change the portion of Food you choose. Do not skip meal Or simply eat less with YoYo-Diet because this will bounce back easily. 

I have lost -7kg in a month. https://t.co/SSjYra68nf","Petaling Jaya, Selangor",right food right meal plan keep metabolic sustainable lose weight simply eat like change portion food choose skip meal simply eat le yoyodiet bounce back easily lost kg month
2022-03-29 09:54:01+00:00,BigTreePanMee,Sorry we can’t do less spicy. Be a men and eat your chili. #chiliforlife https://t.co/8pijJA2wSl,"Taman Sungai Besi, WP KL",sorry cant le spicy men eat chili
2022-05-03 16:03:09+00:00,Ken_Fusion,Im still at war bcoz of food poisoning.. maybe will less eat for several day later...,Malaysia,im still war bcoz food poisoning maybe le eat several day later
2022-06-20 11:38:03+00:00,rasyad66,"@Twt_Jogging Mid run if less than 1 hour run, tahan je. One step after another, focus on breathing &amp; next goal post (simpang depan, etc). 
If more than 1 hour run, same but follow your fueling plan (drink/gel every 30 mins/5k/etc).
If not running, just eat but jgn gelojoh 😅",Kuala Lumpur,mid run le hour run tahan je one step another focus breathing amp next goal post simpang depan etc hour run follow fueling plan drinkgel every minsketc running eat jgn gelojoh
2022-07-07 14:22:13+00:00,sunnyckf,"@cinemaniac25 Overall, I like it less. Find it a bit boring although there are several iconic scenes (eat the rice immediately comes to mind). So, sorry John Woo fans. BUT THEN, comes the finale. Balls to the wall craziness that has yet to be topped. Hard Boiled came pretty close.","KL, Malaysia",overall like le find bit boring although several iconic scene eat rice immediately come mind sorry john woo fan come finale ball wall craziness yet topped hard boiled came pretty close
2022-07-20 06:06:31+00:00,bahabidari,"Times are tough and the rakyat have to cut back, eat less and rely on home-grow food more. Some politicians give themselves a 40% raise.  Why do our politicians lack empathy?",Sarawak 🇲🇾,time tough rakyat cut back eat le rely homegrow food politician give raise politician lack empathy
2022-08-15 09:16:17+00:00,mirakoru7,"@Haziqmahmur9 Maksud i, tak senang nak capai 2000 cal kalau makan whole food. Thats the reason why we eat whole food . So that we feel fuller longer = hence eating less = calorie deficit .",Kuala Lumpur Federal Territory,maksud tak senang nak capai cal kalau makan whole food thats reason eat whole food feel fuller longer hence eating le calorie deficit
2022-08-15 09:18:03+00:00,mirakoru7,"The point of eating whole food to keep us full longer = less eating = lower calorie intake = calorie deficit 

Im saying if we eat whole food , its not easy to consume till 2000 cal or more coz ull be so fullll .",Kuala Lumpur Federal Territory,point eating whole food keep u full longer le eating lower calorie intake calorie deficit im saying eat whole food easy consume till cal coz ull fullll
2022-09-01 02:09:27+00:00,sirennextdoor,"When I see reports like this..Id be thinking, what are the alternatives though? 
Not eating or eating less is not really a good option because human beings gotta eat optimally too and that means we still need a good protein source",,see report like thisid thinking alternative though eating eating le really good option human being got ta eat optimally mean still need good protein source
2022-09-19 17:31:37+00:00,medrouq,My mom said you can actually save a lot of you eat out less.,Borneo,mom said actually save lot eat le
