Datetime,Username,Text,Location,Cleaned_Tweets
2023-02-21 15:47:43+00:00,faizalhamssin,"Judging from the sentiment on Facebook, Menu Rahmah is probably the most successful (and well-received) initiative by the PMX govt so far (and by far).

Never underestimate the power of a simple, straightforward initiative - people love food, and they need it cheap. So it works.","Kuala Lumpur, Malaysia",judging sentiment facebook menu rahmah probably successful wellreceived initiative pmx govt far far never underestimate power simple straightforward initiative people love food need cheap work
2023-02-04 16:17:47+00:00,HannZiq,Menu Rahmah ni tak boleh semua pun join sbb ada makanan tu memang tak sesuai pun. I am against for fast food to be part of it. Do we encourage parents give McD &amp; KFC to the kids everyday just because it is cheap under Menu Rahmah?,"kepong, kl",menu rahmah ni tak boleh semua pun join sbb ada makanan tu memang tak sesuai pun fast food part encourage parent give mcd amp kfc kid everyday cheap menu rahmah
2023-01-21 16:57:51+00:00,faizzeo,food confirm pricey. nearest cheap one maybe mynews or shoplot/stall at the LRT station. or axiata arena. onsite confirm mahal. stadium kot. plus the tix is rm40 each. dah level #comicfiesta,Kuala Lumpur,food confirm pricey nearest cheap one maybe mynews shoplotstall lrt station axiata arena onsite confirm mahal stadium kot plus tix rm dah level
2022-12-23 19:55:23+00:00,tsukiyaii,@brgsjks Idc bc i'm either going to sushi zanmai or no sushi at all for me. Freshness tu penting sbb mmg flavor n texture pun lain. Dah forever fobia food poisoning makan cheap sushi.,,idc bc im either going sushi zanmai sushi freshness tu penting sbb mmg flavor n texture pun lain dah forever fobia food poisoning makan cheap sushi
2022-12-13 02:15:20+00:00,chickweed79,"To every customer who review us on google, I know who you are. Expecting cheap lunch set menu on PH but saying you want to spend your money on our food is contradictory.
You give customer service 1/5 cos you can’t get cheap lunch set just show what a cheap skate you are.",68100,every customer review u google know expecting cheap lunch set menu ph saying want spend money food contradictory give customer service co cant get cheap lunch set show cheap skate
2022-12-06 00:04:28+00:00,luxentX,"Real maple syrup is expensive in Malaysia. In Malaysia, they have corn syrup instead which is cheap served in fast food joints for waffles.",Petaling Jaya,real maple syrup expensive malaysia malaysia corn syrup instead cheap served fast food joint waffle
2022-12-04 10:12:03+00:00,izuddinhelmi,Delicious cheap food. https://t.co/GmBGJHl4KZ,Kuala Lumpur Federal Territory,delicious cheap food
2022-11-29 10:36:17+00:00,thegreatjinnie,"Conclusion for today self rewards 'day'
1) Got myself a new PUMA shoe
2) Nice lunch food with officemates
3) Kind grab drivers who entertained my day
The only cons is public transport. Hard to travel around shah alam cheap and fast. Spent RM40 + just for traveling. https://t.co/L38rVjrK5E",ma bed,conclusion today self reward day got new puma shoe nice lunch food officemates kind grab driver entertained day con public transport hard travel around shah alam cheap fast spent rm traveling
2022-11-15 12:10:09+00:00,AlannaEloa,"Spend my cheap salary is just to buy toiletries more expansive than my food price for my body, my brain no food",,spend cheap salary buy toiletry expansive food price body brain food
2022-10-27 13:50:02+00:00,AlannaEloa,"Eventhough I got paid cheap, and I have to buy the cheapest foods doesn't mean that my foods price are cheap and I eat the cheap foods",,eventhough got paid cheap buy cheapest food doesnt mean food price cheap eat cheap food
2022-10-22 16:52:50+00:00,radziyusof,"7. If you think, our currency is good now, it used to be 1:1 and now 1TL is about 30 sen, hence things are cheap. Nope. To begin with the price in lira especially food is nothing less than 120TL. Campur air, at least RM50. Good meal is about RM70.",Putra Heights,think currency good used tl sen hence thing cheap nope begin price lira especially food nothing le tl campur air least rm good meal rm
2022-07-07 03:49:41+00:00,sirennextdoor,What the hell is small order fee @GrabMY why cant i order cheap food? https://t.co/OwNMyVWAK0,,hell small order fee cant order cheap food
2022-06-16 04:03:04+00:00,MarioJD90,"Finally managed to get proper groceries via @HappyFresh_MY .

Food delivery is not cheap at all. Definitely a luxury 💀","Kuala Lumpur,Malaysia",finally managed get proper grocery via food delivery cheap definitely luxury
2022-05-08 04:21:25+00:00,jimmyjemii,Absolutely agree. Currently interning in KL. My first time staying independently without family. Found a rental home in kampung baru. Near to workplace. Near to lrt and monorail. Got many good and cheap foods. Really love being here. 🤣,"Kuala Lumpur City, Kuala Lumpur Federal Territory",absolutely agree currently interning kl first time staying independently without family found rental home kampung baru near workplace near lrt monorail got many good cheap food really love
2022-03-23 13:54:15+00:00,MUAZZUDIRADAM,@hafizithninlol Demson. Cheap enough. Arghhhhh!!! Cannot stand anymore laa. Come here free food from kakton cafe.,TUKANG MASAK,demson cheap enough arghhhhh stand anymore laa come free food kakton cafe
2022-02-05 04:59:13+00:00,SeowChinSiew3,"Malacca housing is excellent and expanded to Green area.
Future investors will pouring in to Malacca as foods is cheap.
Environment is Green. https://t.co/H9OsNqNtjl",,malacca housing excellent expanded green area future investor pouring malacca food cheap environment green
2022-10-26 14:21:18+00:00,WMHilmiOmar,"Oh no, a cheap fast food is cheaply made.",Kuala Lumpur Federal Territory,oh cheap fast food cheaply made
