Datetime,Username,Text,Location,Cleaned_Tweets
2022-03-11 09:04:03+00:00,apisulaiman,"It seems that I have to bring my own food from home, packing food from outside is very expensive.",,seems bring food home packing food outside expensive
2022-03-13 07:33:36+00:00,jeiyaaa_,"Dude, my expenses is expensive. My haircare, skincare, my food, my health, my makeup needs my love","Petra Jaya,Kuching",dude expense expensive haircare skincare food health makeup need love
2022-03-27 10:48:38+00:00,xatullee,@CeddyOrNot Ya laa the food quite expensive but i think the price mmg standard kalau masuk food festival mcm tu. All this while klau ada food fest mmg harga semua above rm10. Mybe these kids yg complaint never went food fest bfore kot 💁🏻‍♀️,"Muo → Klang Valley, MY",ya laa food quite expensive think price mmg standard kalau masuk food festival mcm tu klau ada food fest mmg harga semua rm mybe kid yg complaint never went food fest bfore kot
2022-04-03 11:00:54+00:00,Bubbly1003,"After 20 years or so of hard labour and simpan duit, I manage to fly economy on @KoreanAir to Seoul and @jejuair to Jeju, South Korea in 2018. 10 days trip. Spent almost 9k (food + accommodation + transportation). That's my most expensive self reward by far. 😌",United Federations of Planets ,year hard labour simpan duit manage fly economy seoul jeju south korea day trip spent almost k food accommodation transportation thats expensive self reward far
2022-04-07 06:05:34+00:00,yanasyrfftxn,"On a related note, cuba lah menyimpan.. Sikit pun ok daripada takda langsung, lama-lama jadi bukit. If you could spend on expensive foods or stuff many times in a month, not having the ‘privilege to do saving’ is not the case for you. You actually could, but you choose to not to.",MARL,related note cuba lah menyimpan sikit pun ok daripada takda langsung lamalama jadi bukit could spend expensive food stuff many time month privilege saving case actually could choose
2022-04-17 05:09:23+00:00,sara_nikka,"@financialfaiz I am very much aware of brands and how it costs. However, for me if I am gifting my wife a present, I would not describe it as mid level. It's like food, there's a lot expensive food out there, but you won't call home cooking ' just mid level'. It degrades the value of the gift.",Kuala Lumpur,much aware brand cost however gifting wife present would describe mid level like food there lot expensive food wont call home cooking mid level degrades value gift
2022-04-23 12:17:12+00:00,kiddiepax,"I need things that money can't buy. That's the problem. I don't need presents. I don't need food. I don't need gifts. I just need time and attention. That's the most expensive things. It makes me insecure when my man didn't spend time with me. Insecure, is that the right word?",,need thing money cant buy thats problem dont need present dont need food dont need gift need time attention thats expensive thing make insecure man didnt spend time insecure right word
2022-04-26 17:21:35+00:00,changing_shade,"Unpopular Opinion- this is the reality of quality raw materials. Its expensive. If they scale back to fit malaysian pricing, it probably wont be very good… just accept the fact our wages are low and our food stuff prices went up, n keep pushing fr higher minimum wage",Kuala Lumpur City,unpopular opinion reality quality raw material expensive scale back fit malaysian pricing probably wont good accept fact wage low food stuff price went n keep pushing fr higher minimum wage
2022-05-19 04:51:46+00:00,syncsooya,"The food here is expensive -,-",W.A ♡,food expensive
2022-05-24 00:59:12+00:00,gbeejipp,Foods in Sabah are so expensive I don't know how these poor people can survive #shitfact,Malaysia,food sabah expensive dont know poor people survive
2022-05-30 14:01:54+00:00,jimmyjemii,@yulianamour I literally cried because foods are expensive. And its not my fault that i have a big appetite. 😭😭😭,"Kuala Lumpur City, Kuala Lumpur Federal Territory",literally cried food expensive fault big appetite
2022-06-06 06:41:09+00:00,_alissyaibrhm,"My mom always told me save my money. But i cant do that. I tried. Instead I spend my money go for travelling, buying some expensive stuff and good food. 🫠",Malaysia,mom always told save money cant tried instead spend money go travelling buying expensive stuff good food
2022-06-10 05:48:11+00:00,Eva7314,@ainsophea_ Erm yes but it was done properly with well-known caterers and proper guest management to minimise wastage on food as well as ensuring proper handling of food to avoid it going bad in the heat etc. Most important- well known and trusted caterer even if they are expensive,Malaysia,erm yes done properly wellknown caterer proper guest management minimise wastage food well ensuring proper handling food avoid going bad heat etc important well known trusted caterer even expensive
2022-06-13 12:13:05+00:00,rahmanbaaqeel,"@aingerrrrrr No WiFi, expensive food, wild dogs and toilets aren't clean. What is wrong with IIUM?

Good enough right? hahaha","Kuala Lumpur , Malaysia",wifi expensive food wild dog toilet arent clean wrong iium good enough right hahaha
2022-06-15 18:02:28+00:00,dyzulll,And all food at GSC Cinema is ridiculously expensive too! Please check 🙏🏼,Kuala Lumpur,food gsc cinema ridiculously expensive please check
2022-06-17 03:16:09+00:00,MarioJD90,We love Arab food but it's soo expensive 😫,"Kuala Lumpur,Malaysia",love arab food soo expensive
2022-06-19 15:20:09+00:00,j9wgcnkn,Nice food. But a bit expensive https://t.co/WnLDPA7pHw,,nice food bit expensive
2022-06-21 10:34:23+00:00,ryuhiro,"Good think i can't speak chinese and she can't speak english so speak rojak malay. But i really just don't like her attitude. Saying her food is expensive lar, medical bill is this much lar, and what am i suppose to do with that knowledge?",Malaysia ,good think cant speak chinese cant speak english speak rojak malay really dont like attitude saying food expensive lar medical bill much lar suppose knowledge
