Datetime,Username,Text,Location,Cleaned_Tweets
2022-03-25 14:38:23+00:00,rosogolla,The new world order wants to create hyperinflation and a food shortage.Many will perish of hunger as the sheeple sleep.,,new world order want create hyperinflation food shortagemany perish hunger sheeple sleep
2022-03-28 04:46:46+00:00,SanasyAppanah,Putin made hell for millions around the world. Food shortage due to short supplies like grains to third world countries. Hardly any left over for next day. Basic needs like breads are very essential item for poor people. Putin not only killing innocents but killing poverty nation https://t.co/i48BIR0Oxr,"Bandar Kuala Lumpur, Wilayah P",putin made hell million around world food shortage due short supply like grain third world country hardly left next day basic need like bread essential item poor people putin killing innocent killing poverty nation
2022-04-28 14:48:29+00:00,meowfrgrl,@_Idzham_ dont eat outside la waktu bln puasa ni. supply chain problem and food shortage,Malaysia,dont eat outside la waktu bln puasa ni supply chain problem food shortage
2022-05-16 02:02:50+00:00,Faeqah92,Food shortage + economic crisis is real.,Malaysia,food shortage economic crisis real
2022-05-16 15:53:23+00:00,Gvan89,"@GSCinemas I went to Times Square branch, you’re totally shortage of staff. I missed my movie for 30 minutes just to redeem my food. Only 1 counter open. Pity that guy need to handle more than 40 customers. They’re working very hard. Please support them. 😢","Kuala Lumpur, Malaysia",went time square branch youre totally shortage staff missed movie minute redeem food counter open pity guy need handle customer theyre working hard please support
2022-05-22 01:52:37+00:00,SanasyAppanah,"One after one problem challanging Team Biden government? Where are Republicans to help Americans in need for solutions! Trump left with dirt all over in WH DC so to keep cleaning since Biden took office. Pandemic, Ukraine attack by Putin ego war made whole world shortage of food? https://t.co/G9gQFMWKxQ","Bandar Kuala Lumpur, Wilayah P",one one problem challanging team biden government republican help american need solution trump left dirt wh dc keep cleaning since biden took office pandemic ukraine attack putin ego war made whole world shortage food
2022-05-23 07:39:49+00:00,wforneetha,"When we heard climate change, we saw changes seasons messed up, now we know soil is degrading, we have time to reverse it back to atleast minimum 3% of its organic content. Do we have to wait till its ‘ food shortage’?Lets Do It Now. @cpsavesoil @KeTSAMalaysia @KASA_Malaysia",Malaysia,heard climate change saw change season messed know soil degrading time reverse back atleast minimum organic content wait till food shortagelets
2022-06-14 05:35:04+00:00,JoAnnaJurczyga,"Russia deliberately uses information and #FoodSecurity as another weapon from its vast non-military arsenal, aimed at @Ukraine and the rest of the world.

Threat of shortage of food supplies and famine - not only in 🇺🇦 but also Africa and Asia is getting more and more realistic. https://t.co/VtMfQiiasO","Kuala Lumpur, Wilayah Persekut",russia deliberately us information another weapon vast nonmilitary arsenal aimed rest world threat shortage food supply famine also africa asia getting realistic
2022-06-14 05:40:25+00:00,PLinKualaLumpur,"Russia uses food as weapons again!
Threat of shortage of food supplies and famine - not only in Ukraine 🇺🇦 but also Africa and Asia is getting more and more realistic.

We must stop 🇷🇺 from causing Holodomor again!

#StopRussianAggression 
#FoodSecurity

@FAO @WFP @_AfricanUnion https://t.co/DK92qlqoEk",Malezja,russia us food weapon threat shortage food supply famine ukraine also africa asia getting realistic must stop causing holodomor
2022-07-10 14:23:52+00:00,truelovej,Crazy dinner by the beach. Last meal with the cousins before ✈️🥹🥹 will def be back for more food hunting (minus the water shortage 😝) @ Northam Beach Cafe https://t.co/p1rDtPpNKn,"iPhone: 0.000000,0.000000",crazy dinner beach last meal cousin def back food hunting minus water shortage northam beach cafe
2022-10-18 15:56:51+00:00,LawrenceLowAK,"How Malaysia can deal with a possible global recession in 2023, food security, pharmaceutical supply, shortage of labours, amid a worsening Russia-Ukraine war and China’s persisting zero Covid policy.",Kuala Lumpur,malaysia deal possible global recession food security pharmaceutical supply shortage labour amid worsening russiaukraine war china persisting zero covid policy
2022-11-04 03:23:52+00:00,cckkpr,Malaysia is headed for better days with so many candidates promising a better future for the country. We are witnessing a hike in food prices amidst a shortage n yet no one has a solution to it. Sigh!,"Kinta, Perak",malaysia headed better day many candidate promising better future country witnessing hike food price amidst shortage n yet one solution sigh
2022-11-28 09:22:15+00:00,johnny_samson,"""Instead, these ships of the desert have fatty tissue stored in their humps, which becomes their source of nourishment in case there is a shortage of food.""","Kota Kinabalu, Sabah",instead ship desert fatty tissue stored hump becomes source nourishment case shortage food
2022-12-25 04:37:41+00:00,redzayusoff,"@rafiziramli In an iview, you've been babbling about youth to start small scale farming to overcome food shortage before. Remember? You said you weren't paid 80/90k to think about that problem. And why does condemning your copy paste solution makes it ""geng PN""?",Malaysia,iview youve babbling youth start small scale farming overcome food shortage remember said werent paid k think problem condemning copy paste solution make geng pn
2023-03-27 01:59:56+00:00,NewsBFM,"1. The Agriculture and Food Security Ministry assures, that there will not be any shortage of perishable goods throughout Ramadan and the Hari Raya Aidilfitri season.

It says it has yet to receive any complaints on supply shortages for raw materials and foods. https://t.co/NqEYTXuWWy",Kuala Lumpur,agriculture food security ministry assures shortage perishable good throughout ramadan hari raya aidilfitri season say yet receive complaint supply shortage raw material food
