Datetime,Username,Text,Location,Cleaned_Tweets
2022-02-01 01:20:36+00:00,RazakZaha,"Slowly rebuild pace.

I got problem with knees injury and sudden hungry after first 4km.

Pathetic https://t.co/hkd2oeRnIX",Kuala Lumpur,slowly rebuild pace got problem knee injury sudden hungry first km pathetic
2022-02-01 15:14:30+00:00,nickiemarissa,"Super hungry! Late night snack..
#MisoSoup @ Subang Jaya https://t.co/uSlYwtoFij",Kuala Lumpur,super hungry late night snack subang jaya
2022-02-02 02:40:18+00:00,ceciliacsyi,Romantic = having sex? ROFLMAOLOL SOMEONES HUNGRY,,romantic sex roflmaolol someone hungry
2022-02-02 06:59:33+00:00,khalisaamini,hungry alll the time,,hungry alll time
2022-02-02 07:24:58+00:00,Eilarashid,Coming back from night club looking for breakfast cause you both are hungry to death and just wanna go home to doze off,MALAYSIA,coming back night club looking breakfast cause hungry death wan na go home doze
2022-02-03 07:46:20+00:00,qstnjnnh,I'm so tired and hungry but I must queue in line 😔😔,your mind,im tired hungry must queue line
2022-02-05 10:51:38+00:00,ChelseaPeminat,@Mulut_Cabai We Malaysians should stop calling people VIP or VVIP because no human is more important than any other human. Everybody is dispensable in the eyes of a hungry tiger or lion.,,malaysian stop calling people vip vvip human important human everybody dispensable eye hungry tiger lion
2022-02-07 05:37:31+00:00,BNerdy13,"@_cuddleboii Damn, must be really hungry huh","Kuantan, Pahang",damn must really hungry huh
2022-02-07 16:18:10+00:00,jasontoh83,"“Be humble, be hungry, and always be the hardest worker in the room” - Dwayne “The Rock” Johnson #quoteoftheday #dwaynejohnson @ Traders Hotel, Kuala Lumpur https://t.co/lruSItcmHV",Malaysia,humble hungry always hardest worker room dwayne rock johnson trader hotel kuala lumpur
2022-02-08 22:32:40+00:00,bukumalam,@vyrtweets Usually got eerie story atau past experiences from people lah masa hari hungry ghost festival?,Kuala Lumpur Federal Territory,usually got eerie story atau past experience people lah masa hari hungry ghost festival
2022-02-09 04:15:57+00:00,glennguan,"Hungry la! #penangroad celdol, asam laksa and duck egg char koay teow 😍 #musthave @ Penang Road Famous Teochew Chendul https://t.co/aahMbGLlrP",Malaysia,hungry la celdol asam laksa duck egg char koay teow penang road famous teochew chendul
2022-02-09 08:00:03+00:00,afmnurdin,dia mcm hunger game or maze runner show dah. Siapa xprnh kena covid should be in a champion group,,dia mcm hunger game maze runner show dah siapa xprnh kena covid champion group
2022-02-09 11:49:46+00:00,ladymissazira,"Why does it take longer for brown rice to cook compared to white rice?

Seriously, hungry woman.",Malaysia,take longer brown rice cook compared white rice seriously hungry woman
2022-02-09 16:56:14+00:00,Mayna_Patel,"Who is cooking wtth butter at this hour?!
Damn, it smells soo good thay I feel hungry and not sleepy anymore.. https://t.co/csoAhTAWae","Petaling Jaya, Selangor",cooking wtth butter hour damn smell soo good thay feel hungry sleepy anymore
2022-02-09 19:22:45+00:00,ftnsyznaa,I’m hungry thooo….🥺,"Muar, Johor",im hungry thooo
2022-02-10 14:08:20+00:00,al_seng,"@AzalinaOthmanS @MYParlimen To me, for a country a country which embrace democracy to have a law to guide our politician moral is a shame and showing a degrading society. 
Voter should vote for those serving for the country not those selfish candidate / selfish politician / power hunger political party.",,country country embrace democracy law guide politician moral shame showing degrading society voter vote serving country selfish candidate selfish politician power hunger political party
2022-02-10 15:10:38+00:00,donnajourneyx,"Its hard to feel hungry after eating 650g watermelon (~200cals) 😋

Snack time! https://t.co/pofRZWwXyh","Kuala Lumpur, Malaysia",hard feel hungry eating g watermelon cals snack time
2022-02-11 10:13:45+00:00,srhliy,Tired &amp; hungry 😪,,tired amp hungry
2022-02-12 00:55:55+00:00,FadzrainA,"I wanted to sleep but hungry , ahh okay, that’s it going to the kitchen now. Sksksk",Lost Cause,wanted sleep hungry ahh okay thats going kitchen sksksk
2022-02-13 14:40:31+00:00,Haboque,@NasreenRazak It's the hunger right? I know...I feel it too... Hahaha,Kuala Lumpur,hunger right knowi feel hahaha
2022-02-13 15:26:31+00:00,hezatch,"Regardless what nationality you're holding, no one deserves to be hungry in this country 😔","KL, M'Sia",regardless nationality youre holding one deserves hungry country
2022-02-14 09:18:01+00:00,chxrmnjy_,Just had a muffin because Im too hungry. But let's make it a pre-workout meal 😋,,muffin im hungry let make preworkout meal
2022-02-14 14:49:27+00:00,golfpaths6,I still don't get my fellow humans... Still greedy and power hungry in a #pandemic! Only in #Malaysia? Not just the politicians too.,Malaysia,still dont get fellow human still greedy power hungry politician
2022-02-14 16:27:52+00:00,mookswarfare,Im so fucking hungry for achievement,BAY AREA,im fucking hungry achievement
2022-02-17 09:12:46+00:00,Rainbowpops11,I'm hungry watching all the tik tok videos. 😭😭😭,"Selangor, Malaysia",im hungry watching tik tok video
2022-02-17 15:22:31+00:00,AlannaEloa,"Otw back to home after work, hungry, tired and stressed https://t.co/clIccQQMFO",,otw back home work hungry tired stressed
2022-02-17 17:11:23+00:00,88maira88,anyways not my family has been tested positive one by one like its hunger games or sumn 💀 stay safe boo,,anyways family tested positive one one like hunger game sumn stay safe boo
2022-02-18 12:05:12+00:00,tenthofjune,Hungry but too drained to move.,"Klang, Malaysia ",hungry drained move
2022-02-20 02:38:27+00:00,FreeThinkerZone,@LeanGeekInvests Let us feed the hungry ones delicious food!,"Selangor, Malaysia",let u feed hungry one delicious food
2022-02-20 02:49:05+00:00,craigansibin,"BATC2020
INA🇮🇩3-1🇲🇾MAS

#BATC2022
Meet again in the final and will Malaysia able to get it right this time?

Last edition, Cheam June Wei was the sole contributor for our national camp.

[Prediction]
🇮🇩1-3🇲🇾
OR
🇮🇩2-3🇲🇾

MD🇮🇩 are young but they are hungry and aggressive! https://t.co/9ljLzPEiMW",Malaysia,batc inamas meet final malaysia able get right time last edition cheam june wei sole contributor national camp prediction md young hungry aggressive
2022-02-20 12:42:01+00:00,aisyabenisha,the hungry and the hairy memang best. love love love sangat. i wish there’s 2nd season.,,hungry hairy memang best love love love sangat wish there nd season
2022-02-21 06:22:08+00:00,enriquemikail,Im hungry to eat pussy now. Give me,"Kuala Lumpur, Wilayah Persekut",im hungry eat pussy give
2022-02-21 06:24:18+00:00,glennguan,Hungry porkie 🐷 Monday 😝 @ Boon Signature Roast Pork https://t.co/M82LI3GOhY,Malaysia,hungry porkie monday boon signature roast pork
2022-02-23 06:36:14+00:00,captainshrimpPJ,"2XL sizes available too now! Each trays serve 25 hungry souls.

Multiple Catering Menus To Choose From. For 4 to 50pax. Same Day Delivery! Amplify your Next Event. Get Quote Now! @ Petaling Jaya, Malaysia https://t.co/f2U02Lv5bM","Petaling Jaya, Selangor",xl size available tray serve hungry soul multiple catering menu choose pax day delivery amplify next event get quote petaling jaya malaysia
2022-02-23 14:27:47+00:00,jatsuislalune,"me hungry hungry, lovey dovey","Georgetown, MY",hungry hungry lovey dovey
2022-02-25 03:33:59+00:00,SanasyAppanah,If Russians go hungry Putin will get blame for make people poor and uneducated. No future in Russia if Putin stay until 2035? https://t.co/d4q9KdC1ZG,"Bandar Kuala Lumpur, Wilayah P",russian go hungry putin get blame make people poor uneducated future russia putin stay
2022-02-25 10:36:50+00:00,Wan_Zafirah28,When you're cold and hungry,Kuala Lumpur,youre cold hungry
2022-02-25 10:47:35+00:00,latteandflower,There is no grab or food panda delivery at this hour due to the bad weather and i am hungry over subway sandwich 🤤,🇲🇾🇰🇷,grab food panda delivery hour due bad weather hungry subway sandwich
2022-02-26 03:59:28+00:00,jfkjohan,"I’m super humbled with a darn good team. Solid competent leaders who are hungry to learn &amp; improve. Looking for one more junior/fresh grad then, with our intern coming in April, we can grow from strength to strength to help more people improve-their-English!!! @UKEngMatters",AirAsia- The World’s Best!,im super humbled darn good team solid competent leader hungry learn amp improve looking one juniorfresh grad intern coming april grow strength strength help people improvetheirenglish
2022-02-26 06:34:54+00:00,amirulmock,"Need bring awareness that war is hell. Watching the soldiers and warriors bringing smile at the battlefront, that is not fun, that is courage and standing what is right. War is hell, human losses, ruined homes, hunger, mother's cry, holding dead childrens. Its not a video game.",Ipoh,need bring awareness war hell watching soldier warrior bringing smile battlefront fun courage standing right war hell human loss ruined home hunger mother cry holding dead childrens video game
2022-02-26 15:19:57+00:00,sarahshdn,"@cygaraga I may add some since I've been there until I got kicked out from the track before Covid: They should change their marketing strategy in terms of promoting the event. Lately, they've been doing badly.

Also, there are some bad apples in terms of power hunger.","Kuala Lumpur, Malaysia",may add since ive got kicked track covid change marketing strategy term promoting event lately theyve badly also bad apple term power hunger
2022-02-28 03:06:05+00:00,mookswarfare,"@sewer_vent Thank you brother,really need those positive energy for today,hungry for achievement too ❤️",BAY AREA,thank brotherreally need positive energy todayhungry achievement
2022-02-28 03:12:38+00:00,chxrmnjy_,I can eat my breakfast &amp; lunch together at one go. Have no idea why am I so hungry. 😂😂,,eat breakfast amp lunch together one go idea hungry
2022-02-28 04:44:42+00:00,glennguan,Hungry anybody? 😝 #unclefrankie #penangckt #hociak @ Restoran Four Eight 8888 https://t.co/KI91pOyClY,Malaysia,hungry anybody restoran four eight
2022-03-01 04:02:09+00:00,Dhanes42066693,This guy is insane..just finished fight at 160 lbs now want to fight at 170 .. deserved to be champ... HUNGER 🔥,,guy insanejust finished fight lb want fight deserved champ hunger
2022-03-01 09:12:50+00:00,Daliakudo,"Some songs just touch us differently. Some songs evoke specific memories that lay dormant in my hippocampus.

When I listened to that songs again, I can remember vividly the situation again. Stressed, alone, busy n hungry in Sabah.

Not all bad n not all happy either.","Putrajaya, Malaysia",song touch u differently song evoke specific memory lay dormant hippocampus listened song remember vividly situation stressed alone busy n hungry sabah bad n happy either
2022-03-03 11:49:30+00:00,hafiz_hjan,Im hungry and i dont know to eat what. 🥺,,im hungry dont know eat
2022-03-03 13:08:11+00:00,UKRinMAS,"#Ukraine provides food to approx 400 mln people, which is 5% of the world population.

Defending Ukraine also protects the world from hunger and famine.

#StopRussianAggression
#StandWithUkraine️","Kuala Lumpur, Malaysia",provides food approx mln people world population defending ukraine also protects world hunger famine
2022-03-03 13:09:04+00:00,masiaone,Just posted a photo @ The Hungry Tapir https://t.co/y8jvPw5d6N,Kuala Lumpur Malaysia,posted photo hungry tapir
2022-03-03 14:49:35+00:00,_azba_,Not me feeling hungry at this hour. https://t.co/RrvVtRwSd7,Kuala Lumpur City,feeling hungry hour
2022-03-04 11:26:42+00:00,itsyus_my,"Though I can still eat (haven’t lost my sense of smell &amp; taste), but I think I’ve been losing my appetite. I haven’t been  getting enough calories intake for today but I don’t feel like eating 😢 and I don’t feel hungry. This is somehow troubling me. What do I do?",,though still eat havent lost sense smell amp taste think ive losing appetite havent getting enough calorie intake today dont feel like eating dont feel hungry somehow troubling
2022-03-04 12:59:46+00:00,UKRinMAS,"#Ukraine is one of the world’s most important guarantors of food security.

Every 10th loaf of bread 🍞 in the world is backed from grain grown by Ukrainians.

Defending Ukraine also protects the world from hunger and famine.

#StopRussianAggression 
#StandWithUkraine","Kuala Lumpur, Malaysia",one world important guarantor food security every th loaf bread world backed grain grown ukrainian defending ukraine also protects world hunger famine
2022-03-04 14:49:40+00:00,aiaeesya,I am really hungry. I am fucking hungry,Puncak Alam,really hungry fucking hungry
2022-03-04 18:45:04+00:00,Nitinkakad3,@DrSJaishankar @ashishchauhan And what about international flight banned ? Any good news soon? Or still hungry? 2 years looted already. Now how long it will be ?,Singapore,international flight banned good news soon still hungry year looted already long
2022-03-05 02:20:41+00:00,wisterrya,@flnrshin Btw everything looks good....I'm hungry,Malaysia,btw everything look goodim hungry
2022-03-05 12:37:59+00:00,AlannaEloa,"Hungry, tired, restless, feel like my bones gonna break into pieces. Grab car 3 minutes drive is RM8.00 💔 rainy time I have to. Sufferings lifestyle in this Country forever and ever.",,hungry tired restless feel like bone gon na break piece grab car minute drive rm rainy time suffering lifestyle country forever ever
2022-03-06 02:03:42+00:00,HarithAimiros,Poole hungry rn,"Negri Sembilan, Malaysia",poole hungry rn
2022-03-06 02:13:32+00:00,neesasodirman,"Ok i hungry. Yesterday I eat like subway wrap for breakfast, ate burgers and wantan noodles soup only at Genting Skyworlds Theme Park. Btw foods at @GSWorlds is delicious and not too overpriced",,ok hungry yesterday eat like subway wrap breakfast ate burger wantan noodle soup genting skyworlds theme park btw food delicious overpriced
2022-03-06 04:25:51+00:00,ffarhan26,"@zulhilmi_imi Ah to ease your hunger
✨at least✨ https://t.co/822QMYspFd",Malaysia,ah ease hunger least
2022-03-06 07:31:22+00:00,UKRinMAS,"Ukraine is one of the guarantors of global food security. Millions of people at this very moment are eating smth delicious prepared with use 🇺🇦 sunflower oil grown
Defending Ukraine also protects the world from hunger &amp; famine
#StandWithUkraine️ #StopRussianAggression #StopPutin https://t.co/hVLWfTTe4I","Kuala Lumpur, Malaysia",ukraine one guarantor global food security million people moment eating smth delicious prepared use sunflower oil grown defending ukraine also protects world hunger amp famine
