Datetime,Username,Text,Location,Cleaned_Tweets
2022-03-06 02:13:32+00:00,neesasodirman,"Ok i hungry. Yesterday I eat like subway wrap for breakfast, ate burgers and wantan noodles soup only at Genting Skyworlds Theme Park. Btw foods at @GSWorlds is delicious and not too overpriced",,ok hungry yesterday eat like subway wrap breakfast ate burger wantan noodle soup genting skyworlds theme park btw food delicious overpriced
2022-03-10 16:03:49+00:00,FxndTaha,Waiting for #MyrideEp7 on GMM25 and this food show is making me hungry and its 12.03am. https://t.co/rp5u4bFdqu,Kampung Chumphon,waiting gmm food show making hungry
2022-04-23 04:00:27+00:00,sharm78,"Arrived Penang in time for breakfast, so pit stop at @thehillsidecafepenang .
Of course we had 'The Works' ! 🤩 

#anderssonlangkawi #Penang #breakfast #foodie #hungry #food #coffee @ The Hillside https://t.co/j3lf9Kzgd8","Langkawi, Malaysia",arrived penang time breakfast pit stop course work hillside
2022-05-31 03:07:12+00:00,ceciliacsyi,"I have come to the phase where I am constantly hungry 😆 My goodness, always always looking for food!",,come phase constantly hungry goodness always always looking food
2022-06-22 10:25:56+00:00,OkaforMaxi,"Go 2 school-ASUU Strike
Go 2 farm-Herdsmen
Go 2 Mosque-Gunmen/Bomb
Go 2 Church-Gunmen/Bomb
Travel by road-Kidnappers
Travel by train-Bandits
Graduate from school-No job
You're hungry-Food is expensive
Stay at home-No fuel and Light
So get your PVC. Let's vote right for once! PO",Nigeria & Malaysia.,go schoolasuu strike go farmherdsmen go mosquegunmenbomb go churchgunmenbomb travel roadkidnappers travel trainbandits graduate schoolno job youre hungryfood expensive stay homeno fuel light get pvc let vote right po
2022-07-12 06:35:47+00:00,CurryKhoo,"Very hungry and angry! Everywhere traffic jam, long Q and foods sold out! Walau eh, Penang really the place for Tourism and foods. This is what I manage to get for my lunch! 😭 #Penang #NFTcity #CityOfFoods https://t.co/KGVlb1r2zw","Penang, Malaysia",hungry angry everywhere traffic jam long q food sold walau eh penang really place tourism food manage get lunch
2022-11-03 09:11:03+00:00,fitmomhsien,@pineapplejay3 Is he hungry for the food? Or something else? 🤣🤣🤣🤣,"Seremban, Negeri Sembilan",hungry food something else
2023-01-27 10:05:36+00:00,miesunbae,"Such a good taste of food and nice place for hangout ☺️👌 Last picture, si kecik already woke up and hungry 😂 #foodie https://t.co/IjmyjtiX3b",Kuala Lumpur,good taste food nice place hangout last picture si kecik already woke hungry
2023-03-28 12:18:13+00:00,kennleandre,"@tenoq If you're hungry, anything looks tasty. Hence the focus on presentation rather than taste. I realize the lack of the aroma of freshly cooked food at the TTDI one that day",Kuala Lumpur,youre hungry anything look tasty hence focus presentation rather taste realize lack aroma freshly cooked food ttdi one day
2023-03-29 07:47:25+00:00,Lialarsen,"@nziradzemasoja @KingJayZim @TeamFuloZim Perfect example of why not to cook when you are hungry. I hope @nziradzemasoja that you are a serious bodybuilder because that way too much protein for one person. 

So why are the eggs not peeled? Why is the food not served on a plate? 
There is zero creativity here 
Score 4/10",Kuala Lumpur City,perfect example cook hungry hope serious bodybuilder way much protein one person egg peeled food served plate zero creativity score
2023-03-30 01:56:01+00:00,sinardailymy,"To be in charge of a hunger strike was a great responsibility, all I worried about was the fate of the strikers and the desire of the hungry souls for freedom, not food. #IsmaatMansour #ThePalestinianDiaries #HungerStrike #Palestine #Israel https://t.co/KpRdIZ9fF9","Shah Alam, Selangor, Malaysia",charge hunger strike great responsibility worried fate striker desire hungry soul freedom food
