Datetime,Username,Text,Location,Cleaned_Tweets
2022-02-02 08:52:01+00:00,azlinyasmin,"Tell him that his wife was cry and slept with his shirt. I even show him my early breakfast at 5.40a.m. He replied, then suddenly make a video call to check his wife condition. 
I'm sure he was worried because we are  in ldr then my condition  too. Perhaps you are here my boo.",Malaysia,tell wife cry slept shirt even show early breakfast replied suddenly make video call check wife condition im sure worried ldr condition perhaps boo
2022-02-03 11:24:05+00:00,Amisaha8,"Done  booster dose today. Alhamdulillah no major side effect so far, just having mild fever while  husband almost no reaction. 😂

I worried bout my husband the most, because of his allergic history during 1st and 2nd dose. I guess AZ works well with his body. 😄",Kuala Lumpur,done booster dose today alhamdulillah major side effect far mild fever husband almost reaction worried bout husband allergic history st nd dose guess az work well body
2022-02-03 11:39:59+00:00,DeliaNGoG,@bredared1 @RLokomotiv I’m worried sick about my mum …. I’ll have to help her,St Asaph ,im worried sick mum ill help
2022-02-04 01:48:33+00:00,vince_zack,"Ada 3rd wheeler plak enterframe haha
In relationship, esp after certain years, thr will be urge to try new things
One should not feel worried
Its just y both experimenting things together
But never force it
If it doesn't work, abandon the idea
What is important is ur relationship https://t.co/nAgp1sSdTc",,ada rd wheeler plak enterframe haha relationship esp certain year thr urge try new thing one feel worried experimenting thing together never force doesnt work abandon idea important ur relationship
2022-02-04 16:54:32+00:00,harisnazarul,sometimes im worried with myself :'),Ukay,sometimes im worried
2022-02-05 09:29:34+00:00,izauf,@NTFCNathan @TeamPolar17 @McAteeBall @markgoldbridge Btw u should be worried more about the average age of ur supporters.. Coz im afraid u might be irrelevant  in a few decades,"UUM,K.Pasu n langkawi,Malaysia",btw u worried average age ur supporter coz im afraid u might irrelevant decade
2022-02-08 02:06:37+00:00,saraaa_ssi,hsjahsjhssjhs i’ve seen this all over twitter and tiktok and now im the one getting pranked ㅋㅋ the funny thing is i laughed my ass off before actually getting worried seconds later lmaooo 😭😭 https://t.co/qZOmQnCgZS,,hsjahsjhssjhs ive seen twitter tiktok im one getting pranked funny thing laughed as actually getting worried second later lmaooo
2022-02-08 12:44:20+00:00,gloriouscash,@ConnectionsHope So glad. Am worried I will forget my beloved wife too,Kuala Lumpur,glad worried forget beloved wife
2022-02-10 12:42:18+00:00,FAliaHMS,@flitz_please She's a literal noodle now. I'm worried..??,Kuala Lumpur City,shes literal noodle im worried
2022-02-10 14:28:37+00:00,aaron_ariff,@rincredible Been off test based environment for a while so I’m definitely worried about writing and speaking since I have to be more proper. Ahhh kena revise nih,"Sheffield, England",test based environment im definitely worried writing speaking since proper ahhh kena revise nih
2022-02-10 14:29:12+00:00,aaron_ariff,"@izzyfu2 I’m worried about the writing and speaking! Been off test environments, later ter-rojak habiss 😂","Sheffield, England",im worried writing speaking test environment later terrojak habiss
2022-02-11 10:29:49+00:00,IPMEnquiry,"📜📜 Earthquakes in Malaysia: Should we be worried and how to reduce its impact on our buildings? 🏘️🏭🏢

https://t.co/hTtZSjINuC",Malaysia,earthquake malaysia worried reduce impact building
2022-02-12 14:12:42+00:00,ggbkk,@caoshiyu1968 @Reuters She has every right to be worried,Bangkok & rest of Asia,every right worried
2022-02-14 05:47:13+00:00,DanielKinCH,hazel did not poop this morning and till now. i'm worried nia.,"Kuala Lumpur,Malaysia",hazel poop morning till im worried nia
2022-02-16 08:25:57+00:00,leeyouhin,"Uncle YB @limkitsiang , Is high time for you to retired. Enjoy your life now, let youngster, new blood to take their role now.
Not too worried, Leader come and go, but the party will be remain there.

https://t.co/x8prjTLw2Q

https://t.co/mixlQzx4hU https://t.co/Ff2GGXsiGT","Subang Jaya, USJ",uncle yb high time retired enjoy life let youngster new blood take role worried leader come go party remain
2022-02-17 11:27:39+00:00,Syamilosophy,@narsbars3 Probably should be more worried since other universities cancelled their convocation,limbo,probably worried since university cancelled convocation
2022-02-17 17:01:40+00:00,Funkly95,"As much as I'm worried that the numbers that are rising. I am more worried about people are just tired and don't care about SOPs anymore. Paham, there's no way for MCO. But at least reinforced stricter SOPs please? Saman menyaman mcm dah tak guna. Probably other methods?",Malaysia,much im worried number rising worried people tired dont care sop anymore paham there way mco least reinforced stricter sop please saman menyaman mcm dah tak guna probably method
2022-02-19 08:59:02+00:00,CikHaf,"At the age of 3, parents must be worried if their children aren’t able to speak in full sentence of 3-4 words. Paeds would suggest them to go for speech therapy. But when getting old, the society urges you to stop talking and communicating. They say some people need privacy. 🤭",,age parent must worried child arent able speak full sentence word paeds would suggest go speech therapy getting old society urge stop talking communicating say people need privacy
2022-02-21 03:19:18+00:00,sitikasim,Children released. This scenario showed what kind of Islam that's been propagated in Malaysia. We ought to be worried about this. Why are these people cannot see what they r doing is wrong. Separating children from their mother. They're only kids when they were taken &amp; still are!,Kuala Lumpur,child released scenario showed kind islam thats propagated malaysia ought worried people see r wrong separating child mother theyre kid taken amp still
2022-02-21 04:34:44+00:00,realshastidaran,Did test on day 1 also tested negative.. worried due to Omicron variant! https://t.co/QfDTcQnIW9,Selangor Malaysia,test day also tested negative worried due omicron variant
2022-02-22 09:00:53+00:00,HatinSyazana,Get well soon uri fullsun 🥺🥺🥺Yesterday he happily updated  watching Shin-chan  but suddenly today he's not feeling well...I'm really worried ...,Malaysia,get well soon uri fullsun yesterday happily updated watching shinchan suddenly today he feeling wellim really worried
2022-02-22 15:07:21+00:00,YourBaeSyg,"I know some of my mutual are Doctors..Sorry in advanced,but this one stupid anaes doc who attended my mom sumpah no common sense!!! Ass!!! I know u need to tell the truth,tp after that comfort lah patient..Make them feel less worried..ko str8 ckp “nant boleh stroke” fullstop..",Setapak,know mutual doctorssorry advancedbut one stupid anaes doc attended mom sumpah common sense as know u need tell truthtp comfort lah patientmake feel le worriedko str ckp nant boleh stroke fullstop
2022-02-25 00:42:22+00:00,hisyafikasaari,"Dont know you guys. But me &amp; bestie shared random videos everyday. That's how we checking each other out. If she hasn't share anything in a day, i am worried.","Selangor, Malaysia",dont know guy amp bestie shared random video everyday thats checking hasnt share anything day worried
