Datetime,Username,Text,Location,Cleaned_Tweets
2022-03-22 10:27:15+00:00,CurryKhoo,"@flowpetri Ya, that part worry me more. Once the food supply chain got disrupted, world can become chaotic. Hungry man, it’s an angry man.","Penang, Malaysia",ya part worry food supply chain got disrupted world become chaotic hungry man angry man
2022-04-17 04:20:44+00:00,penang_food,"Anyone there looking for fried oysters don't worry we are there to give you best for you 😋shop located in 84 Anjung Gurney 10250, Georgetown, George Town, Penang #food #foodie #penang #penangfood #Malaysia #makan https://t.co/tVoaAXeYRb",Penang ,anyone looking fried oyster dont worry give best shop located anjung gurney georgetown george town penang
2022-07-09 12:58:42+00:00,Hasuki244,"I’ve met his family so now it was his turn😊

Don’t worry, the husky family didn’t eat the fish (@/chaozfish)😂 

We ate nyonya food while we chit chat 😋💬 https://t.co/o0X6RnCJJY",,ive met family turn dont worry husky family didnt eat fish chaozfish ate nyonya food chit chat
2022-07-29 16:02:48+00:00,AlannaEloa,"I'm so hungry, not enough food to my taste. Cost of living is expansive. Single life alone in Malaysia. Don't worry die also alone. To start struggling back to the previous life. How to continue shouldering these pain again. Hopefully there's employer to hire me not to marry me",,im hungry enough food taste cost living expansive single life alone malaysia dont worry die also alone start struggling back previous life continue shouldering pain hopefully there employer hire marry
2022-08-28 07:03:41+00:00,AlannaEloa,"I am always everyday worry living in uncertainty and hanging without ample finance, ample food, ample roof and bright future. Where to stay after 1.9.2022 with still no job as what been guaranteed online before. This is real facts of my life Mr President of USA.",,always everyday worry living uncertainty hanging without ample finance ample food ample roof bright future stay still job guaranteed online real fact life mr president usa
2022-10-03 09:38:49+00:00,natashagideon,When she gets sick I don’t have to worry too much and thats something money can’t buy. Sign up with our code so Inca can get wet food 🌝,Malaysia,get sick dont worry much thats something money cant buy sign code inca get wet food
2022-11-13 02:56:01+00:00,sudut_ngopi,Have a nice Sunday with a cup of good coffee from Sudut Ngopi today! Not a caffeine lover? Worry not! We serve a series of Matcha drinks as well 😉 @Twt_Kuantan @twtkuantan_food @KuantanReview @KuantanTV https://t.co/GjkcGmJRcP,Bandar Damansara Kuantan,nice sunday cup good coffee sudut ngopi today caffeine lover worry serve series matcha drink well
2022-11-25 04:16:12+00:00,goodgirlshaf,"My stomach was abt to explode ystrday, tp andres kept offering me more food.

“Dont worry, it’s free”

😂😂😂",ram chander,stomach abt explode ystrday tp andres kept offering food dont worry free
2022-12-11 23:17:30+00:00,sudut_ngopi,"Not a fan of coffee? Don’t worry, we have several non coffee drinks to offer you and one of it is our delicious Matcha Latte. Visit our home based coffee shop to try it now! @KuantanTV @twtkuantan_food #kuantancoffeeshop #jjcmkuantan https://t.co/HKComyzMAy",Bandar Damansara Kuantan,fan coffee dont worry several non coffee drink offer one delicious matcha latte visit home based coffee shop try
2023-01-08 04:00:00+00:00,ayampenyets3,"Feeling hungry? But Sunday is the day to chill at home? Worry not, we are available online! Just search ✨Restoran Ayam Penyet Simpang 3✨ on your food apps. 😉

@BangiCommunity @BangiKita @Twt__Kajang https://t.co/IALTzisFTv","Kajang, Selangor",feeling hungry sunday day chill home worry available online search restoran ayam penyet simpang food apps
2023-01-23 06:36:13+00:00,naqirozman,We need to realize that anxiety is not the same thing as anxiety disorder. You may feel anxious when talking to stranger and when ordering food that is just normal. Except when you have prolonged excessive worry and few anxiety disorder symptom that bothering your daily life.,Ipoh,need realize anxiety thing anxiety disorder may feel anxious talking stranger ordering food normal except prolonged excessive worry anxiety disorder symptom bothering daily life
2023-02-25 01:24:58+00:00,ChettiarShashi,"Your health is obviously important but stress, fear and worry are far more damaging than any delicious food or drink you may deny yourself. Happiness and peace are the best medicine.",Wilayah Persekutuan Kuala Lump,health obviously important stress fear worry far damaging delicious food drink may deny happiness peace best medicine
2023-02-25 03:10:52+00:00,mrcurtainmy,"Sunscreen blinds continue to allow “soft light” into your home, so you can still appreciate natural light in the kitchen while you cook without being hot and flustered. They are also easy to clean so there is no need to worry about food and water staining them. https://t.co/JVW4ckwWJP","Johore, Malaysia",sunscreen blind continue allow soft light home still appreciate natural light kitchen cook without hot flustered also easy clean need worry food water staining
2023-02-28 01:12:49+00:00,AlannaEloa,"That time I didn't have Passport in Australia. After this I have Passport so no need to worry so much World. I'd loved you too💚. Hungry is my money enough/not to buy food. I said, healthy like protein bars, fresh blended fruits and veggies, nuts, beans are advisable in Pool part",,time didnt passport australia passport need worry much world id loved hungry money enoughnot buy food said healthy like protein bar fresh blended fruit veggie nut bean advisable pool part
2023-02-28 05:22:04+00:00,AlannaEloa,"In Australia Milo will give me foods, Peter will give me roofs. Everything is free of charge. Graham will give me breakfast and swimming all will be good, no need to worry about me at all but what you have to do, you have to worry about yourselves, just focus on yourself",,australia milo give food peter give roof everything free charge graham give breakfast swimming good need worry worry focus
2023-03-08 03:16:44+00:00,hiduphijau,@NotHarisHazizan Dont worry. I always eat your food 😘,,dont worry always eat food
