Datetime,ID,Username,Text,Translated_Tweets,Location
2023-03-30 15:32:49+00:00,1.64E+18,PemdaKabJember,"BUPATI JEMBER BAGIKAN PMT DI DESA LAMPEJI

Bupati Jember Hendy Siswanto menyerahkan bantuan PMT (Pemberian Makanan Tambahan) kepada para ibu hamil dan balita di Desa Lampeji, Kecamatan Mumbulsari, Kamis 30 Maret 2023.
https://t.co/g1Y6CwS7Z2","Regent Jember Show PMT in the village

Regent Jember Hendy Siswanto has handed over PMT (supplements) to pregnant and Balita mothers in the village, Mumbulsari District, Thursday 30th March 2023.
https://t.co/g1y6cws7z2",Jember
2023-03-30 06:07:51+00:00,1.64E+18,thereportermy,"""Saya dapat bantuan JKM (Jabatan Kebajikan Masyarakat) RM300 sebulan yang digunakan untuk membeli makanan dan minuman.""

https://t.co/C8VEhz1D2B https://t.co/sKR0R4V2dl","""I can get the RM300 JKM (Social Welfare) aid a month used to buy food and drinks.""

https://t.co/c8vehz1d2b https://t.co/skr0r4v2dl",Malaysia
2023-03-30 01:56:35+00:00,1.64E+18,Fahri_Official,"Halo @ShopeeCare , saya Seller Shopee mohon bantuan penyelesaian pesanan dengan resi SPXID032833481343   

Disini Barang dikatakan gagal kirim, dan dikembalikan ke penjual. Loh sedangkan barang yg dikirim adalah makanan yg sudah pasti rusak saat dikirimkan kembali ke saya.","Hello @shopeecare, I Seller Shopee Ask for a resolution of the order with a spxid032833481343 resi resi

Here the item is said to have failed to send, and returned to the seller. Loh while the goods sent were food that was definitely damaged when it was sent back to me.","Medan, Indonesia"
2023-03-30 01:45:54+00:00,1.64E+18,Fulan806464364,"https://t.co/cI6Yv5Gf9j

🎙 Berkata Asy-Syaikh Ibnu Taimiyyah رحمه الله,

""Memberi bantuan kepada orang fakir dengan makanan di bulan Ramadhan, merupakan sunnah-sunnah dalam Islam, sungguh telah bersabda Rasulullah ﷺ: Barangsiapa yang memberi

https://t.co/1jY3RJGJXK https://t.co/W5GjAunUxv","https://t.co/ci6yv5gf9j

🎙 said asy-nakikh ibn taimiyyah رحمه الله,

""Providing assistance to the people with food during the month of Ramadan, is the Sunnah of Islam, it is said that the Messenger of Allah (may peace be upon him) said: Whoever gives it

https://t.co/1jy3rjgjxk https://t.co/w5gjaunuxv",di bawah langit-MU
2023-03-30 00:49:36+00:00,1.64E+18,buruhroti,"@belindch Kalau di sekolah anakku buat dana acara kelulusan, selain iuran dari anak kelas 6, murid lain dimintain bantuan jualan makanan pakai katalog. Ga wajib beli,  tp karena jualan makanan ikhlas sih beli, menunya jg enak-enak. Keuntungan jualan yang dipakai buat dana.","@Belindch When in my son's school for approval event, in addition to the 6th grade, another student is asked to help with food sales. GA is required to buy, but because of the sale of sincere food, it is delicious. The sales profit worn for funds.",Semarang
2023-03-29 15:41:30+00:00,1.64E+18,jokowi,"Ngabuburit hari ketujuh bulan Ramadan di Pasar Terong, Kota Makassar. Di sini banyak dijajakan makanan berbuka puasa. 

Saya juga membagikan sejumlah bantuan sosial dan sembako kepada para pedagang dan masyarakat. https://t.co/pVfOkpqchP","The seventh day of Ramadan at the Terong Market, Makassar City. Here is a lot of fast -food breakfasts.

I also share some of the social aids and the traders to the traders and the community. https://t.co/pvfokpqchp",Jakarta
2023-03-29 13:47:30+00:00,1.64E+18,diskomkabbekasi,Yuk bayarkan zakat fitrah sebagai pembersih dari hal yang tidak bermanfaat dan ucapan keji selama berpuasa juga sebagai bantuan makanan untuk para fakir miskin. https://t.co/H81y5zF3kd,Yuk pays for zakat Fitrah as a cleanser from unprofitable and disgusting speeches during fasting as well as food aid for the poor. https://t.co/h81y5zf3kd,"Cikarang, Indonesia"
2023-03-29 12:08:42+00:00,1.64E+18,dapurkelilingEF,"Hari 7 dapur Ramadan utk mbah: telur asin, tumis buncis-tempe, nasi.

Bantuan makanan gratis kpd orang yg sama setiap hari gak hanya bantu mbah2 hemat pengeluaran, tp jg bantu psikologis rasa 'aman pangan' kpd mbah2 yg penghasilan hariannya kecil &amp; gak tentu. Berapapun ... https://t.co/mfH3iICanZ","Day 7 Kitchen Ramadan for mbah: salted eggs, sautéed stir-fry, rice.

Free food help to the same person every day does not only help with the production of production, but also helps the psychological 'safe' to the small daily production & amp; Of course. Anyway ... https://t.co/mfh3iicanz","Yogyakarta, Indonesia"
2023-03-29 10:54:01+00:00,1.64E+18,detikcom,Bantuan makanan bagi penghuni kos sangat membantu. Beberapa cuitan yang memperlihatkan kebaikan hati terhadap penghuni kos ini berhasil buat netizen terharu...  https://t.co/bQtZu6oihr,Food assistance for residents is very helpful. Some of the clients that show the good of the residents of these costs succeed for the netizens to be moved ... https://t.co/bqtzu6oihr,"Jakarta, Indonesia"
2023-03-29 10:42:00+00:00,1.64E+18,chiongsern_n51,"Saya telah membantu dengan memberikan sedikit bantuan kewangan dan bakul makanan yang merupakan kurniaan daripada DYMM Sultan Ibrahim Sultan Iskandar 

Semoga segala dugaan yang dihadapi olehnya dapat ditempuhi dengan tabah.","I have helped by providing some financial assistance and food baskets, which is the gift of Sultan Ibrahim Sultan Iskandar DYMM

May all the expectations he faces can be met with resolve.","Kulai Jaya, Johor"
