Datetime,ID,Username,Text,Tranlsated_Tweets,Location
2023-03-30 16:05:54+00:00,1641471825015341056,Danial24101998,"Kerajaan Harapan National  ni memang luar tabiie sungguh. Yang rakyat minta gaji naik, dividen ASB, Tabung Haji, KWSP keluar, BSKL naik, tapi yang naik OPR, harga barang, harga makanan, kos sara hidup..... lain yang dimintak, lain yang dibagi...","The National Hope Government is really outside. The people ask for a rise, ASB dividend, Hajj Fund, EPF out, KLSE goes up, but goes up, price, food price, cost of living ..... Others are shared, others are shared ...","Cheras, Selangor"
2023-03-30 15:56:47+00:00,1641469527841198080,abgskii,"@babylunna90 Boleh je letak harga siling. Pakai logik awak, jangan la nak bising bila harga barang naik, boleh bela/tanam/ternak sendiri. 

Jumlah ruang niaga pun boleh ditambah untuk beri peluang kepada lebih ramai peniaga. 

Aku pro rakyat. Kau ni pro apa? 😂😂😂","@babylunna90 can be priced at the ceiling. Use your logic, do not want to be noisy when the price of goods goes up, can defend/plant/livestock.

Even the amount of business space can be increased to give more traders the opportunity.

I'm a people pro. What are you pro? 😂😂😂","Kuala Lumpur, Malaysia"
2023-03-30 13:12:12+00:00,1641428108808167426,amer__aljeffrey,Komplain harga barang naik tapi DP dengan air Starbucks 🤭,COMPLAIN PRICE GOODS RISK BUT DP WITH STARBUCKS WATER 🤭,"Kerteh, Terengganu"
2023-03-30 13:00:28+00:00,1641425156655710208,iyaluvosh,"🌻Cicilan Pelunasan sampai barang arrived Ina
🌻dp, cicilan, pelunasan bisa via Shopee
🌻Bisa langsung Full payment

Jika berat naik, maka harga naik. Jika berat turun, maka harga turun","🌻The amortization of the array is arrived ina
🌻DP, CICILAN, amortization can via shopee
🌻 Full Payment Direct Live

If the weight goes up, the price goes up. If the weight is down, then the price goes down",Indonesia
2023-03-30 12:10:41+00:00,1641412629309837313,ArisyaArianna,Kenaikan harga minyak akan menyebabkan kenaikan harga barang walaupun 20 sen sekalipun.,The increase in oil prices will result in rising prices of goods even 20 cents.,"Kuala Lumpur,Malaysia"
2023-03-30 09:25:41+00:00,1641371106035793920,AsahPisau,"@br0mbak @poiuycvbn @YaakubHawa Harga nasi goreng tu kat sesetengah kedai dah bertahun lama dah RM8. So salah PM skrang juga ke? Zaman Najib harga barang naik, zaman Atok, naik, zaman Midin dan Ismail sabri naik. Skrang pun naik, tapi xde pun mencanak² macam untit Hawa kaki fitnah tu tulis.","@br0mbak @poiuycvbn @yaakubhawa The price of fried rice in some shops has been around for a long time. So is it wrong for you to? Najib's time of the price of goods, the days, the rise, the midin and Ismail Sabri. Skrang also went up, but xde was a bit like a slanderous leg.","Kajang, Selangor"
2023-03-30 07:57:36+00:00,1641348938442883074,AsalBerkata,"@musniumar bulan puasa orang makin rakus Mus, makannya makin banyak. yg gak pernah dimakan di hari biasa dimakan jg. yg dimakan maunya yg enak2 pula.barang jd langka, makanya harga naik.","@musniumar fasting month people are greedy Mus, eating more. It has never been eaten on a regular day to eat. The delicious mauns are delicious.",ambarawa
2023-03-30 05:48:47+00:00,1641316522399502336,AsahPisau,"@NaratifRakyat @formulabadut @AzminAli @AnwarWajah @azmyklanajaya @kismath90 @Bro_Jamal7 @LimSiChing @jnmalaysia @ShahrilHamdan @jonestwong Ramadan tahun 2015 pada bulan Jun dol oii. Tarikh post Rafizi bulah Januari tu takde kaitan dgan dengan bulan puasa la..  bukan pakar ekonomi pun, orang umum tahu bulan puasa mmg harga barang akan naik. Teruskan jadi macai Najib yang bebal.",@Narratifrakyat @formulabadut @azminali @anwarwajah @azmyklanajaya @kismath90 @bro_jamal7 @limsiching @jnmalaysia @shahrilhamdan @jonestwong Ramadan 2015 in June Dol Oii. The date of the post Rafizi Bulah January has nothing to do with the fasting month. Continue to be a fool of Najib.,"Kajang, Selangor"
2023-03-30 05:40:12+00:00,1641314359472435200,Zolazrai,"Dia yang gagal dan harus baiki sebenar adalah isu;

SSPN
Caruman Rumah
Harga barang keperluan naik
Women’s march
Haji Rahmah
Pembatalan ceramah agama
JPA dan biasiswa pembelajaran medic student
Fitnah
Lantikan politik
Lantikan keluarga
Saham jatuh
Matawang tak naik2

Dan lain2.","He who fails and should be realized is an issue;

Sspn
Home contribution
Prices of essential goods go up
Women’s march
Hajj Rahmah
The cancellation of a religious talk
PSD and Medic Student Learning Scholarship
Slander
Political appointment
Appoint a family
Stocks fall
Currency does not go up

And so on.","Gombak, Selangor"
2023-03-30 03:32:27+00:00,1641282210065182722,Miduk17,"Kemenhub jg harus dengerin masukan dari @DPR_RI karena menyangkut soal aktivitas distribusi logistik.

Jangan sampai terhambatnya distribusi barang menyebabkan terjadinya kelangkaan barang di daerah-daerah dan mengakibatkan terjadinya kenaikan harga yg memicu inflasi. https://t.co/qasu5cbeGg","The jg should be input from @dpr_ri because it concerns logistics distribution activities.

Do not overstate the distribution of goods causing the loss of goods in the areas and causes a rise in prices that trigger inflation. https://t.co/qasu5cbegg","DKI Jakarta, Indonesia"
