Datetime,ID,Username,Text,Translated_Tweets,Location
2023-03-30 23:39:13+00:00,1641585902903504896,damnedpunk_,"@jalur5_ Hmm, kereta ekonomi, kereta yang harga tiketnya Rp 1500-an dan sempat naik ke angka Rp 2500.
AC yang berasal dari alam, banyak penjual makanan, pengamen, sampai copet pun ada.","@Line5_ Hmm, economic cars, cars whose ticket price is RP 1500 and rose to Rp 2500.
AC is from nature, many food sellers, practitioners, even copets are available.","Jakarta, Indonesia"
2023-03-30 17:45:00+00:00,1641496761675157504,relevan_com_my,"Kekurangan bahan asas jagung dalam pembuatan makanan haiwan ternakan telah memberi impak kepada kenaikan harga ayam dan daging pada ketika ini yang mana perkara itu dirasai seluruh dunia.

https://t.co/SU5nxEegRa","The lack of corn ingredients in the manufacture of livestock food has impacted rising prices of chicken and meat at this point where it was felt worldwide.

https://t.co/su5nxeegra",Petaling Jaya
2023-03-30 16:05:54+00:00,1641471825015341056,Danial24101998,"Kerajaan Harapan National  ni memang luar tabiie sungguh. Yang rakyat minta gaji naik, dividen ASB, Tabung Haji, KWSP keluar, BSKL naik, tapi yang naik OPR, harga barang, harga makanan, kos sara hidup..... lain yang dimintak, lain yang dibagi...","The National Hope Government is really outside. The people ask for a rise, ASB dividend, Hajj Fund, EPF out, KLSE goes up, but goes up, price, food price, cost of living ..... Others are shared, others are shared ...","Cheras, Selangor"
2023-03-29 10:54:04+00:00,1641030958735413249,bumipro2014,@RajaPetra Adakah dgn hapusnya monopoli beras Maka harga beras akan naik? Harga makanan tak kan naik ke?,@Rajapetra Is it with the rice monopoly so the price of rice will go up? Can't food prices rise?,"Negri Sembilan, Malaysia"
2023-03-29 09:26:07+00:00,1641008825401774082,alhaziqqqq,Memandangkan harga makanan kat bazaar dah naik kawkaw jadi kita makan kat kedai jelah lagi murah dan jimat 😮‍💨,Since the price of food at the bazaar has gone up so we eat at the cheap and save 😮‍💨 shop 😮‍💨,Kuala Lumpur
2023-03-29 06:34:27+00:00,1640965625475629057,rkij_sukabumi,"Gubernur Jawa Barat Ridwan Kamil mengatakan harga bahan makanan mayoritas naik pada bulan Ramadan ini. Dia menuturkan, pemicu naiknya harga barang karena naiknya permintaan pasar.","West Java Governor Ridwan Kamil says the price of food for food has risen this month. He said, triggers rose prices for goods due to the rising market demand.","Sukabumi, Indonesia"
2023-03-29 05:20:40+00:00,1640947055492493312,mohammadazmy297,wow!! 203 barangan makanan naik sampai 88% ..ni belum harga nak raya lg..silap2 mau makan ketupat kuah air suam jer ni... itulah akibat sembang kari sembang gajah terbang 🤣🤮🤑💩✅ https://t.co/TIDbysvC1M,Wow !! 203 Food items rose up to 88% ..Then the price of the festival is not good enough..silap2 want to eat this warm water sauce ... that's the result of an elephant chat curry 🤣🤮🤑💩✅ https://t.co/tidbysvc1m,Malaysia
2023-03-29 03:16:51+00:00,1640915896649793536,TVPertiwi_MY,"Kenaikan harga keperluan makanan terutamanya barangan mentah seolah-olah satu kelaziman apabila ia berlaku setiap kali menjelang bulan Ramadan dan perayaan Aidilfitri sehingga membebankan peniaga.
(1/3) https://t.co/ADPGl0xnfZ","The increase in food prices especially raw goods seems to be a common practice when it happens every Ramadan and the Aidilfitri celebration that burdens the traders.
(1/3) https://t.co/adpgl0xnfz",Kuala Lumpur City
2023-03-29 00:00:00+00:00,1640866358903836672,EkonomiRakyatMY,"Tiga rangkaian pasaraya terbesar di Sweden berjanji akan memotong harga barangan makanan yang dijual bagi membantu mengurangkan beban kenaikan inflasi makanan di negara itu

Kadar inflasi makanan naik 22.1% tahun-ke-tahun bagi Februari 2023 di Sweden, tertinggi sejak 1950an https://t.co/qtjrro7L6n","The three largest supermarket networks in Sweden have promised to cut the prices of food items sold to help reduce the burden of food inflation in the country

Food inflation rates rose 22.1% year-to-year for February 2023 in Sweden, highest since the 1950s https://t.co/qtjrro7l6n",Kuala Lumpur
2023-03-28 22:46:34+00:00,1640847881115668480,hairul_hazwan,@DenciShahrizal Setuju tuan. Security of food supply should be prioritized instead of cash crops. Kalau tak memanjang je harga makanan naik tiap tahun sebab kebergantungan dari luar yang turut terjejas oleh nilai matawang.,@Dencishahrizal agrees you. Security of food supply should be priority instead of cash crops. If you do not extend the price of food rises every year due to outside dependence also affected by the value of the currency.,"Johor Bahru, Johor"
2023-03-28 13:56:09+00:00,1640714396031938562,abahlubna,"Ramai penjaja kecil bg feedback,harga tapak bazar mahal gila,dgn barang2 naik harga,memang xdpt la harga makanan harga rahmah

YB @NgaKorMing mintak tgk2 sikit apa sbb mahal,bukannya ada nak kena sediakan apa2 pun","Many small hawkers for feedback, expensive bazaar prices, with rising prices, indeed, the price of food is rahmah price

YB @ngakorming ask for a little bit of expensive, not to have anything to provide anything","Selangor, Malaysia"
2023-03-28 12:11:25+00:00,1640688038845255680,haneefbarnet,"Harga makanan bazaar betul2 naik eh...rase pokai teramat. Not sure if I'm out of the loop, tapi colour me surprised when I found out murtabak is rm8...in jasin pulak tu. Food inflation is out of control man.","The price of bazaar food really goes up ... Not sure if I'm out of the loop, but color me surprised when I found out Murtabak is RM8 ... in Jasin pulak tu. Food inflation is out of control man.","Jasin, Melaka"
2023-03-28 11:57:09+00:00,1640684449657667585,nnastria_,"Harga bahan makanan naik, barang diskinan berkurang, trus harga apartemen juga naik 🥲","Food prices go up, diminished goods, and apartment prices also go up 🥲",Denpasar
2023-03-28 07:33:42+00:00,1640618149610418176,hmetromy,"#kualalumpur Kenaikan harga barang mentah di ibu kota menyebabkan kebanyakan peniaga makanan bazar Ramadan terpaksa menaikkan harga jualan untuk menampung kos.
https://t.co/dvHykUJID0","#Kualalumpur The rise of raw prices in the capital has caused most Ramadan bazaar food traders to raise sales prices to cover costs.
https://t.co/dvhykujid0",Malaysia
2023-03-28 02:00:01+00:00,1640534174129086464,StayForTheMemes,@Ahmad67070622 @fahmi_fadzil Harap Kerajaan Madani dah khatam buku Hasan Malek ni. Dapatlah ilham untuk tangani harga barangan asas n harga makanan kat bazar tu mencanak naik. Hehehe. https://t.co/TbYQCgms8O,@Ahmad67070622 @fahmi_fadzil Hope the government of Madani dah khatam Hasan Malek's book. It can be inspired to handle the price of basic goods and the price of food in the bazaar is rising. Hehehe. https://t.co/tbyqcgms8o,"Dengkil, Selangor"
2023-03-27 18:16:42+00:00,1640417577007747073,devilprinc3,"@AbudiAlsagoff Parking. Harga makanan. Orang jumpa sedara tgh tgh bazaar ramadhan mcm dah 100 tahun tak jumpa. Tu tak masuk yang naik motor, kalau boleh dia nak beratur dgn moto moto skali..","@AbudiSagoff Parking. Food price. People meet in tgh tgh bazaar ramadhan mcm for 100 years. He didn't get in the motorcycle, if he could get in line with the motorcycle.","Selangor, Malaysia"
2023-03-27 11:45:00+00:00,1640319001472516097,501Awani,"Tumpuan #AWANI745 malam ini:
 
📌 Harga makanan di kedai turun pada Februari, harga sayur pula naik
selagi ekonomi tidak pulih, selagi itu PM tak ambil gaji
📌 Pembangkang dakwa lawatan PM ke Arab Saudi gagal, tuntut penjelasan

#AWANInews  https://t.co/3bVzNBHrUM","Focus #AWANI745 Tonight:
 
📌 Food prices in the store dropped in February, vegetable prices rise
As long as the economy is not recovering, so long as the PM does not get the salary
📌 Opposition claims PM's visit to Saudi Arabia failed, claiming an explanation

#Awaninews https://t.co/3bvznbhrum",Malaysia
2023-03-27 11:26:38+00:00,1640314379576164354,FirdausAzil,"Harga makanan dijangka terus naik pada Ramadan, Aidilfitri https://t.co/Vn4g1mxRAJ","Food prices are expected to continue in Ramadan, Aidilfitri https://t.co/vn4g1mxraj","Johore, Malaysia"
2023-03-27 11:01:33+00:00,1640308066964107265,NightOwlGenY2,@everlastlbs yg cakap harga  naik tu jual apa bnd makanan nya,@everlastlbs who say the price goes up and sells what the food is,Kuala Lumpur
2023-03-27 10:35:50+00:00,1640301597325660160,HRHMBE,@awesomecemok Ini kan yg masa jadi menteri kpdn dulu cakap harga gula naik ada hikmah supaya rakyat kurangkan guna gula dlm minuman &amp; makanan elak penyakit kencing manis....jni penyokong tegar zahid. Lepas jadi menteri jadi duta ke cambodia,@awesomecemok This is the time when the ministers of the KPDN first said the price of sugar rises there is wisdom so that the people reduce sugar in drinks & amp; Foods Avoid diabetes .... JNI Zahid's hardcore supporters. After being the minister became ambassador to cambodia,Kuala Lumpur
2023-03-27 09:37:51+00:00,1640287005295939584,AliAhme70978158,Actually it reminded me of Egypt selepas Husni Mubarak jatuh. Ikhwanul Muslimin naik. Semua org happy. Selepas 2-3 bulan demand macam2. Nak harga barang turun. Nak subsidi makanan. Sudahnya Kjaan Ikhwan tumbang. Tak sabar masing2,Actually it reminded me of Egypt after Husni Mubarak fell. The Muslim Brotherhood goes up. Everyone is happy. After 2-3 months of demand. For the price of goods to go down. Want to subsidize food. The Brotherhood is already falling. Can't wait,"Seremban, Negeri Sembilan"
2023-03-27 08:06:52+00:00,1640264108175167489,501Awani,"Penurunan buat pertama kali susulan beberapa usaha yang dijalankan oleh kementerian dalam memastikan kenaikan harga makanan siap dimasak dikurangkan.

#AWANInews 
#AWANI745

https://t.co/PaYo7VzW18","The first decrease following some efforts made by the ministry in ensuring that the rising food prices are reduced.

#Awaninews
#AWANI745

https://t.co/payo7vzw18",Malaysia
2023-03-27 07:11:11+00:00,1640250093055123457,KrishnanLm,@LagaCawan NAK BODOH KAN RAKYAT....BAGI SEEKOR IKAN JE..MANA CUKUP...HARGA IKAN NAIK MCM EMAS...SEEKOR IKAN INI MAKANAN UNTUK 5 TAHUN KE...🤦🤦🤦 SELAMA INI BODOHKAN BUDAK2...SEKARANG NAK BODOH KAN ORG TUA PULA....,@Lagacawan wants a fool of the people .... for a fish je ... where is enough ... the price of fish rises in gold ... this fish is food for 5 years ... 🤦🤦🤦 All this time kids ... Now I want to be a fool of the old man ...,"Johor Bahru, Johor"
