Datetime,ID,Username,Text,Translated_Tweets,Location
2023-03-30 08:04:21+00:00,1641350639581282306,RaihanaRifah,"Masa pregnant Arfan, sebulan terus aku tak puasa. Masatu makan lambat sikit pun perut dah start mengeras. Masa belajar aku la org yg selalu ikat perut, selalu makan roti je, time pregnant, terus tak tahan kalau tak makan 😂","When I was pregnant, I didn't fast for a month. It is a slow meal even if the stomach is starting to harden. When I was studying I was always a stomach, always eating bread, time pregnant, I couldn't stand it if I didn't eat 😂","Johor Bahru, Johor"
2023-03-30 02:23:35+00:00,1641264882569056256,azeerarambli,2nd baju raya sampei yes dah boleh ikat perut sampe next gaji.,2nd shirts until yes can be tied stomach until the next paycheck.,"Kuching, Sarawak"
2023-03-29 18:33:26+00:00,1641146563220078616,AdamHaikal_98s,@ShopeeMY Cup. More convenient. Ikat tepi akan buat aku tersiksa kalau tgh drive tak tau nak letak mana. End up aku akan habiskan dulu before teruskan drive and perut aku kembung dgn air 🥹,@Shopeemy cup. More convenient. The edge will make me tortured if the drive doesn't know where to put it. End up I'll finish it before keeping my drive and my stomach bloated with water 🥹,"Malacca, Malaysia"
2023-03-29 01:52:29+00:00,1640894664642551809,PAB10I5,"@magmalaya As an ex-smoker. Bagi aku nikmat rokok nie nafsu je, cara nak ikat nafsu berpuasa. Percayalah, kalau perut kosong x de orang rasa merokok tu sedap. Tapi sekali lepas makan, kalah jin dia punya asap.","@magmalaya as an ex-smoker. For me to enjoy cigarettes nie lust, how to tie my appetite. Believe me, if your stomach is empty x de people feel that smoking is delicious. But once after eating, he lost Jin he had smoke.","Johore, Malaysia"
2023-03-28 23:37:55+00:00,1640860799836078081,anxsrauhl,"@hilmizul_ kahkah bulan pertama mana dapat gaji mat, ikat perut la apa lagi","@hilmizul_ Kahkah first month where can pay mat, belly what else",Malaysia
2023-03-28 19:23:58+00:00,1.6408E+18,Dekuuuu67,"@yoonkittyyy_ sabar jelag ikat perut jap , but habis tu ni tak sahur ke nanti","@yoonkittyyy_ Patient jeans jap, but it's all over","Perak, Malaysia"
2023-03-28 15:24:59+00:00,1640736749981949952,iyon_iYonn,"kalo kamu cewe, bisa kamu racunin itu bapak. minimal kasih obat pencuci perut atau obat tidur. kalo udah teler ikat dia terus telanjangi pas sadar baru di interogasi ancam potong titit. 

jijik banget kalo kudu nyamperin selingkuhan nya.","If you are a jerk, you can poison it. Minimal love of stomach detergent or sleep medicine. If he had been tied he continued to be naked in the new PAS's time in the interogulation of the Titit cut.

It is disgusting if it is a snack.","Bandung, Jawa Barat"
2023-03-28 15:16:01+00:00,1640734495614590985,raihanatrmn,"Sebelum ni yakin je declare lhdn, dpt balik semua pcb tu. This year dah kena bayar tax. Bkn sikit² pulak tu kena byr. Ikat perut kejap la raya ni 🥲","Before this, I was sure to declare the IRB, back to all the PCB. This year you have to pay the tax. It's not worth it. Tie the stomach upset this is 🥲",Petaling Jaya
2023-03-28 15:01:58+00:00,1640730957333536769,kopikoedo,"Nak recollect balik past memory dah tak ingat dah exact situations yang buatkan aku jadi cam skrg ni tapi aku jenis sayu bila tengok makanan dibazirkan.

Nak kata pernah ikat perut tu pernah la. Nak kata kutip makanan orang lain pun pernah.","I want to recollect the memory paste and don't remember the exact sit -sites that made me a cam today but I kind of sweet when I saw the food wasted.

I want to say that ever. I want to say that someone else's food has been.",Malaysia
2023-03-28 02:06:25+00:00,1640535784230117376,msianinsight,"Peniaga terpaksa naikkan harga, rakyat berhati-hati belanja dan ikat perut https://t.co/kDDrTlWGva","Traders have to raise prices, people carefully spend and belly https://t.co/kddrtlwgva",Kuala Lumpur City
2023-03-27 23:53:38+00:00,1640502370751885312,ainaaaV,"Bulan ni kita ikat perut sikit, takde lah sikit pun kira banyak jugak 🤣. Mana nak beli baju raya, nak simpan duit untuk bagi anak buah. Bulan lepas punya plan pun tak jadi2 lagi.","This month we tie a little stomach, not even a lot about it 🤣. Where to buy a shirt, to save money for the men. Last month had a plan not yet.","Perak, Malaysia"
2023-03-26 17:17:56+00:00,1640040400995106818,nobodyfriens,"@mkini_bm Zahid kalo jadi PM, taktau la jadi apa lepas ni. Rakus dengan kuasa untuk menguatkan kedudukannya. Najib kalo terlepas, ikat perut la","@mkini_bm zahid if you become a pm, what is it so. Greedy with the power to strengthen its position. Najib if you miss it, the belly",Malaysia
2023-03-26 16:22:40+00:00,1640026492557201410,OpieyAzlan,“Mesra alam” pundek hangla nak buang perut ikan pun dalam plastic ikat kemas2,"""Eco -friendly"" Hangla Hangla wants to remove fish stomach in plastic ties2",
2023-03-26 14:06:15+00:00,1639992161763749888,alisa_m62222,"It's now or never
So jom ikat perut!!! https://t.co/rInA5mdrl0","IT'S NOW OR NEVER
So let's have a stomach !!! https://t.co/rina5mdrl0",Malaysia
2023-03-26 08:34:57+00:00,1639908786201825280,Yourboysito,"@AdamKhalidL @ubaidbmohsin @jaegar00 Isu sekarang if kau tak mampu jgn ada ramai anak, kalau kau mampu kau nk buat sampai 20 org pon no one cares. Bila tak mampu tapi nk jgk ramai anak pastu anak tu endup tak cukup makan la kena ikat perut bagai tu yg org taknak","@Adamkhalidl @ubaidbmohsin @jaegar00 Issues now if you can't afford many children, if you can afford up to 20 people no one cares. If you can't afford it but don't even have a lot of kids the endup not eat enough to eat it",Malaysia
2023-03-23 16:12:21+00:00,1638936731377618945,qhaalim,Yang meminjam makan mewah. Yang kasi pinjam ikat perut makan apa yang ada. Bagus!,Who borrowed a fancy meal. The one who lends the stomach to eat what is there. Good!,"Johore, Malaysia"
2023-03-19 14:57:31+00:00,1637468347444133891,amolnisrino,Ikat perut lah dah nak puasa ni 🥹,Tie your stomach is already fasting 🥹,KL || MANJUNG ⚒
2023-03-19 10:29:03+00:00,1637400784307621889,HlmiHnfi,"Ye, lepas vacation baru menyesal ikat perut 😂","Ye, after the new vacation regrets the belly 😂","Perlis, Malaysia"
2023-03-13 15:48:48+00:00,1635306925582860293,Mohdfaiz13,@XavierNaxa Zaman tu kumpul duit sampai ikat perut nak beli iPhone 4 je 😉,@Xaviernaxa that time collected money until my stomach was going to buy an iPhone 4 je 😉,"Shah Alam, Selangor"
2023-03-11 15:30:03+00:00,1634577432362749954,CikShamsulPSRTM,Zaman Sekarang Dengan Harga Barang Naik dan Kos Sara Hidup Tinggi ... Ada Yang Kelaparan dan Ikat Perut ... Ini Realiti Bukan Fantasi.,Nowadays with high prices of goods and high cost of living ... some are starving and belly ... this is a reality is not fantasy.,"HULU KELANG,KL,MALAYSIA"
