Datetime,ID,Username,Text,Translated_Tweets,Location
2023-03-25 13:00:01+00:00,1639613103376838656,EkonomiRakyatMY,"Pembuat dasar Bank of England, Catherine Mann mengakui Brexit telah mengakibatkan kos makanan di UK naik ke paras tertinggi dalam tempoh 45 tahun

Kadar inflasi di UK naik kepada 10.4% bagi Februari 2023, berpunca dari kekurangan bekalan makanan seperti salad di pasaran https://t.co/rK8XwyidxQ","Bank of England policy maker Catherine Mann acknowledged that Brexit has led to the cost of food in the UK to rise to the highest level in 45 years

Inflation rates in the UK rose to 10.4% for February 2023, due to the shortage of food supplies such as salads in the market https://t.co/rk8xwyidxq",Kuala Lumpur
2023-03-14 04:51:03+00:00,1635503785572454400,jaksrmd,Usaha2 untuk memastikan Negara tidak menghadapi masalah kekurangan bekalan makanan hasil pertanian di masa mendatang. https://t.co/G6iSfm9TMt,Efforts to ensure that the country does not face the shortage of agricultural food supply in the future. https://t.co/G6ISFM9TMT,Selangor
2023-03-10 08:13:18+00:00,1634105133482250241,DenciShahrizal,2. Faktor Cuaca dan kekurangan bekalan makanan ayam yang berkualiti mempengaruhi penghasilan telur dalam industri ternakan ayam. Lihat taburan hujan kita. Produktivi ayam telur merosot bila cuaca taburan hujan tinggi. https://t.co/wO0QJj7CjK,2. Weather factors and lack of quality chicken food supply affect egg production in the chicken livestock industry. Look at our rainfall distribution. Egg chicken productivity decreases when the weather is high. https://t.co/wo0qjj7cjk,
2023-03-02 17:34:55+00:00,1631347364333236224,naimbinzaini,"Patutlah @rafiziramli ckp serampang dua mata.

Selain dpt atasi kekurangan bekalan makanan, dpt bantu tingkatkan pendapatan golongan B40.

B40 dpt pendapatan tambahan. ✅️
Bekalan makanan dpt ditingkatkan. ✅️

Kill two birds with one stone. Harap² program ni berhasil.","It should be @rafiziramli ckp for two eyes.

In addition to being able to overcome the shortage of food supply, it can help increase the income of the B40.

B40 can be additional income. ✅️
Food supply can be improved. ✅️

Kill two birds with one stone. Hope this program works.",Kuala Lumpur
2023-03-02 05:12:14+00:00,1631160462485368833,ProudOrangAsli,Saya difahamkan bahawa tiada lagi agensi2 kerajaan yang turun membantu penduduk kampung. Mereka sekarang kekurangan bekalan makanan! @DrZahidHamidi @jakoamalaysia @niknazmi @anwaribrahim https://t.co/P6VkoV1omv,I understand that no more government agencies are down to help the villagers. They are now shortage of food! @Drzahidhamidi @jakoamalaysia @niknazmi @anwaribrahim https://t.co/p6vkov1omv,
2022-12-20 10:55:11+00:00,1605154844104593414,ida_adeq,"@muhdhaziqbins @nizambakeri Banjir di Selangor pun di tahap bahaya. Orang Kelantan &amp; Terengganu turun bawa boat sebab kekurangan kelengkapan misi bantuan banjir. Tapi berbeza dengan  situasi pantai timur sekarang. Walaupun paras bahaya, kelengkapan cukup, rakyat tak panik dan bekalan makanan tersedia awal.","@muhdhaziqbins @nizambakeri floods in Selangor are at danger. Kelantanians & amp; Terengganu came down to bring the boat due to the lack of flood relief mission. But it's different from the East Coast situation today. Despite the danger levels, the equipment is sufficient, the people are not panicked and the food supply is available early.",paka.terengganu
2022-12-02 13:47:58+00:00,1598675343824801792,morasaki12,"Tiada apa yg perlu ditunggu lagi oleh presiden UMNO dan ahli MKT UMNO.

Negara skrg berada di ambang krisis ekonomi dunia dan krisis kekurangan bekalan makanan global.

Utk itu kita sudah tidak mampu utk menghadapi krisis politik sekali lagi.","There is nothing to wait for by UMNO President and UMNO MKT members.

The country is on the verge of the world economic crisis and the lack of global food supply.

For that we are no longer able to cope with the political crisis again.","Johore, Malaysia"
2022-11-30 10:48:35+00:00,1597905422769614848,morasaki12,"Lebih merisaukan baginda, cabaran besar sedang menghadapi negara sebaik sahaja tirai 2022 dilabuhkan.

Masalah ekonomi yg merudum, masalah kekurangan bekalan makanan akibat perang Ukraine dan Rusia dan juga kemungkinan berlaku banjir besar.","More worrying about him, the big challenge was facing the country as the curtain 2022 was overthrown.

Economic problems, the shortage of food supply due to the Ukrainian and Russian wars as well as the possibility of floods.","Johore, Malaysia"
2022-08-16 03:32:26+00:00,1559382549582843904,amar_amk9757,Masalah kekurangan bekalan makanan asas yang diimport menyedarkan ramai pihak tentang betapa pentingnya kita mengurangkan kebergantungan kepada import dan mengangkat industri tempatan. https://t.co/SoLVLfWLfH,The problem of shortage of imported basic food supplies awakens many people about the importance of reducing dependence on imports and lifting the local industry. https://t.co/solvlfwlfh,"Perlis, Malaysia"
2022-06-11 10:53:09+00:00,1535575858903412736,myDOA_HQ,"Langkah tangani kekurangan bekalan makanan - MAFI

#myDOA#MAHA2022#SekuritiMakanan#KeselamatanMakanan https://t.co/TBcymV5jkJ","Steps to handle the lack of food supply - Mafi

#mydoa#maha2022#securities#safety of https://t.co/tbcymv5jkj",Putrajaya Federal Territory
2022-03-23 03:11:00+00:00,1506468529595248645,tokmathamzah,"Di Dewan Negara menjawab soalan Datuk Haji Bashir bin Haji Alias minta @mafimalaysia menyatakan apakah mekanisme bagi mengatasi masalah rantaian bekalan makanan ke Labuan yang mengakibatkan kekurangan bekalan makanan dan kenaikan mendadak harga barangan.
https://t.co/SVQdTuvL3o","The House of Representatives answered Datuk Haji Bashir bin Haji Alias ​​asking @Mafimalaysia to state what the mechanism was to overcome the problem of food supply chains to Labuan which led to a shortage of food supply and the sharp rise in prices of goods.
https://t.co/svqdtuvl3o",
