Datetime,ID,Username,Text,Translated_Tweets,Location
2023-03-30 23:36:40+00:00,1641585260831047680,syahherman920,"Sayang, td pagi ak gk makan karna merindukan km, siangnya juga gk makan karna memikirkan km, dn malamnya aku gk bisa tidur karna kelaparan","Honey, in the morning I will not eat because you miss KM, the afternoon also doesn't eat because I think about it, and at night I can't sleep because of hunger",jakarta
2023-03-30 23:08:28+00:00,1641578165079515136,TrigonalReal,“Makanan yang halal bisa menjadi makanan haram karena saudaranya sedang kelaparan sedangkan engkau tidak merasakan itu”,"""Halal food can be an illegal food because his brother is starving when you do not feel that""","Bekasi Selatan, Indonesia"
2023-03-30 21:55:52+00:00,1641559895660195842,nisswan_,"Btw nasib baik ada islah, kejut sahur 5.40 😭😭 kalau tak esok menggelupur kelaparan","Btw good luck there is Islah, Sahur's shock 5.40 😭😭 If not tomorrow to starve","Pasir Puteh, Kelantan"
2023-03-30 21:17:14+00:00,1641550172193959936,rizahariati,"@gibran_tweet Anak bangsa ga bakal mimpi apapun kalo negara rusuh karena bangkrut. Duit untuk makan malah mo dipake bal balan. 😁😁

Karena kelaparan maka ada kerusuhan 98. Klen ga belajar apapun tah disekolah?","@gibran_tweet Nation will be a dream if the country is rumated for bankruptcy. Money to eat and even Mo is in a balcony. 😁😁

Due to hunger then there is a riot 98. Do not learn whatever school?",Indonesia
2023-03-30 20:51:27+00:00,1641543684750741504,realnaw,@ayuuwaa Wkwk. Gak bakal kelaparan. Mudah didapat soale 😅,@ayuuwaa wkwk. No hunger. Easy to find 😅,"Kediri, Jawa Timur"
2023-03-30 19:06:35+00:00,1641517292961034240,waganjarbageur,"@Ferdyan_SN @dina_sulaeman Kalau komitmen dengan UUD, harusnya Indonesia bisa. Dan jadi role model negara mandiri. Real menolak penjajahan. Diperhitungkan suaranya. Urusan makan, insyaallah gak bakalan kelaparan negeri ini.","@Ferdyan_sn @dina_sulaeman If you commit to UUD, it should be Indonesia. And so the role model of the country is independent. Real rejects the occupation. Considered his voice. Dining, InshaAllah is not starving this country.","Bogor, Jawa Barat"
2023-03-30 18:47:12+00:00,1641512417242013696,miracle_in_me12,"Terbangun tengah malam terus random banget pengen makan mi Maggi kari dong... 🥺 Lupa stok mi dan telur lagi, jadinya beneran kelaparan...","Midnight waking up and random banget pengen eating noodles Maggi curry ... 🥺 forget the stock of noodles and eggs again, so hunger ...","Tawau, Sabah"
2023-03-30 18:36:25+00:00,1641509702810107904,kataqin,"""Saya mau melamar anak om""
""apa kelebihan kamu?"" 

""Kemarin saya lihat tetangga saya kelaparan nunggu adzan Maghrib, akhirnya saya stel adzan di YouTube om, biar cepet""

""Oke, besok pasang tenda""

#SayaMauMelamarAnakOm","""I want to propose to an om""
""What's your advantage?""

""Yesterday I saw my neighbors starving Adzan Maghrib, finally I stel Adzan on YouTube OM, let it go""

""Okay, tomorrow put on a tendency""

#Sayamaumelamaranakom",Demak
2023-03-30 16:39:53+00:00,1641480374604959744,dhanie_erwandha,"@StefanAntonio__ @bob_ichsan @aniesbaswedan @ListyoSigitP disinilah hebatnya Jokowi, sampai hatternyapun jd berpenghasilan jd piaraan lawan lawannya, mrk dibayar cuma buat ngebully presiden, klo bukan krn Jokowi mungkin mrk sudah mati kelaparan krn gak punya kerjaan jd buzzernya capres Edan","@Stefanantonio__ @bob_ichsan @aniesbaswedan @listyosigitp This is how great Jokowi is, until Hatternya JD is stunned by his opponent, they are paid only for the president, but the Jokowi may have been starving because he didn't have the work of JD Buzzer","Kota Surabaya, Jawa Timur"
2023-03-30 16:03:27+00:00,1641471209148936193,Gulaaren_13,"@InSomniaSejatii Yaa mungkin udah jalan nya seperti itu, dan gak mau bikin ibu khawatir jd lebih milih gantiin ibu buat jagain ayah.
Sebelum pergi, aku bilang ke ayah : jangan khawatir, gausah mikirin anak² ayah, aku siap lanjutin estapet tanggung jawab kelurga, aku janji ade² gak akan kelaparan","@Insomniasesjatii yaa maybe his way, and he doesn't want my mom to worry about chosing mom for dad's jagain.
Before leaving, I said to my dad: don't worry, don't think about my dad's kids, I'm ready to go to the household responsibility, I promise not to be starving","Jakarta Pusat, DKI Jakarta"
