Datetime,ID,Username,Text,Translated_Tweets,Location
2023-03-30 23:57:11+00:00,1.64E+18,farhinsyirh,"Hate the sin not the man, I know it's just a recorded video, but it still amazes me that he still continue his solat/ salah despite tht, that ain't no easy feat, tapi yk with faith comes sacrifice, cth, org yg paling suka freehair kena bertudung, orang yang lapar kena puasa,","Hate the sin not the man, I know it's just a recorded video, but it still amazes me that he still continues his prayer/ wrong despite tht, that ain't no easy feat, but yk with faith comes sacrifice, eg, org Most like the freehair, the hungry people are fasting,","Johore, Malaysia"
2023-03-30 23:55:16+00:00,1.64E+18,AhmadMuhyie,"@detikcom ah, lemah iman banget...
puasa tanpa ujian real g seru tau...
cm nahan lapar dan haus doang bisa dengan molor di kasur...gampang.
harusnya liat orang makan beneran biar mantep, krn kesabaran dan kesungguhan dipraktekkan tidak cm jadi jargon pemanis ""status"" whatsapp","@detikcom ah, really weak faith ...
Fasting Without Real Exams G Angu know ...
cm holding hungry and thirst can be delayed on the bed ... easy.
You should see people eating really so that it is good, because patience and sincerity are practiced not cm so the sweetener jargon ""status"" of whatsapp",Jember
2023-03-30 23:36:37+00:00,1.64E+18,didut,"4. Efek kedua selain gak butuh kopi adalah mata gue bisa 'terang' all day hihihi .... ini beneran kerasa banget jadi mood kerja terjaga seharian. 

5. Somehow rasa lapar juga berkurang banget, jadi secara otomatis malah sekarang ngikutin jendela makan intermittent fasting.","4. The second effect besides not needing coffee is that my eyes can be 'bright' all day hihihi .... this really feels really a mood of work maintained all day.

5. Somehow hunger feels also very reduced, so automatically instead now follow the intermittent fasting meal window.",Jakarta
2023-03-30 23:26:59+00:00,1.64E+18,cikarang_story_,"@untitled246 Kalo lapar?
Bacalah ""Allahumma barik lana fimaa rozaktana wakina adzabanar""","@untitled246 when hungry?
Read ""Allahumma Barik Lana Fimaa Rozactana Wakina Adzabanar""","Cikarang, Indonesia"
2023-03-30 23:23:13+00:00,1.64E+18,Alfnnr22,"@om_thafa Maa sayangnya, hanyar imbah di isii kena lapar tengah hari","@om_thafa Maa Unfortunately, just an immedicine in the afternoon hungry",Banjarbaru
2023-03-30 23:17:25+00:00,1.64E+18,danialazln,adu dah lapar,It's hungry,"Kajang, Selangor"
2023-03-30 23:05:43+00:00,1.64E+18,rei_stefen,"Disaat lapar, ada orang-orang baik yang nawarin makanan","When you are hungry, there are good people who are food for food",Kupang
2023-03-30 22:35:49+00:00,1.64E+18,WangsaPersada,"@Dennysiregar7 Kan mewakili rakyat yang lapar, DPR yang makan minum, mewakili orang miskin DPR ambil uang rakyat miskin, mewakili rakyat yang tidak ingin membongkar kebobrokan pejabat, microfon dimatikan, mewakili pejabat yang korup, untuk menutupi kasus kasus korupsi","@Denysiregar7 represents the hungry people, the DPR eating, representing the poor DPR take the money of the poor, representing the people who do not want to unpack office cro ', microphones are turned off, representing corrupt offices, to cover corruption cases of corruption cases","Kuta, Lombok, Indonesia"
2023-03-30 22:23:08+00:00,1.64E+18,nocturrno87,"Berpuasa dan berpuisi ternyata sama saja, keduanya adalah perihal dahaga

Dahaga menahan haus dan lapar dan menahan rindu yang tak kunjung pudar","Fasting and fasting turns out the same, both of which are thirsty

Thirst holding thirst and hungry and holding back the uninhabited longing","Kota Surabaya, Jawa Timur"
2023-03-30 22:18:21+00:00,1.64E+18,BilalFahrur,"Puasa itu tanda keadilan. 

Lha koq bisa? Iya, Allah mewajibkan seluruh muslim utk setidaknya merasakan laparnya org² miskin itu selama satu bulan. Hal itu dilakukan supaya semuanya adil. Pernah sama² merasakan lapar. Itulah indahnya Islam. https://t.co/r9FDmJHZx9","Fasting is a sign of justice.

Lha koq can? Yes, Allah obliges all Muslims to at least feel the hunger of the poor for one month. That is done to make everything fair. Ever felt hungry. That's the wonderful Islam. https://t.co/r9fdmjhzx9","Madiun, Indonesia"
2023-03-30 22:11:44+00:00,1.64E+18,bismillahaussie,"ada orang makan di siang hari di deket orang yg puasa dan yg puasa sampe bilang ""apa itu toleransi?"". heran banget, namanya puasa ya menahan godaan haus dan lapar, bukan minta ditoleransi biar orang gak minum/makan di depan kita wkwk","Some people eat during the day on the fast and fasting people say ""What is tolerance?"". Surprisingly, his name is fasting to endure thirst and hunger, not to ask for people to drink/eat in front of us wkwk",Indonesia
2023-03-30 22:08:31+00:00,1.64E+18,hariankompas,"Ramadhan tidak sekadar menahan lapar dan haus semata. Bulan suci penuh berkah ini dimanfaatkan umat Islam untuk berbuat kebaikan kepada sesama, salah satunya adalah berbagi.

https://t.co/fHkH476mE5

 #Metropolitan #AdadiKompas","Ramadan is not just hungry and thirsty. This holy month of blessing is used by Muslims to do good to each other, one of which is to share.

https://t.co/fhkh476me5

 #Metropolitan #adadikompas","Palmerah, Jakarta"
2023-03-30 22:04:19+00:00,1.64E+18,raflyauliar_,@undipmenfess Padahal menahan lapar dan haus itu ujian puasa paling gampang,@undipmenfess when holding on to hunger and thirst is the fastest fasting test,Sidareja
2023-03-30 22:01:14+00:00,1.64E+18,Fariszuone10,"Maka sia sialah puasa kita selama sebulan.

Tiada yang kita dapat melainkan lapar dan dahaga semata mata.

Nauzubillah...","So we have a fast fast for a month.

There is nothing we can except hunger and thirst alone.

Nauzubillah ...",Kuala Terengganu
2023-03-30 21:47:50+00:00,1.64E+18,p_s1506,"Life before and after getting birth ? 

Baby : menangis masa mandi , lapar , nak tidur , berak , kencing 🤣
Mama : tidur tak cukup stress sbb dia nangis dan turun berat badan yang mendadak ( before 79 kg after 65 kg )","Life before and after getting birth?

Baby: crying in bathing, hungry, sleeping, giggling, urinating 🤣
Mama: Sleep is not stressed enough as she cries and loses weight (before 79 kg after 65 kg)","Perlis, Malaysia"
2023-03-30 21:44:38+00:00,1.64E+18,hariankompas,"Ramadhan tidak sekadar menahan lapar dan haus semata. Bulan suci penuh berkah ini dimanfaatkan umat Islam untuk berbuat kebaikan kepada sesama, salah satunya adalah berbagi.

https://t.co/4BTL53AYij

#Foto #AdadiKompas","Ramadan is not just hungry and thirsty. This holy month of blessing is used by Muslims to do good to each other, one of which is to share.

https://t.co/4BTL53ayij

#Foto #adadikompas","Palmerah, Jakarta"
