Datetime,ID,Username,Text,Translated_Tweets,Location
2023-03-30 21:07:28+00:00,1641547713887240193,ariomalv,"@pandji lha bisa masuk makan bawa bekal di Salt Bae jadi lebih sangar donk, soalnya biasanya resto mahal ngga bolehin bawa makanan dari luar, lha ini malah makan bekalnya disitu 🫣 sultannya sultannya sultan","@pandji can be eaten to bring some supplies to salt bae so more donk, because usually the expensive resto can bring food from the outside, and even eat the supplies there 🫣 his sultan sultan sultan",semarang
2023-03-30 21:05:35+00:00,1641547241566666752,copyraharja,"@WENDYSONlE @diethingy Kalo sulit menuhin protein harian dari makanan pokok, pake whey protein. Tinggal pilih, mau pake whey tipe yg mana,

- concentrate (varian murah),
- isolate (vairan mahal).
- hydrolize (varian lebih mahal).

Ada harga, ada rupa.","@Wendysonle @diethingy if it is difficult to get daily protein from tree foods, pack whey protein. Just choose, want to pack whey type,

- Concentrate (cheap variant),
- Isolate (expensive Viran).
- Hydrolize (more expensive variants).

There is a price, there is a look.","Tuban, Indonesia"
2023-03-30 17:42:31+00:00,1641496138498080768,GoHandaya,"@pandji Restoran sekelas saltbae itu akan dikenakan corkage charge ( biaya denda membawa makanan dari luar ), biayanya bisa lebih mahal dari rendang yang bapak bawa. Mana mungkin pak.","@Pandji The Saltbae classmate will be charged a corkage charge (fines to bring food from the outside), it can be more expensive than the shady you bring. How could you?",Indonesia
2023-03-30 17:25:53+00:00,1641491952909815809,natsume142,@KlutzyKucing Vision periuk terbaik.. makanan tahan lama and still panas. Cuma harganya makin lama makin mahal 😬,@Klutzykucing vision best pot .. durable and still hot. It's just that the price is getting expensive 😬,"Selangor, Malaysia"
2023-03-30 16:47:31+00:00,1641482297542320129,arshadazme,Asal ah makanan skrg mahal,The origin of the food is now expensive,"Johore, Malaysia"
2023-03-30 14:54:40+00:00,1641453897511489537,ThiaNadra95,Rm100 tu 4 hari je abis. Makanan kt putrajaya ni mahal betul.,RM100 is 4 days after. The food in Putrajaya is really expensive.,"Selangor, Malaysia"
2023-03-30 14:38:27+00:00,1641449816579518465,PritaPDW,Makanan mahal 🐠 https://t.co/MdnsJ5tyoo,Expensive food 🐠 https://t.co/mdnsj5tyoo,"Sukabumi, Indonesia"
2023-03-30 14:20:09+00:00,1641445210453602306,desymiari,"@laptopnyakak Beda harga, lebih mahal kak 🙂
Beda menu, ada beberapa yang beda dari yang biasa.
Ada makanan, snack maksudnya, kalo chatime biasa kan ga ada.
Ada banyak tempat duduk, kalo chatime biasa kan ga ada. Ada sih tapi jarang dan dikit.","@laptopnyakak price, more expensive kak 🙂
The menu beda, there are some of the normal people.
There is food, snacks mean, if you have a normal chatime there is.
There are plenty of seats, if you have a normal chatime. There is a rare and rare and rare.","Denpasar, Bali "
2023-03-30 12:35:18+00:00,1641418824120680448,mandamnd,"Bismillah ganti makanan pump cocok, kalo gak cocok w nangis bgt. Mahal 😭😭 https://t.co/Qnd3JPYr5I","Bismillah replaces the pump food, if you don't like it. Expensive 😭😭 https://t.co/qnd3jpyr5i","Tangerang, Banten"
2023-03-30 12:10:41+00:00,1641412628462415876,zairirahim,Nak tgk setan pure time bulan puasa ni pegi bazar ramadan and beli tgk muka peniaga yg jual makanan mahal nak mampus dan tak sedap. Tadi pegi bazar cyber teringin popia goreng sira sekali taugeh masam lak.,"I want to see the devil pure time this month's fasting bazaar and buy the face of expensive food traders to die and not taste. Earlier, the cyber bazaar wanted the fried popcorn once in a while.","Dengkil, Sepang, Selangor"
