Created-At,From-User,From-User-Id,To-User,To-User-Id,Language,Source,Text,Translated_Tweets,Geo-Location-Latitude,Geo-Location-Longitude,Retweet-Count,Id
18/3/2023,"Alyssa Tulis, Aman Baca.",1.29E+18,yrsmtgsweet,1.29E+18,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Which means kami dinner ala kadar. Weh nak menangis rasa bila kelaparan macam tu. Masuk angin jangan ceritalah. Then esok pagi Abang NJ tolong hantar makanan yang mak dia kirim (nasib rumah dia dekat) & mak dia bekalkan 3 set makanan plus air milo panas lagi ??????,Which means we have dinner. Want to cry when starving like that. Don't tell the wind. Then tomorrow morning Brother Nj please send the food he sent (his home's fate) & his mother supply 3 sets of food plus hot water again ??????,,,,1.64E+18
16/3/2023,blank,1.52E+18,,-1,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Kelaparan…masih di green….,Hunger… still in green….,,,,1.64E+18
15/3/2023,Arulll ????????,857223020,,-1,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kalau video camni lalu time Bulan Puasa nanti, memang pengsan kelaparan ???? https://t.co/dZyROPIiVm","If the camni video is then fasting the month, is it fainting hunger ???? https://t.co/dzyropiivm",,,15,1.64E+18
13/3/2023,??DeanePitt??????,1.51E+18,DianMha,1.51E+18,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I pernah Ada 2 ekor cat I Jaga sampai diaorang past away. Since that dah tak sanggup nak Ada kucing sbb it's very hart to move one bila kehilanhan benda yg kita syg mcm anak. Since then, I will treat any stray cat yg lapar so diaorang takkan sedih or tido dlm kelaparan.??","I used to have 2 paints I was watching until he was past away. Since that is no longer able to have a cat as it is very hart to move one when it comes to the things we are doing. Since then, I will treat any stray paint that is hungry so he won't be sad or hungry. ??",,,,1.64E+18
11/3/2023,PENYOKONG SETIA RTM ™,608171718,,-1,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Zaman Sekarang Dengan Harga Barang Naik dan Kos Sara Hidup Tinggi ... Ada Yang Kelaparan dan Ikat Perut ... Ini Realiti Bukan Fantasi.,Nowadays with high prices of goods and high cost of living ... some are starving and belly ... this is a reality is not fantasy.,,,,1.63E+18
23/3/2023,Nurdin Hasan,352155370,nh_nh_,352155370,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kami pasti akan mengujimu dengan sedikit ketakutan dan kelaparan, kekurangan harta, jiwa, dan buah-buahan. Sampaikanlah (wahai Nabi Muhammad,) kabar gembira kepada orang-orang sabar, (QS Al-Baqarah: 155)
#Ramadan
#AyatoftheDay 
#RamadhandiAceh","We will surely test you with a little fear and hunger, lack of property, soul, and fruit. Tell the Prophet Muhammad,) happy to the patience, (QS al-Baqarah: 155)
#Ramadan
#Ayatoftheday
#Ramadhandiaceh",,,,1.64E+18
22/3/2023,4,1.27E+18,,-1,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ya Allah saya dah kelaparan ???? https://t.co/lwVokmqHc2,Oh my god I'm starving ???? https://t.co/lwvokmqhc2,,,,1.64E+18
3/3/2023,ladyofleisure ????,2588363720,,-1,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jemput makan semua. Kelaparan dikala hujan turun lebat.
Alhamdulillah.
#nasikandarayambawang 
#nasikandar https://t.co/0BhumwQuc3","Let's eat. Hunger when it rained heavily.
Thank God.
#nasikandarayambawang
#nasikandar https://t.co/0bhumwquc3",,,,1.63E+18
3/3/2023,.m,2497943126,,-1,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Suruh celup tangan kanan pulak tu. Lepastu kena pergi lunch. Anda rasa saya masih berselera time tu!? Berselera je kut lepas dah cuci dgn sabun (tak ingat). Benda pun lapar. Duk hostel ni sentiasa kelaparan https://t.co/BLtsF7jXWu,Tell the right hand. You have to go to lunch. Do you think I'm still in that time!? Feel free to wash with soap (don't remember). Things are hungry. This hostel is always starving https://t.co/bltsf7jxwu,,,,1.63E+18
2/3/2023,Penyuka Bonsai,1.04E+18,,-1,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kehidupan ku nggak mewah, tapi akan kujamin perutmu nggak akan kelaparan dan badanmu nggak akan kedinginan maupun kepanasan","My life is luxurious, but your stomach guarantee is starving and your body is cold and warm",,,,1.63E+18
2/3/2023,Atap coklat,1.34E+18,,-1,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lu bagi ya kaya kenapa sih kalau harta lu banyak gabisa bagi-bagiin sama orang yang lebih butuh?
lihat tuh banyak diluar sana yg miskin kelaparan. kenapa ga dibagi dua? sayang kalau lu mati sia-sia hartanya ga dibawa. maksud gue biar lebih bermanfaat tuh uang.","Do you want to be rich why is your treasure so much for people who need more?
See a lot of people out there who are starving. Why is GA divided into two? It is unfortunate that you die in vain. I mean to be more useful to money.",,,,1.63E+18
1/3/2023,Awie,1.42E+18,,-1,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ya Rahman ya Rahim, dalam suasana sahabat dan saudara kami diuji dengan banjir ya Allah. Kami terbayang anak-anak mereka yang kesejukan ya Allah. Kami terbayang anak-anak yang kelaparan ya Allah.... Ampuni kami Ya Allah... ?? https://t.co/BzmmoM9spo","Ya Rahman Ya Rahim, in the atmosphere of our best friends and relatives is tested by the flood of God. We imagine their children who are cold, God. We imagine the hunger children of God .... forgive us God ... ?? https://t.co/bzmmom9spo",,,,1.63E+18
1/3/2023,Yellow_s,1.59E+18,SinaRhu,1.46E+18,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@SinaRhu @amaklaun Heheh berdasarkan pengalaman konseran dalam dan luar negri pasti kelaparan sedangkan orang jual makan susah wkwk,@Sinarhu @amaklaun heheh based on the experience of the domestic and overseas Contrast to be starving while the seller is hard to eat wkwk,,,,1.63E+18
1/3/2023,Zai,1.09E+18,brgsjks,328045907,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@brgsjks Balai polis Chaah tenggelam. Anak pun terkandas kat sek x boleh blk. SPM paper hold hari ni. Bdk² dh kelaparan x blh balik. Semua jln dh tutup. Harap ada bantuan pergi ke SMK Seri Bali Chaah @HRHJohorII https://t.co/xDXl40vQYz,@brgsjks Chaah Police Station drowned. Even the child is stranded in the x x. SPM Paper Hold today. Bdk² dh starvation x can return. Everything is closed. Please help go to SMK Seri Bali Chaah @hrhjohorii https://t.co/xdxl40vqyz,,,169,1.63E+18
28/2/2023,Abg Bae??,1903557152,,-1,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Omg dayah, roti kosong 2 keping td mampu bertahan selama 1 jam stgh je ke???skrg sy dah lapar balik???? anak ibu ke ibu yg kelaparan ni????‍????","OMG Dayah, 2 pieces of empty bread can last for 1 hour to ??? HOW TO MAKE THIS MOMENT ???? ‍ ????",,,,1.63E+18
28/2/2023,Melly_11,1.63E+18,,-1,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Semenjak transfer kapal , tiap malam pasti kelaparan trus :( 
#kgn_gd","Since the transfer of the ship, every night has been starving and starving :(
#kgn_gd",,,,1.63E+18
26/2/2023,Mr.A,201264489,,-1,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Selesai!

Masih lagi mengantuk dan kelaparan. https://t.co/lPgwbox9aF","Done!

Still sleepy and starving. https://t.co/lpgwbox9af",,,,1.63E+18
26/2/2023,Unggun Untuk Uni ?? ™️,1.56E+18,mns_biasa99,82009511,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@mns_biasa99 Perlu donasi yang banyak untuk anak anak dan orang orang yang kelaparan dimana pun mereka berada.,@mns_biasa99 needs a lot of donations for children and the hunger people wherever they are.,,,,1.63E+18
26/2/2023,Mono Irawady,1.62E+18,watieygtrskt96,1.49E+18,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@watieygtrskt96 Sungguh kamu kelaparan?,@watieygtrskt96 Are you starving?,,,,1.63E+18
