Created-At,From-User,From-User-Id,To-User,To-User-Id,Language,Source,Text,Translated_Tweets,Geo-Location-Latitude,Geo-Location-Longitude,Retweet-Count,Id
27/2/2023,Mai,441059131,orkedly,99962032,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@orkedly Bangun sebab lapar hahahahaha. Now nak tidur balik ??,@orkedly wake up because of hungry hahahahaha. Now want to sleep back ??,,,,1.63E+18
27/2/2023,?????????? ????????????????‍??,252915812,,-1,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Dah tengah malam baru rasa lapar. Ee saja tau perut niii??,It's midnight to be hungry. Ee just know stomach niii ??,,,,1.63E+18
27/2/2023,Nedz,41938261,,-1,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ni bangun2 lapar .. acane,This is hungry .. Acane,,,,1.63E+18
27/2/2023,Avgeekmy ????????,7.86E+17,,-1,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bismillah.

Taip..padam..taip..padam..
Kang salah kapsyen kene kecam...so xyah cakap apa-apa lah. Hahaha.

Lapar samosa plak... https://t.co/5QunkYUXED","Bismillah.

Type..padam..taip..padam ..
Which is the wrong caption here ... so xyah says anything. Hahaha.

Hungry samosa plak ... https://t.co/5qunkyuxed",,,10,1.63E+18
27/2/2023,Izad Abas ????,42849503,,-1,in,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Penatnya workout sampai lapar takleh gerak ??,Tired of workout until hungry is moving ??,,,,1.63E+18
27/2/2023,Saya,267659691,,-1,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Lapar tapi tulah aku malas nak makan. Diet diet diet. Dh gemok shundel,Hungry but I'm lazy to eat. Dietary diet. Dh Fat Shundel,,,,1.63E+18
28/2/2023,Wawa Honda,438157484,,-1,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Babi ! Selalu kalau aku order panda mesti nasib tak baik asyik delay je. Memang la dapat refund tapi aku lahhhh hish main dengan lapar ni takboleh lah,Pigs! Always if I order a panda it must be good luck to delay. It may be a refund but I lahhhh hish play with this hungry,,,,1.63E+18
28/2/2023,Aida,1446561708,,-1,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Hujan ni lapar la pulak ??,It's raining hungry la pulak ??,,,,1.63E+18
28/2/2023,Phikahsuu????,1.13E+18,,-1,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Bangun bangun lapar. Rupanya last makan breakfast tadi. Baik puasa je,Wake up hungry. Apparently last breakfast. Good fasting,,,,1.63E+18
28/2/2023,Ezekiel,460880687,,-1,in,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sambil ngadap laptop,tpi kepala otak duk pikir nk dinner apa..lapar lain macam","While facing a laptop, the head of the brain is thinking about what dinner is ...",,,,1.63E+18
