Datetime,ID,Username,Text,Translated_Tweets,Location
2022-02-08 22:36:56+00:00,1.49E+18,mokciknab,"Found via @arwenmh 

Mohon share restaurant mana yang setakat cantik je tapi makanan sangat meh &amp; sangat mahal. I’ll start:

Mary Jane KL (the worst)
Merchant’s Lane 
Nippori Bistro 
Ruma Putih","Found via @arwenmh

Please share which restaurant is so beautiful but the food is almost & amp; very expensive. I'll start:

Mary Jane KL (The Worst)
Merchant’s Lane
Nippori bistro
White ruma",Petaling Jaya
2022-02-08 22:36:56+00:00,1.49E+18,mokciknab,"Found via @arwenmh 

Mohon share restaurant mana yang setakat cantik je tapi makanan sangat meh &amp; sangat mahal. I’ll start:

Mary Jane KL (the worst)
Merchant’s Lane 
Nippori Bistro 
Ruma Putih","Found via @arwenmh

Please share which restaurant is so beautiful but the food is almost & amp; very expensive. I'll start:

Mary Jane KL (The Worst)
Merchant’s Lane
Nippori bistro
White ruma",Petaling Jaya
2022-02-08 22:36:56+00:00,1.49E+18,mokciknab,"Found via @arwenmh 

Mohon share restaurant mana yang setakat cantik je tapi makanan sangat meh &amp; sangat mahal. I’ll start:

Mary Jane KL (the worst)
Merchant’s Lane 
Nippori Bistro 
Ruma Putih","Found via @arwenmh

Please share which restaurant is so beautiful but the food is almost & amp; very expensive. I'll start:

Mary Jane KL (The Worst)
Merchant’s Lane
Nippori bistro
White ruma",Petaling Jaya
2022-02-09 02:20:47+00:00,1.49E+18,shammyzzz,@rhaeman Makanan mahal tak sedap and the worst part is I went there with my cheating ex so every time I'm around the area I trauma,@rhaeman expensive food is not good and the worst part is i went there with my cheating ex so every time i'm around the area i trauma,KUL-BKI
2022-02-10 10:29:40+00:00,1.49E+18,ziqohhh,"Makanan tak best, standard mahal tapi tak berbaloi harga theme park la kan LOL 🙄

📍LEGOLAND Malaysia, JB https://t.co/yxq713sLzQ","The food is not the best, the standard is expensive but not worth the theme park la kan lol 🙄

📍Legoland Malaysia, JB https://t.co/yxq713slzq","Sungai Buloh, Selangor"
2022-02-10 10:29:40+00:00,1.49E+18,ziqohhh,"Makanan tak best, standard mahal tapi tak berbaloi harga theme park la kan LOL 🙄

📍LEGOLAND Malaysia, JB https://t.co/yxq713sLzQ","The food is not the best, the standard is expensive but not worth the theme park la kan lol 🙄

📍Legoland Malaysia, JB https://t.co/yxq713slzq","Sungai Buloh, Selangor"
2022-02-12 03:32:16+00:00,1.49E+18,rahila_yahaya,Makanan kucen lg mahal dr makanan aku 😅,The food is expensive from my food 😅,Malaysia
2022-02-13 01:31:21+00:00,1.49E+18,nafiznazly,Bila aku kena kuarantin sbb covid ni baru aku sedar harga delivery dan makanan dlm semua apps mahal nak mampos!,When I got a quarantine as a covid I was aware of delivery and food prices in all expensive apps to die!,Putrajaya Federal Territory
2022-02-14 05:43:18+00:00,1.49E+18,Hfizbhrdin,"Aku benci gila babi kedai yg letak nama makanan Ramen chicken grill lah apa lah, bila sampai ayam 1-2 keping je. Anak harey punya kedai. Lepastu cas harga bukan main mahal lagi. Cm babeyh!","I hate crazy pigs in the name of Ramen Chicken Grill food, when it comes to chicken 1-2 pieces. Harey's son has a shop. The price charge is no longer expensive. Cm babeyh!",
2022-02-14 05:43:18+00:00,1.49E+18,Hfizbhrdin,"Aku benci gila babi kedai yg letak nama makanan Ramen chicken grill lah apa lah, bila sampai ayam 1-2 keping je. Anak harey punya kedai. Lepastu cas harga bukan main mahal lagi. Cm babeyh!","I hate crazy pigs in the name of Ramen Chicken Grill food, when it comes to chicken 1-2 pieces. Harey's son has a shop. The price charge is no longer expensive. Cm babeyh!",
2022-02-14 05:43:18+00:00,1.49E+18,Hfizbhrdin,"Aku benci gila babi kedai yg letak nama makanan Ramen chicken grill lah apa lah, bila sampai ayam 1-2 keping je. Anak harey punya kedai. Lepastu cas harga bukan main mahal lagi. Cm babeyh!","I hate crazy pigs in the name of Ramen Chicken Grill food, when it comes to chicken 1-2 pieces. Harey's son has a shop. The price charge is no longer expensive. Cm babeyh!",
2022-02-14 05:43:18+00:00,1.49E+18,Hfizbhrdin,"Aku benci gila babi kedai yg letak nama makanan Ramen chicken grill lah apa lah, bila sampai ayam 1-2 keping je. Anak harey punya kedai. Lepastu cas harga bukan main mahal lagi. Cm babeyh!","I hate crazy pigs in the name of Ramen Chicken Grill food, when it comes to chicken 1-2 pieces. Harey's son has a shop. The price charge is no longer expensive. Cm babeyh!",
