Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2022-02-25 08:16:55+00:00,muda_puchong,"Yesterday, Young Puchong with @mudaxbangi to the Selangor Islamic University College (KUIS) to help students get food in quarantine.

Helps that have been delivered
- 50 packs of food (bread, biscuits etc.)
- 60 boxes of mineral water https://t.co/nbzfcfyixd",,yesterday young puchong selangor islamic university college kui help student get food quarantine help delivered pack food bread biscuit etc box mineral water
2022-02-27 13:30:05+00:00,JJCMPERAK,"This is not in Padang Ipoh, Ipoh but in Kampung Padang Ipoh, Kuala Berang, Terengganu. A Malaysian Civil Defense Force (APM) truck was turned upside down today.

The truck brought food assistance to be delivered to flood victims.

📸Mohd Khairul Fikiri/Bernama https://t.co/rpsov1ypej","Perak, Malaysia",padang ipoh ipoh kampung padang ipoh kuala berang terengganu malaysian civil defense force apm truck turned upside today truck brought food assistance delivered flood victim mohd khairul fikiribernama
2022-02-27 15:39:02+00:00,adamapotek,It's not like that all of them don't know different tasks. That is every time you ask for assemblymen and moneylumers/assistance/road repair/etccc,"Selangor, Malaysia",like dont know different task every time ask assemblyman moneylumersassistanceroad repairetccc
2022-03-09 23:19:42+00:00,nrhznsofea,"This is the case, the latest opah I am Umno, the time of the CPP at the UMNO org is not helped. I have a YB PKR food box bg 😅. Please do the time for the election to be lost 😔","Perak, Malaysia",case latest opah umno time cpp umno org helped yb pkr food box bg please time election lost
2022-03-12 03:09:03+00:00,Media_Selangor,LZS: Five Positive Asnaf Families #Covid19 Receive food help https://t.co/yopgktflp8 https://t.co/qdg3mumsos,Shah Alam,lzs five positive asnaf family receive food help
2022-03-25 06:16:32+00:00,paanpogba,"@aimanseeran when you can set an appointment with this Zakat CEO, would you like to ask for MCD food for weekly?","Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",set appointment zakat ceo would like ask mcd food weekly
2022-03-30 02:15:34+00:00,luxentX,"@pedoqpop Covid Age. Everyone's economic situation is uncertain. Some T20 used to fall B40, ask for a food basket. To ask for help, some don't know where to ask. The HEIs should ask the student and find out who can help.",Petaling Jaya,covid age everyones economic situation uncertain used fall b ask food basket ask help dont know ask heis ask student find help
2022-03-31 17:13:32+00:00,allexseah_bm,"The DAP Service Center Kesiders together with NGO SXY provide food assistance to 20 families in need, may all their family members be healthy. 🇲🇾

*Thanks to all the contributors, volunteers and members of the DAP Assembly Unit. https://t.co/ult1ranerh",,dap service center kesiders together ngo sxy provide food assistance family need may family member healthy thanks contributor volunteer member dap assembly unit
2022-04-02 03:39:56+00:00,limlipeng,"He was a 77 -year -old single, having trouble walking, living under the TNB substation and relying on food help from the public. He said all the brothers were dead. He refused to stay in a senior citizen's house. He just wants us to help him get @jkmhq help. https://t.co/6idrckgobp",Kuala Lumpur,year old single trouble walking living tnb substation relying food help public said brother dead refused stay senior citizen house want u help get help
2022-04-02 11:15:29+00:00,UniMalayaSDC,"Happy Ramadan, the best tarbiyah month to be a sustainable person

1. Tadabbur Quran & amp; Hadith in life
2. Use water & amp; electricity in charge
3. Say not to waste & amp; leftovers
4. Many give: alms, gifts, help

#salamramadan https://t.co/lciduxiydz",Kuala Lumpur,happy ramadan best tarbiyah month sustainable person tadabbur quran amp hadith life use water amp electricity charge say waste amp leftover many give alms gift help
2022-04-05 06:00:20+00:00,THBM_HQ,"05042022 - In Pendang

Ihya 'Ramadan 1443 H
Basic food assistance

600 donkey donation sessions for asnaf around Pendang

perfected -
General Manager #thbmhq
Mr @firdaus_thbm

Hope to help them accordingly

#Thbwecare https://t.co/lbhmcb40ke",Alor Setar,pendang ihya ramadan h basic food assistance donkey donation session asnaf around pendang perfected general manager mr hope help accordingly
2022-05-19 09:02:24+00:00,SDC_Nilai,"Cempaka Village in need of basic food help.

The pilgrims or residents in need of help are welcome to come to the Cempaka Village Surau Gerobok. InshaAllah

“𝑹𝒆𝒛𝒆𝒌𝒊 𝑺𝒂𝒎𝒂 𝑫𝒊𝒌𝒐𝒏𝒈𝒔𝒊
𝑴𝒖𝒂𝒇𝒂𝒌𝒂𝒕 𝑴𝒆𝒏𝒋𝒂𝒅𝒊 𝑬𝒓𝒕𝒊 ”","Negri Sembilan, Malaysia",cempaka village need basic food help pilgrim resident need help welcome come cempaka village surau gerobok inshaallah
2022-06-18 00:04:34+00:00,Media_Selangor,108 UNISEL ASNAF STUDENTS Receive free food help https://t.co/asss3wglh5 https://t.co/zfoeowc9yu,Shah Alam,unisel asnaf student receive free food help
2022-06-21 12:10:01+00:00,noraakira,Stress to see the news of the cooking oil to ride the chicken to go up ... the subsidy is for help to those who miss it ... so that other people x need help ... .,Malaysia,stress see news cooking oil ride chicken go subsidy help miss people x need help
2022-07-05 09:50:20+00:00,AbdullahMY74,"@IsmailSabri60 The most impressive group is the student. Please also see the students in primary and secondary schools, especially the Rentan and the B40.

Food ceiling price help for IPT students. We say thousands of thanks.",Kuala Lumpur,impressive group student please also see student primary secondary school especially rentan b food ceiling price help ipt student say thousand thanks
2022-07-12 00:41:06+00:00,Media_Selangor,"Aidiladha: 100 Residents Receive Food Help, Sacrifice https://t.co/5fltlj3ovv https://t.co/zpimwtiaww",Shah Alam,aidiladha resident receive food help sacrifice
2022-07-23 05:50:04+00:00,CheapremeBrand,"#Limatunting #turun

1. Cut the minister's salary
2. Maintain subsidies
3. Distribute dignified help
4. Control the price of goods
5. Complete the food supply

#Byrakyat4rakyat https://t.co/whbui7yqgr",Wilayah Persekutuan Kuala Lump,cut minister salary maintain subsidy distribute dignified help control price good complete food supply
2022-08-14 14:24:24+00:00,burningredberry,"Finish the 179th serving. Food Assistance on the homeless & amp; poor city

#Dapuri travel https://t.co/lmahp8urlg",Ipoh | Malaysia,finish th serving food assistance homeless amp poor city travel
2022-08-16 15:35:26+00:00,addien90s,"Bismillah, my team and my @myfundaction are safe in Sabah. InshaAllah starting tomorrow for a week, we will enter the interior of Sabah to provide lessons and food to mualaf, children and locals. This is a thread throughout our mission here. Stay tuned! https://t.co/ag57mig6ty",,bismillah team safe sabah inshaallah starting tomorrow week enter interior sabah provide lesson food mualaf child local thread throughout mission stay tuned
2022-08-28 09:40:53+00:00,allexseah_bm,"Providing a little food help to a mother, her son was born for not enough months and entered the ward for 6 months.
捐助 一些 物 给予 这 位 印裔 妈妈 ， 他 的 孩子 早产 ， 之前 住院长 达 6 个 月。
#Allexseah #谢守钦 https://t.co/duyfzn3fau",,providing little food help mother son born enough month entered ward month
2022-08-30 05:51:48+00:00,Fitri_Nizam,Let's give you RM30 for their daily dietary purposes🥺,Malaysia,let give rm daily dietary purpose
2022-09-28 03:40:44+00:00,AliBiju_my,"September 27, 2022, Tuesday:

Submission of fire assistance in Kampung Darat, Kabong

Earlier, staff from the P.205 Saratok Service Center went down the field to provide a little help in the form of basic essential foods as an initial assistance https://t.co/mwclg8fvpp","Saratok, Sarawak",september tuesday submission fire assistance kampung darat kabong earlier staff p saratok service center went field provide little help form basic essential food initial assistance
2022-09-30 09:14:08+00:00,yeolahv,"""But pills are expensive""

No, they're cheap. Only if you bother to listen to the KK Nurse after giving birth you must know this is not up to RM10 at KK

You really feel better to buy food, so don't worry about the kids and don't ask for help",Malaysia,pill expensive theyre cheap bother listen kk nurse giving birth must know rm kk really feel better buy food dont worry kid dont ask help
2022-10-07 12:39:19+00:00,farahfarawayyy,@Onenyta is sad. But the purpose of this food help is to ensure that the children are nutritious. 😓,"Kuala Lumpur,Malaysia",sad purpose food help ensure child nutritious
2022-10-20 12:29:52+00:00,RakyatB40,"How to apply for RM 300 food help through MyKasih.

How To Apply ⤵️
https://t.co/zhalgszqzb",Malaysia,apply rm food help mykasih apply
2022-10-31 01:56:04+00:00,cempedakhangit,"One thing to order in Anwar Ibrahim, the Tambun people are used to the government's help, food aid, the charity porridge, the charity of the lemongrass is normal. So if he wins the soul of the parents in this Tambun area, please continue this charity/ help.",Ipoh,one thing order anwar ibrahim tambun people used government help food aid charity porridge charity lemongrass normal win soul parent tambun area please continue charity help
2022-12-01 05:57:58+00:00,F_SyimaM,"@Kakchikashakc because it has to stop this food help. DBKL has stopped but something else does. Sometimes food is more abundant. If it's time to fast again.
There are also many programs for the underwear Under YKN. But that's it ..","Setapak, Selangor",stop food help dbkl stopped something else sometimes food abundant time fast also many program underwear ykn thats
