Datetime,Username,Text,Translated_Tweets,Cleaned_Tweets
27/1/2023 14:32,Don Dale,Before beli korang jgn lupa tgk review dulu guys.. Rasa sayang sgt sbb tak tgk komen before beli.. Sebab terkesima tgk gamba makanan mereka yg fake tu.. Dah la mahal.. https://t.co/UYRcUG03mH,Before buying you don't forget to review first guys .. I feel like I don't want to comment before buying .. because they don't know what their fake food is .. it's expensive .. https://t.co/uyrcug03mh,buying dont forget review first guy feel like dont want comment buying dont know fake food expensive
27/1/2023 19:04,Iliani,"Food security ni kalau buat research memang akan meletop kebabom. Isu yang takkan berakhir, contohnya baru ni yang rafizi dok cakap “makanan mahal” tu one food security isu lah","This food security if doing research is going to explode. Issues that will not end, for example, this is the new Rafizi docking ""expensive food"" is one food security issue",food security research going explode issue end example new rafizi docking expensive food one food security issue
29/1/2023 8:28,Naim Zaini,"@3da_nash Dlm konteks makanan yg disembelih, org Islam ada pertimbangan lain selain harga. Ada je ayam murah yg blh dibeli tapi hati rasa tak yakin dgn tahap halal tu. Mereka ni lbh rela beli ayam yg sedikit mahal asalkan hati rasa yakin. Ini pemerhatian saya bila sembang dgn org² tua la.","@3da_nash in the context of slaughtered food, Muslims have other considerations other than prices. There are cheap chickens that can be bought but the heart is not sure of that halal level. They are willing to buy a little chickens as long as they feel confident. This is my observation when chatting with old people.",context slaughtered food muslim consideration price cheap chicken bought heart sure halal level willing buy little chicken long feel confident observation chatting old people
29/1/2023 13:29,??,Terpaksa naikkan harga makanan sebab barang basah mahal sekarang. ?? Sorry guys,Had to raise food prices because wet goods are expensive now. ?? Sorry guys,raise food price wet good expensive sorry guy
30/1/2023 21:52,Alinosourawr,"Restoran che' lah sek 13??????
1 hantar makanan x order.
2 memandai tambah makanan + minuman kita tak order pn dkt cashier.. Paksa bayar plak tu. 
3 pricey, semua above rm10.. Aku marhein je, bihun goreng rm12. 90 mahal tau?! Aku geram! Sb terpaksa stop mkn sb org lain stress..","Che 'Restaurant Sek 13 ??????
1 Send food x order.
2 of our food + drinks do not order pn dkt cashier .. forced to pay the plaque.
3 pricey, all above rm10 .. i'm marhein je, rm12 fried vermicelli. 90 expensive?! I'm angry! SB has to stop by other stress ..",che restaurant sek send food x order food drink order pn dkt cashier forced pay plaque pricey rm im marhein je rm fried vermicelli expensive im angry sb stop stress
31/1/2023 13:33,#IWantToThankMe,"Nak buat mcm mana, makanan kat Malaysia ni asyik kena scam je. Pergi tempat mahal pun so so je raso. Tapi aku tetap la belanja dlm Malaysia. Dr Mersing ke Rompin makanan ????. https://t.co/DjAsoN1vLP","Where to do it, the food in Malaysia is always a scam. Going to an expensive place is so je raso. But I'm still shopping in Malaysia. Dr Mersing to the Rompin Food ????. https://t.co/djason1vlp",food malaysia always scam going expensive place je raso im still shopping malaysia dr mersing rompin food
31/1/2023 19:47,????,Tak tau gaji aku yg ciput sgt or makanan yg mahal nak mampos.,I don't know how much my paycheck or expensive food is going to be expensive.,dont know much paycheck expensive food going expensive
31/1/2023 22:21,iam.fuzy ???? | Blogger | GW | #umifuzy,"utk masuk ke sini, anda akan melalui hutan simpan yang berpagar. Memang cantik dan tenang.

Harga makanan pun tak mahal tapi portion nasi lemak tu tidak terlalu besar ya.

Nak tahu lebih lanjut, jengah https://t.co/P6pqjfPzxh nanti #iamfuzykongsi https://t.co/5YR4dR2noz","To get here, you will go through the fenced forest. It's pretty and calm.

The price of food is not expensive but the fatty rice portion is not too big.

To know more, https://t.co/p6pqjfpzxh later #iamfuzykare https://t.co/5yr4dr2noz",get go fenced forest pretty calm price food expensive fatty rice portion big know later
1/2/2023 1:27,sehidangrasa29,"Antara sebab harga makanan dekat kedai pun dah mahal sekarang, cuba kau tengok harga benda yang sama deme jual dekat platform Grab, Food Panda, Shopee Food bagai tu. Sama ke atau lebih mahal?","One of the reasons for the price of food near the store is expensive now, try to see the same thing for sale near the Grab, Food Panda, Shopee Food platform. Same to or more expensive?",one reason price food near store expensive try see thing sale near grab food panda shopee food platform expensive
1/2/2023 16:41,Azah,Cane ek minyak petrol kan mahal kt thailand tp apesal makanan die murah?,Can it be expensive to be expensive in Thailand but how much food is cheap?,expensive expensive thailand much food cheap
