Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2022-02-02 10:42:05+00:00,MrNobody95dj,"Always ""electricity tariffs: high operating costs of rising prices"" but no ""rising prices of prices of basic salary increases in malaysia""

Every year there will be an article that says these big companies are worth millions!","Gombak, Selangor",always electricity tariff high operating cost rising price rising price price basic salary increase malaysia every year article say big company worth million
2022-02-02 17:09:42+00:00,aiamDeen,"Join the ministries to find a solution to the increase in chicken prices .. Electronic media, print media proudly promoting the Malaysian family is very concerned about rising prices..meeting here and there with eating & amp; Drink delicious.

Laaa..ayam dropped 20sen to @ismailsabri60 ??",Kuala Lumpur,join ministry find solution increase chicken price electronic medium print medium proudly promoting malaysian family concerned rising pricesmeeting eating amp drink delicious laaaayam dropped sen
2022-02-04 07:12:13+00:00,nadialatiff22,It feels like the price of goods goes up. Grocery I also cost spike. To this month I was diligent in cooking https://t.co/imqr9ppokb,SentulEast | KUL,feel like price good go grocery also cost spike month diligent cooking
2022-02-04 12:10:43+00:00,asyikinnoh,The rise in the price of this item is a bit to make me giveup as a bakers for my own business.,Malaysian,rise price item bit make giveup baker business
2022-02-05 07:57:44+00:00,MindworksFX,"If this is right!
Woe to the government today and the officers who are conspiring with it!
Aamin!
#Kpdnhep #hargabarangnaik #minyakmasak #malaysia #keluargamalaysia

https://t.co/a8moueaf04",Malaysia,right woe government today officer conspiring aamin
2022-02-05 09:09:09+00:00,AfiqMahadhir,"The price of goods is rising. It hurts, see the price goes up 30% less than a month. 😩😩😩","Nakano-ku, Tokyo",price good rising hurt see price go le month
2022-02-05 15:57:19+00:00,nadia_shaari,"Egg prices have gone up? 😱

Two days ago the kitchen goods restocked RM12.90 for grade","shah alam, malaysia",egg price gone two day ago kitchen good restocked rm grade
2022-02-05 16:07:46+00:00,shahrizan_k,"@Ashrafariff agrees, as the public itself is unable & amp; Quickly raging when the price goes up

I mean your own salary wants to go up every year, but the price of the goods is complaining, causing the business to be unable to raise the salary, so it is not possible to pay the employee's salary reasonably",Malaysia,agrees public unable amp quickly raging price go mean salary want go every year price good complaining causing business unable raise salary possible pay employee salary reasonably
2022-02-05 16:51:58+00:00,sijidiana,Im so delivered. Let's tell you the press to talk about the price increase. A little something goes up. Now eggs go up price. La nie silent je mcm nothing. Haihhh. What is the dock talking about? Have you ever had a conference in London first to get a quick time? Stupid.,,im delivered let tell press talk price increase little something go egg go price la nie silent je mcm nothing haihhh dock talking ever conference london first get quick time stupid
2022-02-05 22:13:44+00:00,HadiFathey,"@Bulletintv3 pay salary, operating costs go up, prices of goods go up 😁","Selangor, Malaysia",pay salary operating cost go price good go
2022-02-06 00:32:33+00:00,amar_amaq,What can we do now? The price of goods is rising. The minister looks like it doesn't matter. Can we do it? Don't wait for the GE. UMNO falls in PH? The expense of the goods is up. The salary does not rise. Repeat the same thing? Sometimes it feels good with Malaysia.,bukit mertajam,price good rising minister look like doesnt matter dont wait ge umno fall ph expense good salary rise repeat thing sometimes feel good malaysia
2022-02-06 08:53:50+00:00,sherasherzinger,"Inflation is real, the price of goods is all expensive. Business with a warm nail business xmmpu. Hence I decided to work. But i still agent legitimate supercube, so klau nk order bgtau je okay",,inflation real price good expensive business warm nail business xmmpu hence decided work still agent legitimate supercube klau nk order bgtau je okay
2022-02-07 06:47:29+00:00,akudiraf,The rising prices of goods in Malaysia is actually a cartel gang game.,"Kuala Lumpur, Malaysia",rising price good malaysia actually cartel gang game
2022-02-08 02:01:15+00:00,Sophiealyahya,The price of the goods continues to rise to the taste of anxiety. 😥,"Kuala Lumpur City, Kuala Lumpur Federal Territory",price good continues rise taste anxiety
2022-02-08 10:54:36+00:00,azuanlatif,"Just know the panadol has not been stocked for almost 2 weeks, GSK plans to pay for the price. What are all these things to rise in 🤦🏻‍♂️","Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",know panadol stocked almost week gsk plan pay price thing rise
2022-02-09 07:34:46+00:00,MohamadJamean,"17,134 cases
The price of goods is up
The Covid case goes up
Pakat goes up and down sume deh 😅",Ipoh | Lenggong,case price good covid case go pakat go sume deh
