Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2022-02-08 00:00:25+00:00,faqihsyakiran,So salary rises RM1500 at the end of the year. The basic calculator is on the price of food prices. So what's the difference 👀,"Wilayah Persekutuan Putrajaya,",salary rise rm end year basic calculator price food price whats difference
2022-02-11 04:04:40+00:00,NassrolFahmi,The 7kg cat food price goes up from RM140 to RM155. Up 11% of RM15. A month of 2 bags (14kg). Raise RM30 total 😓😓 If you go up often two can be done again.,Kuala Lumpur,kg cat food price go rm rm rm month bag kg raise rm total go often two done
2022-03-05 10:02:02+00:00,redha_zahid,"Russia and Belarus Supply 2/3 Quantity of essential elements of fertilizer in this world. (Mop)

When short supply, prices of goods will rise, low agricultural products, raw prices rise.

Russia and Ukraine are the largest wheat producers. The food crisis will take place.",,russia belarus supply quantity essential element fertilizer world mop short supply price good rise low agricultural product raw price rise russia ukraine largest wheat producer food crisis take place
2022-03-06 12:18:09+00:00,nikalifdanial_,The origin of all the food goes up this price,fathia 🥨🍪,origin food go price
2022-03-19 13:24:21+00:00,mohd_famy,@Marchfoward control prices new goods think of pay raise ... remember the price doesn't rise to..Domino effect ... the price of the food shop price goes up..fast food goes up ...,Penang,control price new good think pay raise remember price doesnt rise todomino effect price food shop price go upfast food go
2022-03-20 01:54:21+00:00,wenkt,"@Ben153yih @zua_al_azmi @misamuddinisa and I feel sorry for the village style restaurants. When the staff here raise the paycheck, the food prices here go up, the customers will become less.","Kajang, Selangor",feel sorry village style restaurant staff raise paycheck food price go customer become le
2022-03-20 02:19:01+00:00,MuadzMahfud,"I can feel that the price of food at the Ramadan bazaar will go up.

Because the average site owner raises site rental prices,

For the reason that they want to cover the sale of bazaar because of the covid-19 pandemic.

May the people of marhaen all","Selangor, Malaysia",feel price food ramadan bazaar go average site owner raise site rental price reason want cover sale bazaar covid pandemic may people marhaen
2022-03-22 03:20:08+00:00,watermelonlyche,"11) Umbut by the coconut

This wants to go up the hill to find her dining area. His price is partially marhaen where he is soothing but his service fees 10% are reminded. But it tastes good for the food 😫😫 Soo is not worth it https://t.co/kgp1rfwgkn","Negri Sembilan, Malaysia",umbut coconut want go hill find dining area price partially marhaen soothing service fee reminded taste good food soo worth
2022-03-23 03:11:00+00:00,tokmathamzah,"The House of Representatives answered Datuk Haji Bashir bin Haji Alias ​​asking @mafimalaysia to state what the mechanism was to overcome the problem of food supply chains to Labuan which led to a shortage of food supply and the sharp rise in prices of goods.
https://t.co/svqdtuvl3o",,house representative answered datuk haji bashir bin haji alias asking state mechanism overcome problem food supply chain labuan led shortage food supply sharp rise price good
2022-03-26 09:22:54+00:00,AfindiNoor,"The price of goods is increasingly expensive
Food prices rose 3-4 times more than before
#MENTIERIA ALL MAKE ANYTHING EVERYONE
I guess the dock wants to spend government money with the people's money ...
For high salaries with what allowance, what does the minister do?",Kuala Lumpur Federal Territory,price good increasingly expensive food price rose time make anything everyone guess dock want spend government money people money high salary allowance minister
2022-04-04 04:27:30+00:00,ruzainiml,Food prices in the Ramadan market are rising. Cooking in the house even raw goods rising. The same,,food price ramadan market rising cooking house even raw good rising
2022-04-04 09:26:21+00:00,mierularep,That's right the price of food at the bazaar goes up. Because raw goods go up. Expensive.,,thats right price food bazaar go raw good go expensive
2022-04-05 03:31:21+00:00,hierrago96,"This is not the case, the business,

Egg A, once 11, now 13
Creamer 25kg 190, now 265

It must have been the price of food for sale, the traders could not stand it, they could not be absorb. End up users, we are users, soo are affected","Rawang, Selangor",case business egg creamer kg must price food sale trader could stand could absorb end user user soo affected
2022-04-05 12:30:17+00:00,shah_shnetwork,"Not the price of food at the bazaar rises suddenly ...

Our money is getting worse 🤣🤣","Selangor, Malaysia",price food bazaar rise suddenly money getting worse
2022-04-05 14:24:30+00:00,JJCMPERAK,"The average price of food at Ramadan bazaar is rising prices, the factors of raw goods are going to be crazy. Just hope the quality remains the same .. can it?","Perak, Malaysia",average price food ramadan bazaar rising price factor raw good going crazy hope quality remains
2022-04-06 06:49:49+00:00,dirikuboneka,Skang Tomato Rice Pon Rm10 Mat. What to do. Lom's salary goes up RM1500 Food prices are up. What cite,"Muar, Johor",skang tomato rice pon rm mat loms salary go rm food price cite
2022-04-07 03:06:31+00:00,AfilSyazwan,"My mom said, maybe she soon stopped trading at the backyard shop in the village. I asked me why. He said, because the price of the price went up so much. To raise the price, he said he was sorry for the villagers to buy food.","Shah Alam, Malaysia",mom said maybe soon stopped trading backyard shop village asked said price price went much raise price said sorry villager buy food
2022-04-13 14:29:08+00:00,JaPen_Sepang,"Review of rising food prices at Ramadan bazaar

Please answer online through the following links: 📲 https://t.co/jfklhgxjjl.

Study Period: April 13 to April 16, 2022 https://t.co/2tc5lvrpcf","Putrajaya, Wilayah Persekutuan",review rising food price ramadan bazaar please answer online following link study period april april
2022-04-19 08:17:26+00:00,nnyubellz,"As a cat food seller, I agree. This year almost all brands go up. However, the price of capital from the supplier itself is rough for now. Those of us who sell this are trapped and we want to sell it at a high price.",,cat food seller agree year almost brand go however price capital supplier rough u sell trapped want sell high price
2022-04-25 09:21:21+00:00,amar_amk9757,"As the authorities acknowledged, the increase in chicken prices in Malaysia was due to the rise in corn and soybean prices by 13% and 11% since January which was a food for chicken. https://t.co/wtby1r2pna","Perlis, Malaysia",authority acknowledged increase chicken price malaysia due rise corn soybean price since january food chicken
2022-04-25 09:21:22+00:00,amar_amk9757,"70% of the overall cost of chicken breeding is from the cost of food. Of course, in the event of a hike in the price of chicken food which is largely imported from abroad, chickens in the market will easily change.","Perlis, Malaysia",overall cost chicken breeding cost food course event hike price chicken food largely imported abroad chicken market easily change
2022-04-30 08:35:11+00:00,wireputus,"For example I am the issue of rising chicken prices, meat and other raw materials that are 100% dependent on the feeding of bran. This issue has been a politician once chatted but maybe because of greed after GE14",Shah alam,example issue rising chicken price meat raw material dependent feeding bran issue politician chatted maybe greed ge
2022-05-18 14:29:00+00:00,amirshafie76,"If anyone feels the increase in prices of goods, the absence of food sources, drought in some countries is a climate and economic problem, know we are wrong.

Back to the Islamic teachings.

Maybe we see no logic? Believe me, the world is over, not starting.",Wangsa Maju,anyone feel increase price good absence food source drought country climate economic problem know wrong back islamic teaching maybe see logic believe world starting
2022-05-19 02:05:23+00:00,S4llyThecapri,With the rise in the price of the day .. for the marhain people who pay below 1k even less than that can be weihhh ... oh my gosh ... de dlu xsetel2 price issues .. The problem is that the price of food prices go down .. a piece of caripap,,rise price day marhain people pay k even le weihhh oh gosh de dlu xsetel price issue problem price food price go piece caripap
2022-05-19 08:42:16+00:00,abd_jabbar,"Two days in a blackout day, 2 hours today 4 hours have not yet had it. Smalam xde water 6hrs, today xde back to skali. The price of the brg2 goes up, the supply is low. What is happening?",Lives in Tuaran,two day blackout day hour today hour yet smalam xde water hr today xde back skali price brg go supply low happening
2022-05-22 04:47:09+00:00,Thiban_ben,"Despite being busy campaigning for party elections, the country's economic issues are very worrying. Sri Lanka became a bankruptcy because of inefficient and trustworthy governance. Malaysia is not far from Sri Lanka. Now, the value of the ringgit is falling, the food crisis, the price of goods goes up! Live Mail !!",Bestari Jaya (Batang Berjuntai,despite busy campaigning party election country economic issue worrying sri lanka became bankruptcy inefficient trustworthy governance malaysia far sri lanka value ringgit falling food crisis price good go live mail
2022-05-22 06:59:09+00:00,anraihan28,"His job is to promote the Malay language promotion .. the price of goods goes up, the quantity of food is reduced, the investor runs away from another country, he is x story eh.
Cringe siot ""lingua franca""
Let's recite the meleis language.

#because",Penang-KL-Nilai-Pajam,job promote malay language promotion price good go quantity food reduced investor run away another country x story eh cringe siot lingua franca let recite meleis language
2022-05-23 08:28:59+00:00,ypchristinemay,"2. Food and oil prices rise sharply and Sri Lanka's inflation rates are now 30%. (Malaysia at 2.2%)
Rice kilo price in Sri Lanka - RM2.62, Malaysia - RM1.79

2/9",Kuala Lumpur City,food oil price rise sharply sri lankas inflation rate malaysia rice kilo price sri lanka rm malaysia rm
2022-05-24 02:20:48+00:00,Thiban_ben,"Knife on the people's neck 😣

A food supply crisis
The price crisis of goods goes up - BN
Even cooking oil prices go up
Food prices will go up 🥺 https://t.co/hxjaleb0pm",Bestari Jaya (Batang Berjuntai,knife people neck food supply crisis price crisis good go bn even cooking oil price go food price go
2022-05-25 16:27:50+00:00,lohkerchean,"Establishment of JK Cabinet Guaranteed Food Securities since Sep 8, 2020 by @muhyiddinyassin, Minister @rkiandee remains the same today. Proof of the Minister for a blind salary, the Cabinet failed. @simtzetzin @mydsa_official https://t.co/v4npyr3pmk","Petaling Jaya, Selangor",establishment jk cabinet guaranteed food security since sep minister remains today proof minister blind salary cabinet failed
2022-05-27 07:36:08+00:00,lady_chantek,"In fact, chicken is a food that many people can afford to buy at the store or at home.
Fish is far more expensive than the price of chicken, especially the price of beef & amp; goat.That is a lot of stress when the chicken goes up and has no supplies but that is the only one to buy.","Kuala Lumpur, 📍 Malaysia 🇲🇾",fact chicken food many people afford buy store home fish far expensive price chicken especially price beef amp goatthat lot stress chicken go supply one buy
2022-05-27 08:25:19+00:00,Daliakudo,"We feel like the price of food items. What's more, Bangla's uncle. 😢","Putrajaya, Malaysia",feel like price food item whats bangla uncle
2022-06-02 11:40:49+00:00,BahaKamal4,@Armana6797 all over Malaysia. The Small Food Traders Association has reached the price of the price,,malaysia small food trader association reached price price
2022-06-04 03:13:54+00:00,kito4036,"Problems with the supply of chickens, the people are poor. Chicken prices go up, automatic chicken foods are expensive. Until when is this @kpdnhep? @mafimalaysia @ismailsabri60",,problem supply chicken people poor chicken price go automatic chicken food expensive
2022-06-06 08:06:54+00:00,byanmathers,The rise in food prices near the UNITEN market is the most obvious I noticed is Murtabak Edy. Wei early to work 7-8 years ago RM6 now it's RM11 hahaha almost double means my salary has not doubled from the beginning of work 🙃,Malaysia,rise food price near uniten market obvious noticed murtabak edy wei early work year ago rm rm hahaha almost double mean salary doubled beginning work
2022-06-08 07:56:04+00:00,RameshRaoAKS,"🐷 🐷 #family say not to do #gst, but it should control the price of goods. 🐷 🐖 Have a chat, and even fall.

Many countries have problems with food crisis, Barnang price problems, even UK and USA.","Bandar Kuala Lumpur, Wilayah P",say control price good chat even fall many country problem food crisis barnang price problem even uk usa
2022-06-08 07:56:05+00:00,RameshRaoAKS,"Consumer price rose 73.5%, transportation rose 108% and 92% food due to rising energy fuel and fallen lira.

In Singapore, food prices rose 4.2% as of April and are expected to continue this month - Whole Chicken rose 9.2% of eggs up 9.8% in Singapore!","Bandar Kuala Lumpur, Wilayah P",consumer price rose transportation rose food due rising energy fuel fallen lira singapore food price rose april expected continue month whole chicken rose egg singapore
2022-06-09 12:39:30+00:00,_riixal,"@becktdennis now all the goods go up the price as the food goes up price but when it goes down the price, the food price does not fall down haha",W.P Kuala Lumpur,good go price food go price go price food price fall haha
2022-06-10 14:37:59+00:00,nizamiks,"Speaking of inflation…

There are so many things to rise in price.

Road Sweet Water: RM3 ➡️ RM3.50
Chicken Wings: RM2 ➡️RM2.50
Shawarma: RM5 ➡️ RM6

This is just a list of food I always buy. Maybe it's different from you.

Eventually will spread to other industries as well.",Malaysia,speaking inflation many thing rise price road sweet water rm rm chicken wing rm rm shawarma rm rm list food always buy maybe different eventually spread industry well
2022-06-11 12:06:28+00:00,faqihsyakiran,What is a significant story to tell the rise in food prices at the price of fat rice RM1 now rm2? I want to enjoy it but enjoy it https://t.co/adwrs7btpn,"Wilayah Persekutuan Putrajaya,",significant story tell rise food price price fat rice rm rm want enjoy enjoy
2022-06-11 12:08:47+00:00,faqihsyakiran,The context is right but the example does not fit the title as if the price of food goes up rm1 je stupid eik. 😭,"Wilayah Persekutuan Putrajaya,",context right example fit title price food go rm je stupid eik
2022-06-14 21:30:40+00:00,AbdullahMY74,"@IsmailSabri60 Breath takes good steps to ensure that food securities in our country are under control.

Hopefully breathing will help the government address the problem of rising chicken prices and the country's food supply.

#saraharelawandsis",Kuala Lumpur,breath take good step ensure food security country control hopefully breathing help government address problem rising chicken price country food supply
2022-06-14 21:33:50+00:00,AbdullahMY74,"Breath takes good steps to discuss food securities in our country.

Hopefully breathing will help the government address the problem of rising chicken prices and the country's food supply.

#saraharelawandsis",Kuala Lumpur,breath take good step discus food security country hopefully breathing help government address problem rising chicken price country food supply
2022-06-16 11:06:08+00:00,myDOA_HQ,"Breath, space can help the government handle chicken prices, food supplies - PM

Full Article: https://t.co/cmnr5ygfoo

#mydoa #maha2022 #sekuritimakan https://t.co/soliqnxyfv",Putrajaya Federal Territory,breath space help government handle chicken price food supply pm full article
2022-06-19 04:17:18+00:00,laylathefirst,It's expensive. That day reminds the expensive food in Shah Alam and it seems that all the places are up. Now go out and bring some cooking ready to be ready at home. It can save a little. Get out of dinner.,,expensive day reminds expensive food shah alam seems place go bring cooking ready ready home save little get dinner
2022-06-19 15:12:01+00:00,NasMedium,Not a student but at work the cafe food is up. Argh I'm just about to live. This week has to fast.,Ampang,student work cafe food argh im live week fast
2022-06-20 05:06:57+00:00,noraakira,The price of the side dishes is up to 1 dollars..yes understand that all the prices of goods go up..tp the government will go down price x ever plaque food prices drop ..,Malaysia,price side dish dollarsyes understand price good go uptp government go price x ever plaque food price drop
2022-06-21 11:37:09+00:00,Are_nipt,Wohoo goes up more food prices 👏👏,"Jitra,Kedah,Malaysia",wohoo go food price
