Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2022-02-03 14:46:52+00:00,FarrahWahida_,"People see us as we have money, people don't see how we struggle to make money and belly.",Malaysia,people see u money people dont see struggle make money belly
2022-02-07 11:59:08+00:00,dreyse_kim,This month has to be a little stomach ache because you have to pay for the convo robe. Convo has my own thing. 🥲,KUL || SBN ✈️,month little stomach ache pay convo robe convo thing
2022-02-07 12:04:52+00:00,dreyse_kim,I mean belly from eating outside. 😌,KUL || SBN ✈️,mean belly eating outside
2022-02-12 04:19:26+00:00,tedadnan,"Saturday 12th February 2022.

#Alhamdullilah, #Video Job Event has begun to enter after a long ""belly"" #Covid19 crime from this evil #CCP country.

Hopefully there is no ""lockdown"" #pkp, amek-Booster shot all brothers & amp; miss. https://t.co/7w5niw8iae","Kuala Lumpur, Malaysia. ",saturday th february job event begun enter long belly crime evil country hopefully lockdown amekbooster shot brother amp miss
2022-02-16 12:27:34+00:00,wahab388,@saifulv39 The stomach is the answer to the people of Johor.😂😂😂,Petaling Jaya and Penang,stomach answer people johor
2022-02-21 04:25:02+00:00,sayaaqbar,"The experience of teaching that day, the disciplinary teacher will seize who brings the phone. But it will be returned time. HP is the personal property of the students, do not do that (in VID). The goods are bought with halal money, some who get stomach to buy a phone.","Hulu Selangor, Selangor",experience teaching day disciplinary teacher seize brings phone returned time hp personal property student vid good bought halal money get stomach buy phone
2022-02-22 02:47:03+00:00,rashdanmarzuki,@cencarubakar @aimiafrina_ don't want to go to your daily tweet because you want to pay for a car,"Johore, Malaysia",dont want go daily tweet want pay car
2022-02-26 20:11:05+00:00,wantogey,Hehehe next month to make money a little more hehehehehe a lot of things to get it hehehehe tinted car already nazak hehehehehe want to go again two weeks hehehe end of the month stomach hehehe,Penang,hehehe next month make money little hehehehehe lot thing get hehehehe tinted car already nazak hehehehehe want go two week hehehe end month stomach hehehe
2022-03-06 14:30:18+00:00,Nora_Hx,"@Thehulkey slow2 Reduce Monthly Expenses. What can be cut, cut. Instead of ordering stomach, but not. Spending all of your income is a No No. There should be a 1/5 saving of salary. With extra money, close expenses 1-1. It's getting more and more extra money for greater saving.",Malaysia,slow reduce monthly expense cut cut instead ordering stomach spending income saving salary extra money close expense getting extra money greater saving
2022-03-16 12:46:12+00:00,FAliaHMS,"Do not remove, if possible. Let the stomach tie it now for the comfort of the future. That's just me, you want to take it out too, do it.",Kuala Lumpur City,remove possible let stomach tie comfort future thats want take
