Datetime,Username,Text,Translated_Tweets,Cleaned_Tweets
18/3/2023,"Alyssa Tulis, Aman Baca.",Which means kami dinner ala kadar. Weh nak menangis rasa bila kelaparan macam tu. Masuk angin jangan ceritalah. Then esok pagi Abang NJ tolong hantar makanan yang mak dia kirim (nasib rumah dia dekat) & mak dia bekalkan 3 set makanan plus air milo panas lagi ??????,Which means we have dinner. Want to cry when starving like that. Don't tell the wind. Then tomorrow morning Brother Nj please send the food he sent (his home's fate) & his mother supply 3 sets of food plus hot water again ??????,mean dinner want cry starving like dont tell wind tomorrow morning brother nj please send food sent home fate mother supply set food plus hot water
15/3/2023,Arulll ????????,"Kalau video camni lalu time Bulan Puasa nanti, memang pengsan kelaparan ???? https://t.co/dZyROPIiVm","If the camni video is then fasting the month, is it fainting hunger ???? https://t.co/dzyropiivm",camni video fasting month fainting hunger
13/3/2023,??DeanePitt??????,"I pernah Ada 2 ekor cat I Jaga sampai diaorang past away. Since that dah tak sanggup nak Ada kucing sbb it's very hart to move one bila kehilanhan benda yg kita syg mcm anak. Since then, I will treat any stray cat yg lapar so diaorang takkan sedih or tido dlm kelaparan.??","I used to have 2 paints I was watching until he was past away. Since that is no longer able to have a cat as it is very hart to move one when it comes to the things we are doing. Since then, I will treat any stray paint that is hungry so he won't be sad or hungry. ??",used paint watching past away since longer able cat hart move one come thing since treat stray paint hungry wont sad hungry
11/3/2023,PENYOKONG SETIA RTM ™,Zaman Sekarang Dengan Harga Barang Naik dan Kos Sara Hidup Tinggi ... Ada Yang Kelaparan dan Ikat Perut ... Ini Realiti Bukan Fantasi.,Nowadays with high prices of goods and high cost of living ... some are starving and belly ... this is a reality is not fantasy.,nowadays high price good high cost living starving belly reality fantasy
23/3/2023,Nurdin Hasan,"Kami pasti akan mengujimu dengan sedikit ketakutan dan kelaparan, kekurangan harta, jiwa, dan buah-buahan. Sampaikanlah (wahai Nabi Muhammad,) kabar gembira kepada orang-orang sabar, (QS Al-Baqarah: 155)
#Ramadan
#AyatoftheDay 
#RamadhandiAceh","We will surely test you with a little fear and hunger, lack of property, soul, and fruit. Tell the Prophet Muhammad,) happy to the patience, (QS al-Baqarah: 155)
#Ramadan
#Ayatoftheday
#Ramadhandiaceh",surely test little fear hunger lack property soul fruit tell prophet muhammad happy patience q albaqarah
3/3/2023,ladyofleisure ????,"Jemput makan semua. Kelaparan dikala hujan turun lebat.
Alhamdulillah.
#nasikandarayambawang 
#nasikandar https://t.co/0BhumwQuc3","Let's eat. Hunger when it rained heavily.
Thank God.
#nasikandarayambawang
#nasikandar https://t.co/0bhumwquc3",let eat hunger rained heavily thank god
3/3/2023,.m,Suruh celup tangan kanan pulak tu. Lepastu kena pergi lunch. Anda rasa saya masih berselera time tu!? Berselera je kut lepas dah cuci dgn sabun (tak ingat). Benda pun lapar. Duk hostel ni sentiasa kelaparan https://t.co/BLtsF7jXWu,Tell the right hand. You have to go to lunch. Do you think I'm still in that time!? Feel free to wash with soap (don't remember). Things are hungry. This hostel is always starving https://t.co/bltsf7jxwu,tell right hand go lunch think im still time feel free wash soap dont remember thing hungry hostel always starving
2/3/2023,Penyuka Bonsai,"Kehidupan ku nggak mewah, tapi akan kujamin perutmu nggak akan kelaparan dan badanmu nggak akan kedinginan maupun kepanasan","My life is luxurious, but your stomach guarantee is starving and your body is cold and warm",life luxurious stomach guarantee starving body cold warm
2/3/2023,Atap coklat,"lu bagi ya kaya kenapa sih kalau harta lu banyak gabisa bagi-bagiin sama orang yang lebih butuh?
lihat tuh banyak diluar sana yg miskin kelaparan. kenapa ga dibagi dua? sayang kalau lu mati sia-sia hartanya ga dibawa. maksud gue biar lebih bermanfaat tuh uang.","Do you want to be rich why is your treasure so much for people who need more?
See a lot of people out there who are starving. Why is GA divided into two? It is unfortunate that you die in vain. I mean to be more useful to money.",want rich treasure much people need see lot people starving ga divided two unfortunate die vain mean useful money
1/3/2023,Awie,"Ya Rahman ya Rahim, dalam suasana sahabat dan saudara kami diuji dengan banjir ya Allah. Kami terbayang anak-anak mereka yang kesejukan ya Allah. Kami terbayang anak-anak yang kelaparan ya Allah.... Ampuni kami Ya Allah... ?? https://t.co/BzmmoM9spo","Ya Rahman Ya Rahim, in the atmosphere of our best friends and relatives is tested by the flood of God. We imagine their children who are cold, God. We imagine the hunger children of God .... forgive us God ... ?? https://t.co/bzmmom9spo",ya rahman ya rahim atmosphere best friend relative tested flood god imagine child cold god imagine hunger child god forgive u god
