Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2022-02-01 09:22:51+00:00,kyairen,Hunger 😬 @ Half Briton Coffee https://t.co/dzqgisl3cj,Kuala Lumpur,hunger half briton coffee
2022-02-02 04:50:49+00:00,adlyzulkefly,One night has to be starved https://t.co/9v0i4mnftm,Semenanjung Malaysia,one night starved
2022-02-03 14:46:52+00:00,FarrahWahida_,"People see us as we have money, people don't see how we struggle to make money and belly.",Malaysia,people see u money people dont see struggle make money belly
2022-02-03 18:08:59+00:00,kiddiepax,"Every night tido in hunger. That's why by 1 pm it has to be tido. If not, hungry around 2-3 am. It's not enough to eat enough.",,every night tido hunger thats pm tido hungry around enough eat enough
2022-02-04 02:27:48+00:00,piqaady,@ikasyapikah but curry is not the same as hameediyah huhu. We never ate a little mcm hr tu hahaha hunger,,curry hameediyah huhu never ate little mcm hr tu hahaha hunger
2022-02-04 14:29:57+00:00,kiddiepax,"I will try my best to not over eat for any meal time of the day anymore. WHY? Because it's old, then the stomach is bloated, then it has a heart burn. Hunger is easier to handle than removed.",,try best eat meal time day anymore old stomach bloated heart burn hunger easier handle removed
2022-02-05 06:10:46+00:00,HarirZharfan19,"The monkeys in the forest are breastfeeding, their own children are starving. This is not the stage of this monkey, this is the stage for this wild gorilla. It's crazy. This is what Malaysia will look like if we give PAS the power. We will become Taliban.",Kuala Lumpur,monkey forest breastfeeding child starving stage monkey stage wild gorilla crazy malaysia look like give pa power become taliban
2022-02-07 07:01:51+00:00,beingAmirHamzah,"""Dear fish last night was stale"" I stared at me as he regretted not hot last night 😂",Purgatory,dear fish last night stale stared regretted hot last night
2022-02-07 13:51:46+00:00,OYENMICH,"Hunger I wait for this panda, hm babibethol","Sungai Buloh, Selangor",hunger wait panda hm babibethol
2022-02-13 09:25:00+00:00,_AzraiAbdullah,Hunger to take a shower 🤣 (@ bai krapraw seafood) https://t.co/pj4t4dohgb,Singapore - Kuala Lumpur,hunger take shower bai krapraw seafood
