Datetime,Username,Text,Translated_Tweets,Cleaned_Tweets
27/2/2023,?????????? ????????????????‍??,Dah tengah malam baru rasa lapar. Ee saja tau perut niii??,It's midnight to be hungry. Ee just know stomach niii ??,midnight hungry ee know stomach niii
27/2/2023,Izad Abas ????,Penatnya workout sampai lapar takleh gerak ??,Tired of workout until hungry is moving ??,tired workout hungry moving
28/2/2023,Phikahsuu????,Bangun bangun lapar. Rupanya last makan breakfast tadi. Baik puasa je,Wake up hungry. Apparently last breakfast. Good fasting,wake hungry apparently last breakfast good fasting
28/2/2023,Ezekiel,"Sambil ngadap laptop,tpi kepala otak duk pikir nk dinner apa..lapar lain macam","While facing a laptop, the head of the brain is thinking about what dinner is ...",facing laptop head brain thinking dinner
28/2/2023,Nrynia,@naaelena786 kau x lapar klu tak boleh abiskan sebiji apple https://t.co/sxv6ty904x,@naaelena786 you x hungry you can't finish an apple https://t.co/sxv6ty904x,x hungry cant finish apple
28/2/2023,syer✨,"@fasyahrh So far tak pernah makan ubat2 lagi. Tapi yang kononnya meal replacement penah la try. Lapar jugak! Baik makan proper meal, yg cukup nutrients lagi better and kenyang lama","@fasyahrh so far never eat medicine anymore. But the supposedly meal replacement is a try. Hungry too! Good eating proper meal, enough nutrients are better and full",far never eat medicine anymore supposedly meal replacement try hungry good eating proper meal enough nutrient better full
28/2/2023,Abg Bae??,"Omg dayah, roti kosong 2 keping td mampu bertahan selama 1 jam stgh je ke???skrg sy dah lapar balik???? anak ibu ke ibu yg kelaparan ni????‍????","OMG Dayah, 2 pieces of empty bread can last for 1 hour to ??? HOW TO MAKE THIS MOMENT ???? ‍ ????",omg dayah piece empty bread last hour make moment
28/2/2023,TwinKitty????,"Breakfast org sakit, yg sihat ni tgk lapar la pulak?? https://t.co/dyY0QYydJO","Breakfast org is sick, is this healthy not hungry la pulak ?? https://t.co/dyy0qyydjo",breakfast org sick healthy hungry la pulak
28/2/2023,ชา,sampai semalam terus pengsan ahahha lepas tu bangun this morning terus lapar ??,Until last night he fainted ahahha after waking up this morning was hungry ??,last night fainted ahahha waking morning hungry
28/2/2023,Fawwaz Anuar,"@yoomathambar Betul tuan, biasa kalau lapar sangat cari based ikan dan seafood je kalau tempat susah cari makanan halal ni. Last time pergi Philippines bantai makan buah sehari je tahan. Ketor tangan nak nasi.  Haha","@yoomathambar is right sir, it is common for hungry to find fish and seafood if it's hard to find this halal food. Last time it went to Philippines to eat fruit a day. Ketor hands want rice. Haha",right sir common hungry find fish seafood hard find halal food last time went philippine eat fruit day ketor hand want rice haha
1/3/2023,Lisa Del Rey,"And aku tak tahu sebenarnya aku dpt kerja dekat pipeline dulu atas sbb aku sendiri atau sebab doa daripada anjing yang lapar tu. Maybe betul cakap ibu, kita buat baik, pada manusia atau binatang, akan ada ganjaran yang baik walaupun kita tak tahu ganjarannya apa.","And I didn't know that I could work near the pipeline first as my own or because of the prayer of a hungry dog. Maybe it's right to say mom, we do good, to humans or animals, there will be good rewards even if we do not know what rewards.",didnt know could work near pipeline first prayer hungry dog maybe right say mom good human animal good reward even know reward
1/3/2023,Lisa Del Rey,"Actually aku tak ingat pun aku dpt kerja lepas bagi anjing lapar makan. Tp aku ingat la yang aku tgh makan kfc, then ternampak anjing tgh lapar cari makanan dekat tong sampah tp takda langsung anything y dia boleh makan. So aku keluar bawak seketul ayam pergi cari dia, bagi mkn.","Actually I don't even remember that I could work after a hungry dog. But I remember that I had to eat KFC, then saw a dog hungry to find food near the trash but didn't have anything to eat. So I came out with a chicken and went to find him, for me.",actually dont even remember could work hungry dog remember eat kfc saw dog hungry find food near trash didnt anything eat came chicken went find
1/3/2023,Lisa Del Rey,"Hari ni berhabis 250 beli brg kucing. Pahtu ngomel ngomel dlm kereta. Then ibu ckp, 

""tak apa la sedekah dekat kucing. Kucing doa kat kakak. Dulu kakak ingat tak kakak bagi anjing lapar makan dekat tepi jalan, esoknya terus dapat kerja dekat pipeline.""","Today is 250 buy cats. Pahtu nagging in the car. Then mom ckp,

""It's okay for a cat near a cat. The cat is praying to the sister. I used to remember that you didn't have a hungry dog ​​to eat near the road, tomorrow he continued to work near the pipeline.""",today buy cat pahtu nagging car mom ckp okay cat near cat cat praying sister used remember didnt hungry dog eat near road tomorrow continued work near pipeline
1/3/2023,syafiq safii ????????,Selalu tido lambat ni..selera makan lain mcm ye?? kejap je lapar balik,Always slow down..that is another meal mcm ye ?? See you hungry back,always slow downthat another meal mcm ye see hungry back
1/3/2023,crygurl????,"kalo sakit perut kaya lapar, perih gitu padahal udah makan kenapa yah? berasa lapar udah ga makan berhari hari pdhl baru aja makan","If you have a hungry stomach ache, it's about to eat why? Feeling hungry has not been eaten for a day of PDHL just eating",hungry stomach ache eat feeling hungry eaten day pdhl eating
1/3/2023,TASHA,Laparnya. Tiap jam lapar ??,Hungry. Every hungry hour ??,hungry every hungry hour
1/3/2023,ش,Lapar tp xtahu nk mkn apa akhirnya ku pilih subway,Hungry but not what I finally chose Subway,hungry finally chose subway
1/3/2023,Diy,Lapar tapi tak selera makan is the worstt,Hungry but not appetite is the worstt,hungry appetite worstt
1/3/2023,Sirius BLVCK,"@adikdiala Tengok makanan sedap2, lapar pulakkk","@adikdiala see delicious food, hungry pulakkk",see delicious food hungry pulakkk
