Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2022-02-01 01:32:54+00:00,RazakZaha,@ar_zaini3339 slow tu .. Always hungry problems tgh run ..,Kuala Lumpur,slow tu always hungry problem tgh run
2022-02-01 08:10:40+00:00,chicanoz,Kimy is right. Hungry to mam. This morning I had 2 breads.,KJ jadi DJ 👉,kimy right hungry mam morning bread
2022-02-01 10:41:42+00:00,afiqimran95,"When less sleeping, less rest, the stomach is hungry faster.

Hmm 🤔 Maybe it's probably a lot of use",Malaysia,le sleeping le rest stomach hungry faster hmm maybe probably lot use
2022-02-01 14:49:38+00:00,nurshfqhkmz,Hungry is also late at night mcm,,hungry also late night mcm
2022-02-01 15:49:07+00:00,i95vy,"No, but I'm really hungry",she/her,im really hungry
2022-02-01 15:56:56+00:00,iroarhh_,It was a stomach ache until I had to eat a little bit ..,malaysia,stomach ache eat little bit
2022-02-02 02:04:33+00:00,vince_zack,"As we are hungry we stop at this road shop ..
Get oil rice then there is no cake
Alah cute je sacred wood .. mcm @amer__aljeffrey has ehhh ..

What is the other name he raised? The core of the fish .. we forget his name .. https://t.co/eyfdfeqzr9",,hungry stop road shop get oil rice cake alah cute je sacred wood mcm ehhh name raised core fish forget name
2022-02-02 02:16:46+00:00,zoochanzx,"@Senahdabbab lol, 5 hours drive yea. Watch yea nokz hungry. Kowser.","petaling jaya, bentong ",lol hour drive yea watch yea nokz hungry kowser
2022-02-02 02:33:49+00:00,xmshrx_,When hungry wants to eat everything. Can't control it at all. It's been a while since the meal is starting to ponder why it's fat. Siyel. sksk,"Kuantan, Pahang",hungry want eat everything cant control since meal starting ponder fat siyel sksk
2022-02-02 13:28:35+00:00,BerkatPenyayang,The shop that wants to go a lot of hungry is crazy,Shah Alam,shop want go lot hungry crazy
2022-02-03 04:45:07+00:00,alfhilyna,"Booster Side Effect: Thank God So Far Sore Arm je, that's definitely. After yesterday, it was hungry and sleepy. Other than that, it's okay to have a fever to what kind of dose. It's 24 hours and I'm all good :) so take your booster dose, bestie.","Selangor, Malaysia",booster side effect thank god far sore arm je thats definitely yesterday hungry sleepy okay fever kind dose hour im good take booster dose bestie
2022-02-03 08:20:00+00:00,idgafzlnie,"It should be hungry, from the morning you can't eat :(",,hungry morning cant eat
2022-02-03 08:52:34+00:00,yrhgnessnina,Wait for our little sister to get out of the food. Hungry,Borneo - SWK,wait little sister get food hungry
2022-02-03 09:00:21+00:00,ridaudinyasin,Hungry but sleepy and tired. Just remembered today just eating canai bread,"Kuantan, Pahang",hungry sleepy tired remembered today eating canai bread
2022-02-03 09:42:42+00:00,AzharAndiTahir,"After waking up, you are aware of the hungry shake shake back, be aware of the hungry scroll grab food for what to eat, decide to drive tru kfc je pastu full of korean zombie serving paste and just a child. The episode of the slow gym is still ongoing 😂🤣 https://t.co/iyknfi65ka","Petaling, Wilayah Persekutuan Kuala Lumpur",waking aware hungry shake shake back aware hungry scroll grab food eat decide drive tru kfc je pastu full korean zombie serving paste child episode slow gym still ongoing
