Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2022-02-08 22:36:56+00:00,mokciknab,"Found via @arwenmh

Please share which restaurant is so beautiful but the food is almost & amp; very expensive. I'll start:

Mary Jane KL (The Worst)
Merchant’s Lane
Nippori bistro
White ruma",Petaling Jaya,found via please share restaurant beautiful food almost amp expensive ill start mary jane kl worst merchant lane nippori bistro white ruma
2022-02-09 02:20:47+00:00,shammyzzz,@rhaeman expensive food is not good and the worst part is i went there with my cheating ex so every time i'm around the area i trauma,KUL-BKI,expensive food good worst part went cheating ex every time im around area trauma
2022-02-10 10:29:40+00:00,ziqohhh,"The food is not the best, the standard is expensive but not worth the theme park la kan lol 🙄

📍Legoland Malaysia, JB https://t.co/yxq713slzq","Sungai Buloh, Selangor",food best standard expensive worth theme park la kan lol legoland malaysia jb
2022-02-12 03:32:16+00:00,rahila_yahaya,The food is expensive from my food 😅,Malaysia,food expensive food
2022-02-13 01:31:21+00:00,nafiznazly,When I got a quarantine as a covid I was aware of delivery and food prices in all expensive apps to die!,Putrajaya Federal Territory,got quarantine covid aware delivery food price expensive apps die
2022-02-14 05:43:18+00:00,Hfizbhrdin,"I hate crazy pigs in the name of Ramen Chicken Grill food, when it comes to chicken 1-2 pieces. Harey's son has a shop. The price charge is no longer expensive. Cm babeyh!",,hate crazy pig name ramen chicken grill food come chicken piece hareys son shop price charge longer expensive cm babeyh
2022-02-23 14:28:02+00:00,Ain_Razalii,"Before the staff handed out the food I ordered he asked to see the receipt I. Maybe the staff was not busy. But the value of the food I got was more expensive than I had paid. I want to eat but worry, but it's really hungry because all day long to prepare for the event","Selangor, Malaysia",staff handed food ordered asked see receipt maybe staff busy value food got expensive paid want eat worry really hungry day long prepare event
2022-02-24 01:35:21+00:00,uzairfauzi_,@moklins is the thing to think about too. Food from this source of protein is expensive.,"Pontevedra, Spain",thing think food source protein expensive
2022-02-24 03:07:02+00:00,Amisaha8,"The war is back. There must be a variety of problems all over the world. With the covid still terrorizing, the food source is expensive. O Allah, protect us your helpless servants 😢",Kuala Lumpur,war back must variety problem world covid still terrorizing food source expensive allah protect u helpless servant
2022-03-01 14:26:19+00:00,HafidzHamzah7E,There is a shop for a viral person in Marang. I try to go. Hmm. The food is so expensive .. it should be like no one before.,kuala lumpur,shop viral person marang try go hmm food expensive like one
2022-03-04 04:04:06+00:00,sekuntumcinda,"Not only is the delivery rate expensive, the food is charging. Eh how do he cook? 😃",,delivery rate expensive food charging eh cook
2022-03-08 12:57:52+00:00,ciksenah,@Lilmakcik Price below RM10. If the most expensive food here is RM22.90 all day big breakfast. Eat your pardon crazy.,Kuala Lumpur City,price rm expensive food rm day big breakfast eat pardon crazy
2022-03-13 14:29:11+00:00,arisaja,"Almost all daily foods contain palm oil, from cheap chocolate to expensive chocolate.","Kuala Lumpur, Malaysia",almost daily food contain palm oil cheap chocolate expensive chocolate
2022-03-14 02:04:29+00:00,MSallehuddin05,"Food for expensive chickens, countries with war on europe suppliers","KUL, LHR",food expensive chicken country war europe supplier
2022-03-18 08:27:05+00:00,rafhanrafidzi,"Can not be a rich friend of the delicious dining place. Don't tell me because it's fancy, instagrammable and expensive but BBJ food. https://t.co/phixq2aod0","Port Dickson, Negeri Sembilan",rich friend delicious dining place dont tell fancy instagrammable expensive bbj food
2022-03-21 01:00:00+00:00,DeeErnsxt,Lok Lok is where Abc Marek Kin is expensive and I can afford 😂😂 Knk food is expensive 😂😂,"Kuching, Sarawak",lok lok abc marek kin expensive afford knk food expensive
2022-03-21 09:16:59+00:00,amsyarss,"This agrees to do, the origin of the foodtruck is another expensive price, it doesn't feel like I remember the food.","Kajang, Selangor",agrees origin foodtruck another expensive price doesnt feel like remember food
