Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2023-03-30 15:32:49+00:00,PemdaKabJember,"Regent Jember Show PMT in the village

Regent Jember Hendy Siswanto has handed over PMT (supplements) to pregnant and Balita mothers in the village, Mumbulsari District, Thursday 30th March 2023.
https://t.co/g1y6cws7z2",Jember,regent jember show pmt village regent jember hendy siswanto handed pmt supplement pregnant balita mother village mumbulsari district thursday th march
2023-03-30 06:07:51+00:00,thereportermy,"""I can get the RM300 JKM (Social Welfare) aid a month used to buy food and drinks.""

https://t.co/c8vehz1d2b https://t.co/skr0r4v2dl",Malaysia,get rm jkm social welfare aid month used buy food drink
2023-03-30 01:56:35+00:00,Fahri_Official,"Hello @shopeecare, I Seller Shopee Ask for a resolution of the order with a spxid032833481343 resi resi

Here the item is said to have failed to send, and returned to the seller. Loh while the goods sent were food that was definitely damaged when it was sent back to me.","Medan, Indonesia",hello seller shopee ask resolution order spxid resi resi item said failed send returned seller loh good sent food definitely damaged sent back
2023-03-30 00:49:36+00:00,buruhroti,"@Belindch When in my son's school for approval event, in addition to the 6th grade, another student is asked to help with food sales. GA is required to buy, but because of the sale of sincere food, it is delicious. The sales profit worn for funds.",Semarang,son school approval event addition th grade another student asked help food sale ga required buy sale sincere food delicious sale profit worn fund
2023-03-29 15:41:30+00:00,jokowi,"The seventh day of Ramadan at the Terong Market, Makassar City. Here is a lot of fast -food breakfasts.

I also share some of the social aids and the traders to the traders and the community. https://t.co/pvfokpqchp",Jakarta,seventh day ramadan terong market makassar city lot fast food breakfast also share social aid trader trader community
2023-03-29 13:47:30+00:00,diskomkabbekasi,Yuk pays for zakat Fitrah as a cleanser from unprofitable and disgusting speeches during fasting as well as food aid for the poor. https://t.co/h81y5zf3kd,"Cikarang, Indonesia",yuk pay zakat fitrah cleanser unprofitable disgusting speech fasting well food aid poor
2023-03-29 12:08:42+00:00,dapurkelilingEF,"Day 7 Kitchen Ramadan for mbah: salted eggs, sautéed stir-fry, rice.

Free food help to the same person every day does not only help with the production of production, but also helps the psychological 'safe' to the small daily production & amp; Of course. Anyway ... https://t.co/mfh3iicanz","Yogyakarta, Indonesia",day kitchen ramadan mbah salted egg sauted stirfry rice free food help person every day help production production also help psychological safe small daily production amp course anyway
2023-03-29 10:54:01+00:00,detikcom,Food assistance for residents is very helpful. Some of the clients that show the good of the residents of these costs succeed for the netizens to be moved ... https://t.co/bqtzu6oihr,"Jakarta, Indonesia",food assistance resident helpful client show good resident cost succeed netizens moved
2023-03-29 10:42:00+00:00,chiongsern_n51,"I have helped by providing some financial assistance and food baskets, which is the gift of Sultan Ibrahim Sultan Iskandar DYMM

May all the expectations he faces can be met with resolve.","Kulai Jaya, Johor",helped providing financial assistance food basket gift sultan ibrahim sultan iskandar dymm may expectation face met resolve
2023-03-29 08:58:03+00:00,pmrutckk,"Minister of Domestic Trade and Cost of Living, YB Datuk Seri Salahuddin Ayub said that as of yesterday, 26,150 Rahmah baskets had been distributed throughout Malaysia with the help of basic food donations from the Global Friendly Foundation (YGM).
#Printing Department https://t.co/bzo7kuhduj","Kota Kinabalu, Sabah",minister domestic trade cost living yb datuk seri salahuddin ayub said yesterday rahmah basket distributed throughout malaysia help basic food donation global friendly foundation ygm department
