Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2023-03-30 23:39:13+00:00,damnedpunk_,"@Line5_ Hmm, economic cars, cars whose ticket price is RP 1500 and rose to Rp 2500.
AC is from nature, many food sellers, practitioners, even copets are available.","Jakarta, Indonesia",hmm economic car car whose ticket price rp rose rp ac nature many food seller practitioner even copets available
2023-03-30 17:45:00+00:00,relevan_com_my,"The lack of corn ingredients in the manufacture of livestock food has impacted rising prices of chicken and meat at this point where it was felt worldwide.

https://t.co/su5nxeegra",Petaling Jaya,lack corn ingredient manufacture livestock food impacted rising price chicken meat point felt worldwide
2023-03-30 16:05:54+00:00,Danial24101998,"The National Hope Government is really outside. The people ask for a rise, ASB dividend, Hajj Fund, EPF out, KLSE goes up, but goes up, price, food price, cost of living ..... Others are shared, others are shared ...","Cheras, Selangor",national hope government really outside people ask rise asb dividend hajj fund epf klse go go price food price cost living others shared others shared
2023-03-29 10:54:04+00:00,bumipro2014,@Rajapetra Is it with the rice monopoly so the price of rice will go up? Can't food prices rise?,"Negri Sembilan, Malaysia",rice monopoly price rice go cant food price rise
2023-03-29 09:26:07+00:00,alhaziqqqq,Since the price of food at the bazaar has gone up so we eat at the cheap and save 😮‍💨 shop 😮‍💨,Kuala Lumpur,since price food bazaar gone eat cheap save shop
2023-03-29 06:34:27+00:00,rkij_sukabumi,"West Java Governor Ridwan Kamil says the price of food for food has risen this month. He said, triggers rose prices for goods due to the rising market demand.","Sukabumi, Indonesia",west java governor ridwan kamil say price food food risen month said trigger rose price good due rising market demand
2023-03-29 05:20:40+00:00,mohammadazmy297,Wow !! 203 Food items rose up to 88% ..Then the price of the festival is not good enough..silap2 want to eat this warm water sauce ... that's the result of an elephant chat curry 🤣🤮🤑💩✅ https://t.co/tidbysvc1m,Malaysia,wow food item rose price festival good enoughsilap want eat warm water sauce thats result elephant chat curry
2023-03-29 03:16:51+00:00,TVPertiwi_MY,"The increase in food prices especially raw goods seems to be a common practice when it happens every Ramadan and the Aidilfitri celebration that burdens the traders.
(1/3) https://t.co/adpgl0xnfz",Kuala Lumpur City,increase food price especially raw good seems common practice happens every ramadan aidilfitri celebration burden trader
2023-03-29 00:00:00+00:00,EkonomiRakyatMY,"The three largest supermarket networks in Sweden have promised to cut the prices of food items sold to help reduce the burden of food inflation in the country

Food inflation rates rose 22.1% year-to-year for February 2023 in Sweden, highest since the 1950s https://t.co/qtjrro7l6n",Kuala Lumpur,three largest supermarket network sweden promised cut price food item sold help reduce burden food inflation country food inflation rate rose yeartoyear february sweden highest since
2023-03-28 22:46:34+00:00,hairul_hazwan,@Dencishahrizal agrees you. Security of food supply should be priority instead of cash crops. If you do not extend the price of food rises every year due to outside dependence also affected by the value of the currency.,"Johor Bahru, Johor",agrees security food supply priority instead cash crop extend price food rise every year due outside dependence also affected value currency
2023-03-28 13:56:09+00:00,abahlubna,"Many small hawkers for feedback, expensive bazaar prices, with rising prices, indeed, the price of food is rahmah price

YB @ngakorming ask for a little bit of expensive, not to have anything to provide anything","Selangor, Malaysia",many small hawker feedback expensive bazaar price rising price indeed price food rahmah price yb ask little bit expensive anything provide anything
2023-03-28 12:11:25+00:00,haneefbarnet,"The price of bazaar food really goes up ... Not sure if I'm out of the loop, but color me surprised when I found out Murtabak is RM8 ... in Jasin pulak tu. Food inflation is out of control man.","Jasin, Melaka",price bazaar food really go sure im loop color surprised found murtabak rm jasin pulak tu food inflation control man
2023-03-28 11:57:09+00:00,nnastria_,"Food prices go up, diminished goods, and apartment prices also go up 🥲",Denpasar,food price go diminished good apartment price also go
2023-03-28 02:00:01+00:00,StayForTheMemes,@Ahmad67070622 @fahmi_fadzil Hope the government of Madani dah khatam Hasan Malek's book. It can be inspired to handle the price of basic goods and the price of food in the bazaar is rising. Hehehe. https://t.co/tbyqcgms8o,"Dengkil, Selangor",hope government madani dah khatam hasan maleks book inspired handle price basic good price food bazaar rising hehehe
2023-03-27 18:16:42+00:00,devilprinc3,"@AbudiSagoff Parking. Food price. People meet in tgh tgh bazaar ramadhan mcm for 100 years. He didn't get in the motorcycle, if he could get in line with the motorcycle.","Selangor, Malaysia",parking food price people meet tgh tgh bazaar ramadhan mcm year didnt get motorcycle could get line motorcycle
2023-03-27 11:45:00+00:00,501Awani,"Focus #AWANI745 Tonight:
 
📌 Food prices in the store dropped in February, vegetable prices rise
As long as the economy is not recovering, so long as the PM does not get the salary
📌 Opposition claims PM's visit to Saudi Arabia failed, claiming an explanation

#Awaninews https://t.co/3bvznbhrum",Malaysia,focus tonight food price store dropped february vegetable price rise long economy recovering long pm get salary opposition claim pm visit saudi arabia failed claiming explanation
2023-03-27 11:26:38+00:00,FirdausAzil,"Food prices are expected to continue in Ramadan, Aidilfitri https://t.co/vn4g1mxraj","Johore, Malaysia",food price expected continue ramadan aidilfitri
2023-03-27 11:01:33+00:00,NightOwlGenY2,@everlastlbs who say the price goes up and sells what the food is,Kuala Lumpur,say price go sell food
2023-03-27 10:35:50+00:00,HRHMBE,@awesomecemok This is the time when the ministers of the KPDN first said the price of sugar rises there is wisdom so that the people reduce sugar in drinks & amp; Foods Avoid diabetes .... JNI Zahid's hardcore supporters. After being the minister became ambassador to cambodia,Kuala Lumpur,time minister kpdn first said price sugar rise wisdom people reduce sugar drink amp food avoid diabetes jni zahids hardcore supporter minister became ambassador cambodia
2023-03-27 09:37:51+00:00,AliAhme70978158,Actually it reminded me of Egypt after Husni Mubarak fell. The Muslim Brotherhood goes up. Everyone is happy. After 2-3 months of demand. For the price of goods to go down. Want to subsidize food. The Brotherhood is already falling. Can't wait,"Seremban, Negeri Sembilan",actually reminded egypt husni mubarak fell muslim brotherhood go everyone happy month demand price good go want subsidize food brotherhood already falling cant wait
2023-03-27 08:06:52+00:00,501Awani,"The first decrease following some efforts made by the ministry in ensuring that the rising food prices are reduced.

#Awaninews
#AWANI745

https://t.co/payo7vzw18",Malaysia,first decrease following effort made ministry ensuring rising food price reduced
2023-03-27 07:11:11+00:00,KrishnanLm,@Lagacawan wants a fool of the people .... for a fish je ... where is enough ... the price of fish rises in gold ... this fish is food for 5 years ... 🤦🤦🤦 All this time kids ... Now I want to be a fool of the old man ...,"Johor Bahru, Johor",want fool people fish je enough price fish rise gold fish food year time kid want fool old man
2023-03-27 06:13:59+00:00,mediavariasi_,"Because the price of the goods goes up, the price of John's bread goes up. According to the netizen, John bread has a kind. If John Cena bread is cheap skit, if John wick bread is the price of kerass. 🤣
Don't know how to cry to laugh at the price of food at the bazaar today 😅

https://t.co/zp461ekgeq",Cyberjaya,price good go price john bread go according netizen john bread kind john cena bread cheap skit john wick bread price kera dont know cry laugh price food bazaar today
2023-03-27 04:43:54+00:00,alifmegat,@amende_sial in the year I don't know if the price is up and it's like buying food near the mall 😌😭,"Perak, Malaysia",year dont know price like buying food near mall
2023-03-27 04:36:30+00:00,fadzilahkamsah_,"Apart from the price of food, what else do you look different in the bazaar this year?",Malaysia,apart price food else look different bazaar year
2023-03-26 11:14:35+00:00,captain68404915,"Bazaar Price Observation This year ..mmg food price & amp; Drinks up from last year

Average no food for RM5

Martabak RM6/7
John bread rm7-10
Tomato rm7-9
Sate RM1-1.50 /prick
Cake rm3-6
The RM3 (cup), RM4-6 (plastic) jar of jar is ridiculous","Subang Jaya , Selangor ",bazaar price observation year mmg food price amp drink last year average food rm martabak rm john bread rm tomato rm sate rm prick cake rm rm cup rm plastic jar jar ridiculous
2023-03-26 10:33:34+00:00,Amrlamnnn,"Food prices are rising
Even cooking items are getting worse
All things up
The salary does not rise 😩","Selangor, Malaysia",food price rising even cooking item getting worse thing salary rise
2023-03-26 09:54:22+00:00,ameer_deenz,"I don't understand this country, the price of all the goods is crazy. To say that the price of petrol in the country is rising. Who is the real control of Malaysia? Thailand is expensive petrol prices but food prices are not expensive. #Malaysiamadani",Malaysia,dont understand country price good crazy say price petrol country rising real control malaysia thailand expensive petrol price food price expensive
2023-03-26 06:54:23+00:00,ammarmestalla,@501awani Ramadan This time it is worth the price. Turn around to find nutritious foods & amp; cheap. Ade's choice. Kite decides.,"Kuala Kangsar, Perak",ramadan time worth price turn around find nutritious food amp cheap ade choice kite decides
2023-03-26 03:06:08+00:00,kompascom,"Tree foods experienced prices in Lombok Island, West Southeast Nusa, at the beginning of Ramadan 2023. https://t.co/R2W35B8H3Q",Jakarta,tree food experienced price lombok island west southeast nusa beginning ramadan
2023-03-26 03:04:14+00:00,Jendulism__,"Our food is so expensive? We retort, buy high grade packaging, plastic thick x lobos. That's our value, with the ingredients and recipes of x shortcut.

But when the price increase is the one who thinks, the trader who bought our mcm material x needs to go up the price?",KUL - KCH - MYY - BWN 🛩,food expensive retort buy high grade packaging plastic thick x lobos thats value ingredient recipe x shortcut price increase one think trader bought mcm material x need go price
2023-03-23 12:11:01+00:00,frzhyqlll,The food of the bazaar has risen the price .... maybe it can make the rahmah bazaar,,food bazaar risen price maybe make rahmah bazaar
2023-03-22 04:26:49+00:00,DenciShahrizal,He said that the Dutch campers who made the pilot test in Thai should know the transfer of local people. Must practice global localize. In front of many policymakers he reprimanded their government's ignorance about fish food prices.,,said dutch camper made pilot test thai know transfer local people must practice global localize front many policymakers reprimanded government ignorance fish food price
2023-03-19 17:16:27+00:00,hidayatraa,@vincentrcrd first in the head of the GW PAS they appeared in the 2015an app if the burn money disappeared. There will be a time for service costs to rise to pay for a party party at the building. Even getting closed to the price of the ordered food ~ which is already 10% of its capital. Leaked.,dijakartamu.bersamamu,first head gw pa appeared app burn money disappeared time service cost rise pay party party building even getting closed price ordered food already capital leaked
2023-03-18 03:43:52+00:00,aintnajihah,"The food is now rising, where there are 3 cakes. The water is expensive, the side dishes. At least it has RM20. If you are too budgeted, QR helps to pay. No need to argue anyway ""Why buy it .. Cook at home"" he likes his heart.","Ipoh, Perak",food rising cake water expensive side dish least rm budgeted qr help pay need argue anyway buy cook home like heart
2023-03-15 04:19:31+00:00,w_milant,"@egisipudin @muhammad3064041 @recehtapisayng noted, what fried rice, is it included or not? If in the Malioboro district if there is food prices, the parking lot can report to the Jogja City Pariwisata.
Try to Mr. The front of the house is sick (± 15rb/sores, if it does not go up)","Yogyakarta, Indonesia",noted fried rice included malioboro district food price parking lot report jogja city pariwisata try mr front house sick rbsores go
2023-03-13 14:33:29+00:00,kamal_itaewon,@Eda_zahidah actually mmng a lot of food prices have gone up .. mostly already mcm Selangor/KL .. just there are more cheap types of kappung2 shops or old people shops ..,"Seoul, Republic of Korea",actually mmng lot food price gone mostly already mcm selangorkl cheap type kappung shop old people shop
2023-03-12 05:23:15+00:00,vandy_46,"@worksfess my advice, you better depart a bit in the morning.

In order for the road to be able to go to Warteg to buy a meal.

If you work in the SCBD area, and you go up to Sudirman, you can buy food in front of the Sudirman station, the price of a 15-25k",Karawang - Jakarta (PP),advice better depart bit morning order road able go warteg buy meal work scbd area go sudirman buy food front sudirman station price k
2023-03-09 12:09:47+00:00,HezeriSamsuri,"It's nice to have this animal. It's just that I think it's getting more and more expensive for all the food. Losing a human. Try to ask how many charges to remove the cat's teeth.

Try it, my friend said.

I was silent but I admit, the price goes up.","Kuala Lumpur, Malaysia",nice animal think getting expensive food losing human try ask many charge remove cat teeth try friend said silent admit price go
2023-03-02 05:08:41+00:00,AhmadTarmizy7,"@Rajapetra is not just the price of vegetables, chicken prices go up, egg price goes up, most rice prices go up, the day is a help of farmers, rice suppliers can be monopoly, for easy people, food prices and daily necessities, should be cheap, and can buy and help the people",,price vegetable chicken price go egg price go rice price go day help farmer rice supplier monopoly easy people food price daily necessity cheap buy help people
2023-02-25 02:57:47+00:00,miraaaibrahim,"Dating with a husband 🥰
Long time no eat steak🫣🥰
When the dinner last night was best because there were not many people 😀
Last came here last year, this year the price came up
But whatever thank you for the delicious food 🥰💙 https://t.co/43gd1ajpc","Wangsa Maju, Kuala Lumpur",dating husband long time eat steak dinner last night best many people last came last year year price came whatever thank delicious food
2023-02-15 09:56:45+00:00,AmaleenaForever,The price of cat food goes up suddenly YB ... Early fasting if mcm ni https://t.co/zitrgqhfkd,"Kuala Lumpur, Malaysia",price cat food go suddenly yb early fasting mcm ni
2023-02-14 04:09:29+00:00,AlepAdon,"The place where you sell expensive foods are angry until viral, I sell RM1.50 fatty rice again in the face of the price of goods like you are crazy for stupid je eh.

Cucumbers up 300%
Anchovies up 35%
Eggs up 40%
Rice up 15%

The portion and quality are still the same.",,place sell expensive food angry viral sell rm fatty rice face price good like crazy stupid je eh cucumber anchovy egg rice portion quality still
2023-02-10 03:27:20+00:00,Senggiaw,"The increase in prices of goods affects the people, especially the low -income. The Malaysian government approves a minimum wage order at RM1,500 a month. Enforcement? The 'Rahmah menu' at certain foods is announced. The price control of goods is important. https://t.co/4gjnfwax6h",,increase price good affect people especially low income malaysian government approves minimum wage order rm month enforcement rahmah menu certain food announced price control good important
2023-02-09 02:58:30+00:00,suffikamari,"6. Attack Malay millionaires and bumiputera companies.
7. Make an agreement that violates Article 49A of the Federal Constitution.
8. Block speakers and preachers.
9. Disclose the National Rehabilitation Council.
10. A 50 percent increase in food prices in the school cafeteria.","Ulu Kelang, Selangor",attack malay millionaire bumiputera company make agreement violates article federal constitution block speaker preacher disclose national rehabilitation council percent increase food price school cafeteria
2023-02-02 11:21:42+00:00,amar_amk9757,"Long -term measures are also being researched by the government to enable food supplies to meet demand and thus help control the rising prices of goods.

(3/4)","Perlis, Malaysia",long term measure also researched government enable food supply meet demand thus help control rising price good
2023-02-02 01:42:13+00:00,idgafzlnie,"The price of the goods is down, the food price at the store is still on the lookout, no one wants to go down. Chapter Raising the Rise Price on the Reason ""Goods Price"" 😤",,price good food price store still lookout one want go chapter raising rise price reason good price
2023-01-29 00:56:54+00:00,AlepAdon,"Dear @kpdn_hq, the price of the cucumber has been 100% since the Chinese festivities, don't check and explain why?

Before the Chinese festivities rm22-30, after the Chinese festivities RM50-60. The Minister is already a question of why we don't go down the price of food ready to boycott.",,dear price cucumber since chinese festivity dont check explain chinese festivity rm chinese festivity rm minister already question dont go price food ready boycott
2023-01-25 06:56:13+00:00,vtymhd,"F & amp; b work is difficult. What GK MN works to eat and raw material prices go up, have to raise food prices & amp; Drinks.last2 staff naked custy as expensive food. Hmmm. The price of the dh is cheap, cust has a choice mk proceed order or x. Pasya staff wak knk slh eh x ku fhm","Sibu, Sarawak",f amp b work difficult gk mn work eat raw material price go raise food price amp drinkslast staff naked custy expensive food hmmm price dh cheap cust choice mk proceed order x pasya staff wak knk slh eh x ku fhm
2023-01-23 03:49:37+00:00,lomo_tech,The method of not eating at this expensive store is actually right. Even BN/Pn era. It's just that. It used to be the opposition. Ce asks for the kind of food price should not be here. Do other costs go up the salary eg.,-,method eating expensive store actually right even bnpn era used opposition ce asks kind food price cost go salary eg
