Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2023-03-30 08:04:21+00:00,RaihanaRifah,"When I was pregnant, I didn't fast for a month. It is a slow meal even if the stomach is starting to harden. When I was studying I was always a stomach, always eating bread, time pregnant, I couldn't stand it if I didn't eat 😂","Johor Bahru, Johor",pregnant didnt fast month slow meal even stomach starting harden studying always stomach always eating bread time pregnant couldnt stand didnt eat
2023-03-30 02:23:35+00:00,azeerarambli,2nd shirts until yes can be tied stomach until the next paycheck.,"Kuching, Sarawak",nd shirt yes tied stomach next paycheck
2023-03-29 18:33:26+00:00,AdamHaikal_98s,@Shopeemy cup. More convenient. The edge will make me tortured if the drive doesn't know where to put it. End up I'll finish it before keeping my drive and my stomach bloated with water 🥹,"Malacca, Malaysia",cup convenient edge make tortured drive doesnt know put end ill finish keeping drive stomach bloated water
2023-03-29 01:52:29+00:00,PAB10I5,"@magmalaya as an ex-smoker. For me to enjoy cigarettes nie lust, how to tie my appetite. Believe me, if your stomach is empty x de people feel that smoking is delicious. But once after eating, he lost Jin he had smoke.","Johore, Malaysia",exsmoker enjoy cigarette nie lust tie appetite believe stomach empty x de people feel smoking delicious eating lost jin smoke
2023-03-28 23:37:55+00:00,anxsrauhl,"@hilmizul_ Kahkah first month where can pay mat, belly what else",Malaysia,kahkah first month pay mat belly else
2023-03-28 15:24:59+00:00,iyon_iYonn,"If you are a jerk, you can poison it. Minimal love of stomach detergent or sleep medicine. If he had been tied he continued to be naked in the new PAS's time in the interogulation of the Titit cut.

It is disgusting if it is a snack.","Bandung, Jawa Barat",jerk poison minimal love stomach detergent sleep medicine tied continued naked new pas time interogulation titit cut disgusting snack
2023-03-28 15:16:01+00:00,raihanatrmn,"Before this, I was sure to declare the IRB, back to all the PCB. This year you have to pay the tax. It's not worth it. Tie the stomach upset this is 🥲",Petaling Jaya,sure declare irb back pcb year pay tax worth tie stomach upset
2023-03-28 15:01:58+00:00,kopikoedo,"I want to recollect the memory paste and don't remember the exact sit -sites that made me a cam today but I kind of sweet when I saw the food wasted.

I want to say that ever. I want to say that someone else's food has been.",Malaysia,want recollect memory paste dont remember exact sit site made cam today kind sweet saw food wasted want say ever want say someone el food
2023-03-28 02:06:25+00:00,msianinsight,"Traders have to raise prices, people carefully spend and belly https://t.co/kddrtlwgva",Kuala Lumpur City,trader raise price people carefully spend belly
2023-03-27 23:53:38+00:00,ainaaaV,"This month we tie a little stomach, not even a lot about it 🤣. Where to buy a shirt, to save money for the men. Last month had a plan not yet.","Perak, Malaysia",month tie little stomach even lot buy shirt save money men last month plan yet
2023-03-26 17:17:56+00:00,nobodyfriens,"@mkini_bm zahid if you become a pm, what is it so. Greedy with the power to strengthen its position. Najib if you miss it, the belly",Malaysia,zahid become pm greedy power strengthen position najib miss belly
2023-03-26 16:22:40+00:00,OpieyAzlan,"""Eco -friendly"" Hangla Hangla wants to remove fish stomach in plastic ties2",,eco friendly hangla hangla want remove fish stomach plastic tie
2023-03-26 08:34:57+00:00,Yourboysito,"@Adamkhalidl @ubaidbmohsin @jaegar00 Issues now if you can't afford many children, if you can afford up to 20 people no one cares. If you can't afford it but don't even have a lot of kids the endup not eat enough to eat it",Malaysia,issue cant afford many child afford people one care cant afford dont even lot kid endup eat enough eat
2023-03-23 16:12:21+00:00,qhaalim,Who borrowed a fancy meal. The one who lends the stomach to eat what is there. Good!,"Johore, Malaysia",borrowed fancy meal one lends stomach eat good
2023-03-19 14:57:31+00:00,amolnisrino,Tie your stomach is already fasting 🥹,KL || MANJUNG ⚒,tie stomach already fasting
2023-03-19 10:29:03+00:00,HlmiHnfi,"Ye, after the new vacation regrets the belly 😂","Perlis, Malaysia",ye new vacation regret belly
2023-03-13 15:48:48+00:00,Mohdfaiz13,@Xaviernaxa that time collected money until my stomach was going to buy an iPhone 4 je 😉,"Shah Alam, Selangor",time collected money stomach going buy iphone je
2023-03-11 15:30:03+00:00,CikShamsulPSRTM,Nowadays with high prices of goods and high cost of living ... some are starving and belly ... this is a reality is not fantasy.,"HULU KELANG,KL,MALAYSIA",nowadays high price good high cost living starving belly reality fantasy
2023-03-04 07:16:27+00:00,pmnilamm,"@0rchidr sitting KL if you can earn more than 3.5k

He is one of you to tie his stomach or to the foot of the road 🤣😂😂",,sitting kl earn k one tie stomach foot road
2023-03-04 05:29:45+00:00,aiamir_,"@Anyssrosicky betoi sis. Willing to tie stomach, steal breathing for saving money.",ֆօʍɛաɦɛʀɛ օռʟʏ աɛ ӄռօա,betoi si willing tie stomach steal breathing saving money
2023-03-03 14:26:42+00:00,nrdeanna,"Allahu, why is a human being like this. He knows that there is no outside of his stomach. He doesn't feel like buying a kilo rice for 1 month.","Kuala Lumpur, Wilayah Persekut",allahu human like know outside stomach doesnt feel like buying kilo rice month
2023-03-03 05:50:37+00:00,lewanjxhnski,"@Faktabukanauta damn it, i'm the stomach to eat maggie sometimes. Get the menu of lunch time at the workplace and be grateful.",Witchcraft School of Hogwarts,damn im stomach eat maggie sometimes get menu lunch time workplace grateful
2023-03-01 13:41:35+00:00,tkyolily,"This month is a stomach ache, the poor is despicable.",Malaysia,month stomach ache poor despicable
2023-03-01 06:50:02+00:00,noorupawan,Then there is a cash. I don't know about stomach ache😪,"Johor Bahru, Johor",cash dont know stomach ache
2023-02-27 09:08:40+00:00,syedh4fez,"Hopefully tomorrow pay. If not, what do you want to eat. Tonight has to be tied up 😭","Petaling Jaya, Selangor",hopefully tomorrow pay want eat tonight tied
2023-02-27 08:12:50+00:00,kholeed94,"I went to JPJ Bangi to renew my license, service down. I have to go to the post office, once x leh renew sb ade suit. Xleh help the people? The economy is not bad at eating @anthonyloke stomach",Kuala Lumpur City,went jpj bangi renew license service go post office x leh renew sb ade suit xleh help people economy bad eating stomach
2023-02-27 07:52:02+00:00,noraaalee,"I spent a week for RM 50, if that week I had to go back to buy a bus ticket for a long time so that week I was in my stomach. That's why it used to be so skinny now hahaha 😂😂","Malacca, Malaysia",spent week rm week go back buy bus ticket long time week stomach thats used skinny hahaha
2023-02-26 11:37:07+00:00,aweiliwei,@ivor_xianz I know some uni students they really tie stomach on their daily meal to save money.,"Kuala Krai, Kelantan",know uni student really tie stomach daily meal save money
2023-02-23 08:07:17+00:00,macs_aswad,"No need to feel guilty, just respect and respond to good service. The responsibility of the father, the guilt is necessary but do not get the stomach to die, it is a fool of the call. Throw away the mindset when we use our dad's money useless. Other than that when it comes to work",,need feel guilty respect respond good service responsibility father guilt necessary get stomach die fool call throw away mindset use dad money useless come work
2023-02-21 22:26:15+00:00,Paniculata16,"Smlm ak mkn kt utm
Rice + vegetables1 + vegetables2 = RM3.50
Ice barley water rm2.90
I need to save some cooking water

This is not a stomach ache, still sdp n knyang crazy

Mlm kdg2 aku xmkn, just oat 3 in 1

My Point: Still Bole is implemented without paying off personal health","Johor Bahru, Johor",smlm ak mkn kt utm rice vegetable vegetable rm ice barley water rm need save cooking water stomach ache still sdp n knyang crazy mlm kdg aku xmkn oat point still bole implemented without paying personal health
2023-02-21 15:05:17+00:00,MFirdausIqbal,Oh I automatically tie my stomach? Because you eat tomato sauce with fried chicken first 😭,"Primorsk, Erangel",oh automatically tie stomach eat tomato sauce fried chicken first
2023-02-21 13:23:30+00:00,aimshah0509,In the brain think quickly work can have a lot of money. Last2 is the same as a paycheck too. So is the life of the people of marhaenn ..,"Johor Bahru, Johor",brain think quickly work lot money last paycheck life people marhaenn
