Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2023-03-25 13:00:01+00:00,EkonomiRakyatMY,"Bank of England policy maker Catherine Mann acknowledged that Brexit has led to the cost of food in the UK to rise to the highest level in 45 years

Inflation rates in the UK rose to 10.4% for February 2023, due to the shortage of food supplies such as salads in the market https://t.co/rk8xwyidxq",Kuala Lumpur,bank england policy maker catherine mann acknowledged brexit led cost food uk rise highest level year inflation rate uk rose february due shortage food supply salad market
2023-03-14 04:51:03+00:00,jaksrmd,Efforts to ensure that the country does not face the shortage of agricultural food supply in the future. https://t.co/G6ISFM9TMT,Selangor,effort ensure country face shortage agricultural food supply future
2023-03-10 08:13:18+00:00,DenciShahrizal,2. Weather factors and lack of quality chicken food supply affect egg production in the chicken livestock industry. Look at our rainfall distribution. Egg chicken productivity decreases when the weather is high. https://t.co/wo0qjj7cjk,,weather factor lack quality chicken food supply affect egg production chicken livestock industry look rainfall distribution egg chicken productivity decrease weather high
2023-03-02 17:34:55+00:00,naimbinzaini,"It should be @rafiziramli ckp for two eyes.

In addition to being able to overcome the shortage of food supply, it can help increase the income of the B40.

B40 can be additional income. ✅️
Food supply can be improved. ✅️

Kill two birds with one stone. Hope this program works.",Kuala Lumpur,ckp two eye addition able overcome shortage food supply help increase income b b additional income food supply improved kill two bird one stone hope program work
2023-03-02 05:12:14+00:00,ProudOrangAsli,I understand that no more government agencies are down to help the villagers. They are now shortage of food! @Drzahidhamidi @jakoamalaysia @niknazmi @anwaribrahim https://t.co/p6vkov1omv,,understand government agency help villager shortage food
2022-12-20 10:55:11+00:00,ida_adeq,"@muhdhaziqbins @nizambakeri floods in Selangor are at danger. Kelantanians & amp; Terengganu came down to bring the boat due to the lack of flood relief mission. But it's different from the East Coast situation today. Despite the danger levels, the equipment is sufficient, the people are not panicked and the food supply is available early.",paka.terengganu,flood selangor danger kelantanians amp terengganu came bring boat due lack flood relief mission different east coast situation today despite danger level equipment sufficient people panicked food supply available early
2022-12-02 13:47:58+00:00,morasaki12,"There is nothing to wait for by UMNO President and UMNO MKT members.

The country is on the verge of the world economic crisis and the lack of global food supply.

For that we are no longer able to cope with the political crisis again.","Johore, Malaysia",nothing wait umno president umno mkt member country verge world economic crisis lack global food supply longer able cope political crisis
2022-11-30 10:48:35+00:00,morasaki12,"More worrying about him, the big challenge was facing the country as the curtain 2022 was overthrown.

Economic problems, the shortage of food supply due to the Ukrainian and Russian wars as well as the possibility of floods.","Johore, Malaysia",worrying big challenge facing country curtain overthrown economic problem shortage food supply due ukrainian russian war well possibility flood
2022-08-16 03:32:26+00:00,amar_amk9757,The problem of shortage of imported basic food supplies awakens many people about the importance of reducing dependence on imports and lifting the local industry. https://t.co/solvlfwlfh,"Perlis, Malaysia",problem shortage imported basic food supply awakens many people importance reducing dependence import lifting local industry
2022-06-11 10:53:09+00:00,myDOA_HQ,"Steps to handle the lack of food supply - Mafi

#mydoa#maha2022#securities#safety of https://t.co/tbcymv5jkj",Putrajaya Federal Territory,step handle lack food supply mafi
2022-03-23 03:11:00+00:00,tokmathamzah,"The House of Representatives answered Datuk Haji Bashir bin Haji Alias ​​asking @Mafimalaysia to state what the mechanism was to overcome the problem of food supply chains to Labuan which led to a shortage of food supply and the sharp rise in prices of goods.
https://t.co/svqdtuvl3o",,house representative answered datuk haji bashir bin haji alias asking state mechanism overcome problem food supply chain labuan led shortage food supply sharp rise price good
