Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2023-03-30 23:36:40+00:00,syahherman920,"Honey, in the morning I will not eat because you miss KM, the afternoon also doesn't eat because I think about it, and at night I can't sleep because of hunger",jakarta,honey morning eat miss km afternoon also doesnt eat think night cant sleep hunger
2023-03-30 23:08:28+00:00,TrigonalReal,"""Halal food can be an illegal food because his brother is starving when you do not feel that""","Bekasi Selatan, Indonesia",halal food illegal food brother starving feel
2023-03-30 21:55:52+00:00,nisswan_,"Btw good luck there is Islah, Sahur's shock 5.40 😭😭 If not tomorrow to starve","Pasir Puteh, Kelantan",btw good luck islah sahurs shock tomorrow starve
2023-03-30 21:17:14+00:00,rizahariati,"@gibran_tweet Nation will be a dream if the country is rumated for bankruptcy. Money to eat and even Mo is in a balcony. 😁😁

Due to hunger then there is a riot 98. Do not learn whatever school?",Indonesia,nation dream country rumated bankruptcy money eat even mo balcony due hunger riot learn whatever school
2023-03-30 19:06:35+00:00,waganjarbageur,"@Ferdyan_sn @dina_sulaeman If you commit to UUD, it should be Indonesia. And so the role model of the country is independent. Real rejects the occupation. Considered his voice. Dining, InshaAllah is not starving this country.","Bogor, Jawa Barat",commit uud indonesia role model country independent real reject occupation considered voice dining inshaallah starving country
2023-03-30 18:36:25+00:00,kataqin,"""I want to propose to an om""
""What's your advantage?""

""Yesterday I saw my neighbors starving Adzan Maghrib, finally I stel Adzan on YouTube OM, let it go""

""Okay, tomorrow put on a tendency""

#Sayamaumelamaranakom",Demak,want propose om whats advantage yesterday saw neighbor starving adzan maghrib finally stel adzan youtube om let go okay tomorrow put tendency
2023-03-30 16:03:27+00:00,Gulaaren_13,"@Insomniasesjatii yaa maybe his way, and he doesn't want my mom to worry about chosing mom for dad's jagain.
Before leaving, I said to my dad: don't worry, don't think about my dad's kids, I'm ready to go to the household responsibility, I promise not to be starving","Jakarta Pusat, DKI Jakarta",yaa maybe way doesnt want mom worry chosing mom dad jagain leaving said dad dont worry dont think dad kid im ready go household responsibility promise starving
2023-03-30 15:41:38+00:00,leksa,"Best of the country's country.
Neighbors next to the starvation of Kaga know ..

Emang Indonesia already ...",Indonesia,best country country neighbor next starvation kaga know emang indonesia already
2023-03-30 15:21:46+00:00,ayuuuuuu1996,"If there is no food + crisis in the cost, it is confused to be starving in the middle of the mall, but why is there a lot of food + whitening, confused,","Jakarta Utara, DKI Jakarta",food crisis cost confused starving middle mall lot food whitening confused
2023-03-30 14:37:54+00:00,mantoveer19,"Not much money to be stylish, but anyone I invite me out",Labuan Bajo,much money stylish anyone invite
2023-03-30 14:22:06+00:00,bong_tn,"@limuyww @foodfess2 is a long way to Africa, in Indo itself is still a lot of starving children","Yogyakarta, Indonesia",long way africa indo still lot starving child
2023-03-30 14:17:44+00:00,cyber_bot1,"Unwanted, unwanted, not observed, forgotten by people, it is a great pain, greater poverty than those who can't eat. We have to feel that. (Teresa's mother)",indonesia,unwanted unwanted observed forgotten people great pain greater poverty cant eat feel teresa mother
2023-03-30 14:00:04+00:00,tanyakanrl,"💚 CW // blind cats

Gais whose house is Sidoarjo, does anyone know the rescuecat team or puskeswan is it? This was my home. The condition is severe and I love to eat too and he starves bgt😭 https://t.co/wlzonqru9t",Indonesia,cw blind cat gais whose house sidoarjo anyone know rescuecat team puskeswan home condition severe love eat starves bgt
2023-03-30 13:55:42+00:00,priskilaworo,"Yaampun forgets the class, the cowboys, and the hunger..it's the culinary cow and buy the Ice Cone McD😭","Surakarta, Jawa Tengah",yaampun forgets class cowboy hungerits culinary cow buy ice cone mcd
2023-03-30 13:52:23+00:00,Anton14547454,"""May the world leaders realize that your job is to keep there not to be starving in this world. Action !!.""",Yogyakarta Indonesia,may world leader realize job keep starving world action
2023-03-30 13:48:27+00:00,Bayubnp,"@petyrus is that he is weak that he says ""Ummah"" many neighbors are not helped but even help other countries.",Indonesia,weak say ummah many neighbor helped even help country
2023-03-30 13:37:05+00:00,PuhHus,"@idextratime who is the Wayan Koster ?? Ohhhhh the dog from that Bali is yes ??? Look at her, the starchy dogs are hungry for bones ... it's wrong, but Nemis's dog is supportive ..","Balikpapan, Kalimantan Timur",wayan koster ohhhhh dog bali yes look starchy dog hungry bone wrong nemiss dog supportive
