Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2023-03-30 23:57:11+00:00,farhinsyirh,"Hate the sin not the man, I know it's just a recorded video, but it still amazes me that he still continues his prayer/ wrong despite tht, that ain't no easy feat, but yk with faith comes sacrifice, eg, org Most like the freehair, the hungry people are fasting,","Johore, Malaysia",hate sin man know recorded video still amazes still continues prayer wrong despite tht aint easy feat yk faith come sacrifice eg org like freehair hungry people fasting
2023-03-30 23:55:16+00:00,AhmadMuhyie,"@detikcom ah, really weak faith ...
Fasting Without Real Exams G Angu know ...
cm holding hungry and thirst can be delayed on the bed ... easy.
You should see people eating really so that it is good, because patience and sincerity are practiced not cm so the sweetener jargon ""status"" of whatsapp",Jember,ah really weak faith fasting without real exam g angu know cm holding hungry thirst delayed bed easy see people eating really good patience sincerity practiced cm sweetener jargon status whatsapp
2023-03-30 23:36:37+00:00,didut,"4. The second effect besides not needing coffee is that my eyes can be 'bright' all day hihihi .... this really feels really a mood of work maintained all day.

5. Somehow hunger feels also very reduced, so automatically instead now follow the intermittent fasting meal window.",Jakarta,second effect besides needing coffee eye bright day hihihi really feel really mood work maintained day somehow hunger feel also reduced automatically instead follow intermittent fasting meal window
2023-03-30 23:23:13+00:00,Alfnnr22,"@om_thafa Maa Unfortunately, just an immedicine in the afternoon hungry",Banjarbaru,maa unfortunately immedicine afternoon hungry
2023-03-30 23:05:43+00:00,rei_stefen,"When you are hungry, there are good people who are food for food",Kupang,hungry good people food food
2023-03-30 22:35:49+00:00,WangsaPersada,"@Denysiregar7 represents the hungry people, the DPR eating, representing the poor DPR take the money of the poor, representing the people who do not want to unpack office cro ', microphones are turned off, representing corrupt offices, to cover corruption cases of corruption cases","Kuta, Lombok, Indonesia",represents hungry people dpr eating representing poor dpr take money poor representing people want unpack office cro microphone turned representing corrupt office cover corruption case corruption case
2023-03-30 22:23:08+00:00,nocturrno87,"Fasting and fasting turns out the same, both of which are thirsty

Thirst holding thirst and hungry and holding back the uninhabited longing","Kota Surabaya, Jawa Timur",fasting fasting turn thirsty thirst holding thirst hungry holding back uninhabited longing
2023-03-30 22:18:21+00:00,BilalFahrur,"Fasting is a sign of justice.

Lha koq can? Yes, Allah obliges all Muslims to at least feel the hunger of the poor for one month. That is done to make everything fair. Ever felt hungry. That's the wonderful Islam. https://t.co/r9fdmjhzx9","Madiun, Indonesia",fasting sign justice lha koq yes allah obliges muslim least feel hunger poor one month done make everything fair ever felt hungry thats wonderful islam
2023-03-30 22:11:44+00:00,bismillahaussie,"Some people eat during the day on the fast and fasting people say ""What is tolerance?"". Surprisingly, his name is fasting to endure thirst and hunger, not to ask for people to drink/eat in front of us wkwk",Indonesia,people eat day fast fasting people say tolerance surprisingly name fasting endure thirst hunger ask people drinkeat front u wkwk
2023-03-30 22:08:31+00:00,hariankompas,"Ramadan is not just hungry and thirsty. This holy month of blessing is used by Muslims to do good to each other, one of which is to share.

https://t.co/fhkh476me5

 #Metropolitan #adadikompas","Palmerah, Jakarta",ramadan hungry thirsty holy month blessing used muslim good one share
2023-03-30 22:04:19+00:00,raflyauliar_,@undipmenfess when holding on to hunger and thirst is the fastest fasting test,Sidareja,holding hunger thirst fastest fasting test
2023-03-30 22:01:14+00:00,Fariszuone10,"So we have a fast fast for a month.

There is nothing we can except hunger and thirst alone.

Nauzubillah ...",Kuala Terengganu,fast fast month nothing except hunger thirst alone nauzubillah
2023-03-30 21:47:50+00:00,p_s1506,"Life before and after getting birth?

Baby: crying in bathing, hungry, sleeping, giggling, urinating 🤣
Mama: Sleep is not stressed enough as she cries and loses weight (before 79 kg after 65 kg)","Perlis, Malaysia",life getting birth baby cry bathing hungry sleeping giggling urinating mama sleep stressed enough cry loses weight kg kg
2023-03-30 21:44:25+00:00,Rahmakupink,"Bismillah.
Ramadan tips.
Holding anger during the fast can be done by turning it to positive activities.
Can also rest for a moment to withstand the emotions that are already overwhelmed.
Fasting Yuk Don't be angry ...
Fasting worship is more than just enduring hunger and thirst. https://t.co/onut6eg8ke","Lenteng Agung,Jkt",bismillah ramadan tip holding anger fast done turning positive activity also rest moment withstand emotion already overwhelmed fasting yuk dont angry fasting worship enduring hunger thirst
2023-03-30 21:40:33+00:00,rsyajaemcityx,"Do not blend hungry and drink it shay ..

Insight should be a look, and heart etc.",Indonesia,blend hungry drink shay insight look heart etc
2023-03-30 21:38:56+00:00,16060pages,can be hungry and thirsty but can not be sleepy,Indonesia,hungry thirsty sleepy
2023-03-30 21:32:06+00:00,Laparlaper,"@infenio @eyulihastin @asepjuandi @boo_oooo_o destiny is a reason we can understand and there is a reason we can't understand

When we know why, yes learn. We have anticipation, may be a good destiny.","Sragen, Indonesia",destiny reason understand reason cant understand know yes learn anticipation may good destiny
2023-03-30 21:32:04+00:00,shahmoses,"Me: ""Crazy hungry! X patiently, wait to open this ""

He: ""Ala u ni bb. I'm a little more right? ""

I: ""But dear, where are you waiting for the time to break the fast ... be patient again I wait for time with you know""

He: ""BB !! U ni right ""

Gitoooo! Happy Peeps!",Kuala Lumpur City,crazy hungry x patiently wait open ala u ni bb im little right dear waiting time break fast patient wait time know bb u ni right gitoooo happy peep
2023-03-30 21:16:14+00:00,dwiraha00586436,This bee is now an Incaran hungry lion of hungry lions who have all over the sheep meat from its handlers🦸‍♀️ https://t.co/9W886C15FY,,bee incaran hungry lion hungry lion sheep meat handler
2023-03-30 21:07:19+00:00,Sufi_Think,"The hunger reduces the blood in the liver. Until the liver becomes white and glowing, it causes the softness of the heart that is the key to the removal of the spirit (mukasyafah).
-Imam al-Ghazali-","Yogyakarta, Indonesia",hunger reduces blood liver liver becomes white glowing cause softness heart key removal spirit mukasyafah imam alghazali
2023-03-30 21:00:01+00:00,dompetdhuafaorg,"There are hadiths that many people fast but only get hungry & amp; thirst. Whereas the purpose of fasting is to increase devotion to Allah Almighty.

May we all fast just hold on to the thirst and hunger but also to keep the word in vain. https://t.co/zd9xldrunz","Jakarta, Indonesia",hadith many people fast get hungry amp thirst whereas purpose fasting increase devotion allah almighty may fast hold thirst hunger also keep word vain
2023-03-30 20:55:00+00:00,BudeSumiyati,Definition is far from hungry close to fart,Indonesia,definition far hungry close fart
2023-03-30 20:36:38+00:00,AkbarPutraP,"Many eating red rice, whole wheat, wheat bread, grains, and fruits and vegetables to be more hungry during fasting.",Indonesia,many eating red rice whole wheat wheat bread grain fruit vegetable hungry fasting
2023-03-30 20:23:32+00:00,YLasabuda,Between hungry the same mules mixed so one,"Bekasi Selatan, Indonesia",hungry mule mixed one
2023-03-30 20:18:02+00:00,nsprlbsybn,"Get used to eating, when fasting is hungry. But the acidic acid is mehantam😴",Langit,get used eating fasting hungry acidic acid mehantam
2023-03-30 20:11:33+00:00,kompascom,Filling foods can counteract hunger and help us eat less in the next hour. https://t.co/o8lghvr13x,Jakarta,filling food counteract hunger help u eat le next hour
2023-03-30 20:05:56+00:00,namatchataro,"Really from holding back hunger and thirst, Sijeuni is more difficult to hold the temptation of a Lee Jeno Blonde + Hair up😭😭🙏🏻 https://t.co/kmmb2jl7en",Indonesia,really holding back hunger thirst sijeuni difficult hold temptation lee jeno blonde hair
2023-03-30 19:30:06+00:00,yahyayusronn,"The hardest thing is to read this Raceto revision with hunger and sleepy but Eman Eman when he wants to sleep this hour, Asu https://t.co/xr4fdzkmgc","Boyolali, Indonesia",hardest thing read raceto revision hunger sleepy eman eman want sleep hour asu
2023-03-30 18:57:10+00:00,liyanaliyana,Hungry camne you can get rid of it 🙃🙃🙃,"Kajang, Selangor",hungry camne get rid
2023-03-30 18:46:00+00:00,paniiikgak,"KL sleepy and hungry comes at the same time, where are you doing?",Indonesia,kl sleepy hungry come time
2023-03-30 18:44:57+00:00,whotfisfengieee,hungry but there's suhoor,Malaysia,hungry there suhoor
2023-03-30 18:40:00+00:00,wahyu_Rdhani,"I'm not sick, I'm really2 fine. But my amydala needed stabilizer, is a like noon and not awkward and awkward and you feel full of confidence, but at the same time your stomach, your organs sound, as the hungry stomach sounds. It's Madefaka!","Malang, Indonesia",im sick im really fine amydala needed stabilizer like noon awkward awkward feel full confidence time stomach organ sound hungry stomach sound madefaka
2023-03-30 18:07:27+00:00,ediedot108,"@Belok_dong @erickthohir let the hungry dogs bark at the failure of the loby on the important FIFA as he tried to maximize, dad was just a victim of the polyitis.",", Indonesia",let hungry dog bark failure loby important fifa tried maximize dad victim polyitis
2023-03-30 17:15:10+00:00,a_inspirasi,Fasting is not to endure hunger & amp; Thirst #shorts https://t.co/hvdxmyk2va via @youtube,Makassar,fasting endure hunger amp thirst via
2023-03-30 17:00:13+00:00,syfqhbchk,Not me at this hour scrolling Khairul Aming has a recipe and then hungry for your own video. hahahahah,"Kota Kinabalu, Sabah",hour scrolling khairul aming recipe hungry video hahahahah
2023-03-30 16:59:23+00:00,_eiiirene,Hungry but not eating rice. So its a must.,28📍🇸🇬🇲🇾,hungry eating rice must
2023-03-30 16:54:27+00:00,ridoyando201,"@budibongg manteb bang, can deliver a bang bang, wait for a hungry father but there is no one to joke.",Jawa Tengah Indonesia,manteb bang deliver bang bang wait hungry father one joke
2023-03-30 16:48:07+00:00,xxxmis_shaxxx,"Back home I went to TDO. Not hungry. Wake up to be aware of the sheets. That's the little bit of a ghost. Because I'm not late. But it's not here to do it because it's wrong. I wash. Of course I can sit in the carpet just to berowel. Forget about wearing a pad

Together again.","Petaling Jaya, Selangor",back home went tdo hungry wake aware sheet thats little bit ghost im late wrong wash course sit carpet berowel forget wearing pad together
2023-03-30 16:40:05+00:00,StevenXing12,"@gadingdwiky @wildanshaquille 😯😯Lapar what's hungry
It's okay to be ya😂😂😂
Delicious delicious bobok syantik","DKI Jakarta, Indonesia",lapar whats hungry okay ya delicious delicious bobok syantik
2023-03-30 16:32:51+00:00,dearsln,The simplest is the simplest but the stomach is not hungry during fasting https://t.co/ym5tefo83y,"Selangor, Malaysia",simplest simplest stomach hungry fasting
2023-03-30 16:27:58+00:00,sharatulaqma,@najaatiqah weyh knp see neighbors as I'm hungry now 🤣,,weyh knp see neighbor im hungry
2023-03-30 16:05:47+00:00,YasminSofea,Hungry. Earlier Daus had bought the flour. But i is scared to go down alone 🥲,Malaysia,hungry earlier daus bought flour scared go alone
2023-03-30 15:59:00+00:00,dailyofkei,"After all the advice from the meal was just in the meal, and he didn't vote again. But I'm hungry again",Indonesia,advice meal meal didnt vote im hungry
2023-03-30 15:43:56+00:00,yulisone12,@kakakrl please viralin family May xiang and her son at the National Zoo's zoo as a small bed and rarely give bamboo food because hungry they have to eat grass and they are always on the way using the wrecking tool https: // t .co/7a0tnsegct,"Jakarta Utara, DKI Jakarta",please viralin family may xiang son national zoo zoo small bed rarely give bamboo food hungry eat grass always way using wrecking tool coatnsegct
2023-03-30 15:43:07+00:00,alhafizhS,"Night 09 Ramadan:
Make the worship done not only as a prayer movement or to hold hunger and thirst in fasting, but to be essential to be a better person and to hope for the mistakes/sins made to be dropped.",North Sumatra,night ramadan make worship done prayer movement hold hunger thirst fasting essential better person hope mistakessins made dropped
2023-03-30 15:23:40+00:00,AlifMuamin,Between sleepy boundaries and hunger.,"Selangor, Malaysia",sleepy boundary hunger
2023-03-30 15:21:56+00:00,frhnrsln_,"Want to open a hungry company ?? adoii melurrr 😂

#",Malaysia,want open hungry company adoii melurrr
