Datetime,Username,Translated_Tweets,Location,Cleaned_Tweets
2023-03-30 21:07:28+00:00,ariomalv,"@pandji can be eaten to bring some supplies to salt bae so more donk, because usually the expensive resto can bring food from the outside, and even eat the supplies there 🫣 his sultan sultan sultan",semarang,eaten bring supply salt bae donk usually expensive resto bring food outside even eat supply sultan sultan sultan
2023-03-30 21:05:35+00:00,copyraharja,"@Wendysonle @diethingy if it is difficult to get daily protein from tree foods, pack whey protein. Just choose, want to pack whey type,

- Concentrate (cheap variant),
- Isolate (expensive Viran).
- Hydrolize (more expensive variants).

There is a price, there is a look.","Tuban, Indonesia",difficult get daily protein tree food pack whey protein choose want pack whey type concentrate cheap variant isolate expensive viran hydrolize expensive variant price look
2023-03-30 17:42:31+00:00,GoHandaya,"@Pandji The Saltbae classmate will be charged a corkage charge (fines to bring food from the outside), it can be more expensive than the shady you bring. How could you?",Indonesia,saltbae classmate charged corkage charge fine bring food outside expensive shady bring could
2023-03-30 16:47:31+00:00,arshadazme,The origin of the food is now expensive,"Johore, Malaysia",origin food expensive
2023-03-30 14:54:40+00:00,ThiaNadra95,RM100 is 4 days after. The food in Putrajaya is really expensive.,"Selangor, Malaysia",rm day food putrajaya really expensive
2023-03-30 14:38:27+00:00,PritaPDW,Expensive food 🐠 https://t.co/mdnsj5tyoo,"Sukabumi, Indonesia",expensive food
2023-03-30 14:20:09+00:00,desymiari,"@laptopnyakak price, more expensive kak 🙂
The menu beda, there are some of the normal people.
There is food, snacks mean, if you have a normal chatime there is.
There are plenty of seats, if you have a normal chatime. There is a rare and rare and rare.","Denpasar, Bali ",price expensive kak menu beda normal people food snack mean normal chatime plenty seat normal chatime rare rare rare
2023-03-30 12:10:41+00:00,zairirahim,"I want to see the devil pure time this month's fasting bazaar and buy the face of expensive food traders to die and not taste. Earlier, the cyber bazaar wanted the fried popcorn once in a while.","Dengkil, Sepang, Selangor",want see devil pure time month fasting bazaar buy face expensive food trader die taste earlier cyber bazaar wanted fried popcorn
2023-03-30 11:01:20+00:00,sariBGT_,"Healthy food is not expensive and difficult to find. Try shopping in traditional markets, there are definitely many cheap fresh vegetables and fruits.","Denpasar, Bali",healthy food expensive difficult find try shopping traditional market definitely many cheap fresh vegetable fruit
2023-03-30 10:59:02+00:00,ThIsIs_Zharif,Bazaar food is really expensive,"Kuala Lumpur, Malaysia",bazaar food really expensive
2023-03-30 10:12:37+00:00,EnakDidalam_,"I'm sorry I used to be invited to a place of luxury, eating expensive food, gk ever loved ""gifts and rarely love time to meet, but I do not want to be able and gk, I just want you to feel good life with me later .❤️ https://t.co/kibjylpp6v",Bogor,im sorry used invited place luxury eating expensive food gk ever loved gift rarely love time meet want able gk want feel good life later
2023-03-30 09:12:46+00:00,LulaFch,@tayogaaa_ What is the expensive dong? Gapernah eats expensive food: (,"Kalimantan Tengah, Indonesia",expensive dong gapernah eats expensive food
2023-03-30 09:05:25+00:00,nverad,"The same food, the same seller, the price and the Ongkir is more expensive at G*Food than at Sy *** Food",Indonesia,food seller price ongkir expensive gfood sy food
2023-03-30 08:34:28+00:00,kosmo_online,"Who is not disappointed, the food is now expensive to be damaged https://t.co/lvlccmxdwa",Malaysia,disappointed food expensive damaged
2023-03-30 06:58:55+00:00,aimanrashidd,In Malaysia these billionaires do not want to be this rice tokey. The main source of food. During the hold of the price there is no expensive rice price as the other basic food prices are not monopoly (but are held by cartels). Then you can see the price of rice,"Kuala Berang, Terengganu",malaysia billionaire want rice tokey main source food hold price expensive rice price basic food price monopoly held cartel see price rice
2023-03-30 04:10:40+00:00,seawaterwitch,There are many reasons. Resto is expensive. K*C and M*d aja don't even bring food from the outside. It is considered a netijen son who is not going to be used.,INDONESIA,many reason resto expensive kc md aja dont even bring food outside considered netijen son going used
2023-03-30 03:30:33+00:00,dalima_riyanti,"It looks like expensive food, more delicious mommy",indonesia,look like expensive food delicious mommy
2023-03-30 02:56:24+00:00,Anisafbrny,"Why is the price of food in Bekasi more expensive than the price of food at the pic? But he thinks it will be cheaper, but in fact it is",Indonesia,price food bekasi expensive price food pic think cheaper fact
2023-03-30 02:28:38+00:00,YuriJenn,@fmtoday is not good enough to bring the white mamat culture here .. let them with their imagination .. realize that they have no more expensive food from us who usually have .. Vegan mlm 😆,"Miri, Sarawak",good enough bring white mamat culture let imagination realize expensive food u usually vegan mlm
2023-03-30 01:54:42+00:00,diocchie,"Fun yourself by eating favorite foods, Nge Drakor, collecting tmn2 etc. reduces the value of a mother who is living in life during giving birth, whose struggle may be more expensive than 10rban box milk.",Indonesia,fun eating favorite food nge drakor collecting tmn etc reduces value mother living life giving birth whose struggle may expensive rban box milk
2023-03-29 21:16:19+00:00,errrshit,Expensive food seasoning bgt yes,Indonesia,expensive food seasoning bgt yes
2023-03-29 16:13:02+00:00,2Darmansu,"Ga is full 😢 ...
Buy food at the sponsorship booth. Any expensive.

Shadow of other happiness from Pildun U-20

Failed but","Jakarta Selatan, DKI Jakarta",ga full buy food sponsorship booth expensive shadow happiness pildun u failed
2023-03-29 15:30:57+00:00,nxnasya,So far the food that has been bought in the bazaar so far is all delicious.,"Kajang, Selangor",far food bought bazaar far delicious
2023-03-29 13:45:00+00:00,SinarOnline,"#Icymi The source of food prices in expensive Ramadan bazaars

https://t.co/k3ro1ambfj",Malaysia,source food price expensive ramadan bazaar
2023-03-29 12:46:05+00:00,PeriJahatz,@Foodfess2 if you want to be good at all. I want to buy an important sweet food pengen can be eaten and buy cheap. The question is that the cheap cake is expensive to close the eyes too.,"Jakarta Pusat, DKI Jakarta",want good want buy important sweet food pengen eaten buy cheap question cheap cake expensive close eye
2023-03-29 12:45:19+00:00,alvianoszta,"Foods/drinks that used to eat often eat but now they are not/rare.

Gue: Sour Sally. It's expensive and there is no promo now :(","Jakarta, Indonesia",foodsdrinks used eat often eat notrare gue sour sally expensive promo
2023-03-29 10:56:53+00:00,detikcom,This woman regrets finding the price of food at the fast burger restaurant is too expensive. The reason is that they charged the 196 thousand rp for a non -potato burger! https://t.co/xltj0amvti,"Jakarta, Indonesia",woman regret finding price food fast burger restaurant expensive reason charged thousand rp non potato burger
2023-03-29 10:44:37+00:00,nellisaaa,"Hold on to the work of the mcm mcm energy collar, the push of this upsale, the food of the Genting ofCozz is expensive but not worth it the result. Good job below. Cust tkyah ckp la lining ceman, sick dh. Night Shift Schedule mcm 10 years","Perak, Malaysia",hold work mcm mcm energy collar push upsale food genting ofcozz expensive worth result good job cust tkyah ckp la lining ceman sick dh night shift schedule mcm year
2023-03-29 10:26:48+00:00,mieylaabdullah,"I am lazy to cook, but because of the expensive bazaar food xmasa the mind xsedap, it is exposed to it ...",Malaysia,lazy cook expensive bazaar food xmasa mind xsedap exposed
2023-03-29 10:00:59+00:00,nrhanimlee,@Akeemsharyzal is not interested in bazaar food as all prices are too expensive 🥲,Shah Alam,interested bazaar food price expensive
2023-03-29 08:50:35+00:00,ace_rais,Able to cook in Jah's house. Expensive outdoor food Po ny,,able cook jahs house expensive outdoor food po ny
2023-03-29 07:47:26+00:00,thereportermy,Expensive food prices in Ramadan bazaars. Tenet's survey found that many said bazaar traders sell food at the price of the price. 😲 https://t.co/o56yvl8vz9,Malaysia,expensive food price ramadan bazaar tenet survey found many said bazaar trader sell food price price
2023-03-29 07:04:12+00:00,ASomchair,"@jllmisai things are expensive, as if they are playing this food experiment, they put the ingredients in the importance of it ... try to sell the food from the food ... for example, and buy the pop, Giant size, core has asparagus… be expensive…",Kuala Lumpur,thing expensive playing food experiment put ingredient importance try sell food food example buy pop giant size core asparagus expensive
2023-03-29 06:45:00+00:00,sinarpremium,"The source of food prices in the Ramadan bazaar is expensive

#sinarharian #sinarpremium #sewatapak #bazarramadan #hargamahal

https://t.co/u3oa6f2cql","Shah Alam, Selangor ",source food price ramadan bazaar expensive
2023-03-29 05:17:49+00:00,Shinjiii_Lee,"@indomyfess ak svt kmren with the yellow in love smilan.
I don't know what to do, not to eat, not to stand food.
Expensive prices should be essential",Indonesia,ak svt kmren yellow love smilan dont know eat stand food expensive price essential
2023-03-29 03:30:36+00:00,m_aymanahmad,The food at the bazaar is now very expensive. PREMIUM PRICE TP QUALITY HAOKKK,"Selangor, Malaysia",food bazaar expensive premium price tp quality haokkk
2023-03-29 02:40:13+00:00,naziffuadi,@Baseanakfk klo in sardjito is definitely because of the price of food in its cafeteria,medan,klo sardjito definitely price food cafeteria
2023-03-29 00:24:18+00:00,GadgetCornerSVC,"@__dtm__ Why don't you just have his wives and his friends to his place?
You don't need to pay. Bring the tent so that GA has to pay the accommodation, do not forget to cook it yourself. All the Diabisin Funds at the expensive restaurant love the price and food promo.",Indonesia,dont wife friend place dont need pay bring tent ga pay accommodation forget cook diabisin fund expensive restaurant love price food promo
2023-03-29 00:15:54+00:00,TiadaJejak88,"@_egoisthicc Usually I reward myself to be happy .... even around things, for example eating food that I want x can buy time xda work ... Reward self -needed with expensive things ...","Kuantan, Pahang",usually reward happy even around thing example eating food want x buy time xda work reward self needed expensive thing
2023-03-28 23:33:29+00:00,kerengga77,@kosmo_online this is lazy to je bazaar ramadhan .... crowded ... expensive and fast food is food,"Melaka, Malaysia",lazy je bazaar ramadhan crowded expensive fast food food
2023-03-28 22:59:10+00:00,afyanIFP,"Many complain about food prices at expensive Ramadan bazaars.

By right if expensive, don't buy. Find another Ramadan bazaar.

This is a powerful formula that can lower the price of food in the Ramadan bazaar.",Gombak,many complain food price expensive ramadan bazaar right expensive dont buy find another ramadan bazaar powerful formula lower price food ramadan bazaar
2023-03-28 22:11:56+00:00,khairilanuar_15,"Bazzar Ramadan is now bored
1- In 50 traders 40% of the same water selling the same
2- Many traders are not traders. Suddenly selling. It is a food for RM 10 and john bread contains cucumber and sauce.
3- Bazzar rental sites are too expensive Malay prices.",batu pahat,bazzar ramadan bored trader water selling many trader trader suddenly selling food rm john bread contains cucumber sauce bazzar rental site expensive malay price
2023-03-28 17:34:12+00:00,lialaikha,Ramadan bazaar is expensive if it tastes good & amp; quality food. This is an expensive quality of not being patient,Malaysia,ramadan bazaar expensive taste good amp quality food expensive quality patient
2023-03-28 16:41:04+00:00,NikSyaminAmira,"This Saturday husband invites bazaar food, why is it hard to agree. With the price of the food, the food is not good, the hygiene is not guaranteed to be

Aiyooo is hard to have overthinking","Alor Star, Kedah",saturday husband invite bazaar food hard agree price food food good hygiene guaranteed aiyooo hard overthinking
