Datetime,Username,Text,Cleaned_Tweets
2/3/2023,sahil ??,@vegchicken69 i can afford this shit and i can literally buy you mf. don't need your broke ass to tell me what to spend my money on.,afford shit literally buy mf dont need broke as tell spend money
2/3/2023,Shristy Sharma (She/her),@dr_vee95 I swear my doctor advised me an HPV and she told 7k per shot and 3 shots in a span of 3 months I was like ma'am I can't afford that,swear doctor advised hpv told k per shot shot span month like maam cant afford
2/3/2023,Hon Elvis Mugari ????,"People can't afford life.Diseases& death is at every door step. Mnangagwa  continue to perpetuate a litany of illegalities &constitutional violations. Human Rights activists, Opposition leaders, Journalists, Laywers,vendors,writers,& student leaders in Zim are under attack. https://t.co/YQwUyq0Wp0",people cant afford lifediseases death every door step mnangagwa continue perpetuate litany illegality constitutional violation human right activist opposition leader journalist laywersvendorswriters student leader zim attack
2/3/2023,Prashant Singh,This Guy tells us we can't even afford safety belts in the construction of Road & Highway .. Salute to our #NHAIINDIA #Jamnagar #mcjamnagar #jmccommissioner https://t.co/RIzMJHIkeP,guy tell u cant even afford safety belt construction road highway salute
2/3/2023,Certified Yhite Boy ??????????????????,@Its_Alf We’re finished nation can’t even afford a lineup Hong Kong and Taiwan can afford,finished nation cant even afford lineup hong kong taiwan afford
2/3/2023,WheeliePhiloslothical,"Even if you can't afford to help someone financially, reTweets are free https://t.co/kNEmgJkQYy",even cant afford help someone financially retweets free
2/3/2023,WheeliePhiloslothical,"Even if you can't afford to help someone financially, reTweets are free (currently....) https://t.co/pRu9xYK1vO",even cant afford help someone financially retweets free currently
2/3/2023,Diane Connolly,"@mickhaydn @joshuabadge @fictillius How about someone like me? I receive no pension as my daughter has too much money so I don’t qualify. However I don’t get paid for my care, well $140 a fortnight. So I don’t qualify for anything. I can’t afford anything. Luckily I have a sympathetic Dr.",someone like receive pension daughter much money dont qualify however dont get paid care well fortnight dont qualify anything cant afford anything luckily sympathetic dr
2/3/2023,Alex Oi | in HCMC ??????????????????,"Teachers aren’t paid enough or appreciated enough, society can’t function without them but they can’t afford rent. Joke. https://t.co/2hKIlvsIPm",teacher arent paid enough appreciated enough society cant function without cant afford rent joke
2/3/2023,uya anilahs,"@feez3579 @NewsBFM I'm not taking sides either,  But what does that tell people of our society and religion? We can't even afford them what's left of their right to barely live. Hukum senang. Kan?",im taking side either tell people society religion cant even afford whats left right barely live hukum senang kan
2/3/2023,Wiz.\rd of Woy Woy,"Am I so out of touch?
No, it’s the workers who can’t afford rent who are wrong!
- @Kevinandersonmp 

#auspol #nswpol https://t.co/S6l4CHCHQK",touch worker cant afford rent wrong
2/3/2023,Graham Heathcote ????????,@7Veritas4 @thedesertginger Is that why you still can’t afford a haircut?,still cant afford haircut
2/3/2023,???????? ????????,@PMOIndia @smritiirani Honorable PM SIR PLEASE REVERT THE LPG HIKE WE CAN'T AFFORD IT. ALREADY WE ARE STRUGGLING TO LIVE .PLEASE SIR .,honorable pm sir please revert lpg hike cant afford already struggling live please sir
3/3/2023,?????????? ?????????? ????????????????????????????,"@Shapur1020 I can't afford either and I'm a Third World villager who's never been to university

Keep on continuing with the ??ery",cant afford either im third world villager who never university keep continuing ery
3/3/2023,Haider Kiani,@lahoreqalandars I'm Hafiz Haider kiani from Lahore I study in BBA I need a iphone 14 pro I belong to a middle class family ?? I can't afford to buy this ?? can you gift me I pray for you ?????? jazakhla ??,im hafiz haider kiani lahore study bba need iphone pro belong middle class family cant afford buy gift pray jazakhla
3/3/2023,rhnharff,Weiii lapar yakmat! Can I just get food nutritions by drip? I can’t afford to chew foods rn! ??,weiii lapar yakmat get food nutrition drip cant afford chew food rn
3/3/2023,Rozy Ghaffar,"I can proudly say, when my dad was offered the services of a MARA officer writing a letter of recommendation for me, he said “I can afford to send her. My daughter will not take that opportunity from someone who can’t afford it”. My father my hero. https://t.co/SGBJ8Ef5DK",proudly say dad offered service mara officer writing letter recommendation said afford send daughter take opportunity someone cant afford father hero
3/3/2023,Ankit Yadav,"@TechnicalGuruji #Bologuruji Sir I am a jee aspirant aur mujhe  online lectures ke liye tab chahiye please sir give me any tab becoz I can't afford , sir meri exam h april me please sir pichle QNA me bhi request ki thi pr aapne consider hi nahi kiya please team ye msg guruji tak pahuchaao https://t.co/5NQ2EMt4i1",sir jee aspirant aur mujhe online lecture ke liye tab chahiye please sir give tab becoz cant afford sir meri exam h april please sir pichle qna bhi request ki thi pr aapne consider hi nahi kiya please team ye msg guruji tak pahuchaao
3/3/2023,??? ????? - ? ????? ??????,It’s not rocket science. If you don’t have more than $3mil in super you’re not affected. If you do have more than $3mil you can afford to receive a smaller tax concession whilst still getting a concession on the marginal rate of tax https://t.co/h1RyD3I2jr,rocket science dont mil super youre affected mil afford receive smaller tax concession whilst still getting concession marginal rate tax
3/3/2023,Wolfram-Jaymes Keesing (they/them) ??????,@_budgie As a hot mess he can't afford who grew up in Australia,hot mess cant afford grew australia
3/3/2023,Abdullah Dayo,"Wife of my dearest friend in Karachi is suffering from breast cancer. They have already spent whatever saving they had but now can't afford the treatment.

My humble request to @BBhuttoZardari and @MuradAliShahPPP to save the life of my friend's wife. ??

@BakhtawarBZ @AseefaBZ",wife dearest friend karachi suffering breast cancer already spent whatever saving cant afford treatment humble request save life friend wife
3/3/2023,Shikha Pruthi Gupta?????,"How mean ??!!
Decide kar lo dono... I can't afford k kahin lengha ka size ya fashion change ho jaye ... https://t.co/0aXXx1xXq3",mean decide kar lo dono cant afford k kahin lengha ka size ya fashion change ho jaye
3/3/2023,Pat O'Neill,"Keep it up Pete…You’re on a winner…all those whiny woke leftys’ that can barely afford to rent, can’t afford a house, can’t afford health insurance, getting below-inflation pay rises whilst profits soar….you know, all those under40’s with little Super…they love you!!
#auspol https://t.co/z0389k3FPV",keep peteyoure winnerall whiny woke lefty barely afford rent cant afford house cant afford health insurance getting belowinflation pay rise whilst profit soaryou know unders little superthey love
3/3/2023,Mriganka Das,"Yes absolutely, sympathy makes a person weak and Founders can't afford to be weak. ?? https://t.co/9ySgNhhF5F",yes absolutely sympathy make person weak founder cant afford weak
3/3/2023,S M Faris,"@priya_unity @teamsrkfc Well yeah i do have money but for me its a wastage, instead of buying tickets for someone feed someone who can't afford
Thanks ????",well yeah money wastage instead buying ticket someone feed someone cant afford thanks
3/3/2023,Plevdog ??,"@hondacb900f4 @RChrisShipley @TedNugent Unfortunately the rest of the world says your wrong. Food is required to support life, guns isn't. Grow up and have some compassion to those who can't afford to eat.",unfortunately rest world say wrong food required support life gun isnt grow compassion cant afford eat
4/3/2023,Blake Scott,"When my body knows I can't afford to eat 3 meals a day, It gain 2 kgs per day instead...

I've gone from 93 to 100 kilos in 4 days, the only difference is I walk of mornings now?

fuckin aight sounds fair... ??",body know cant afford eat meal day gain kg per day instead ive gone kilo day difference walk morning fuckin aight sound fair
4/3/2023,Annie E @Chiefdisrupter@aus.social,"@downundertalk @MedicareGov Well they can’t afford private so I think for low income yes. My daughter is 25, I paid for the dentist $1200 & she paid $850 for anaesthetist. We could afford that together but so many others can’t.",well cant afford private think low income yes daughter paid dentist paid anaesthetist could afford together many others cant
