Datetime,Username,Cleaned_Tweets,Location,Polarity,Subjectivity,Sentiment
27/1/2023 14:32,Don Dale,buying forget review first guy feel want comment buying know fake food expensive,,-0.250000000,0.677777778,Negative
27/1/2023 19:04,Iliani,food security research going explode issue end example new rafizi docking expensive food one food security issue,,-0.181818182,0.577272727,Negative
29/1/2023 8:28,Naim Zaini,context slaughtered food muslim consideration price cheap chicken bought heart sure halal level willing buy little chicken long feel confident observation chatting old people,,0.034722222,0.685802469,Positive
29/1/2023 13:29,??,raise food price wet good expensive sorry guy,,-0.100000000,0.675,Negative
30/1/2023 21:52,Alinosourawr,che restaurant sek send food x order food drink order pn dkt cashier forced pay plaque pricey rm marhein je rm fried vermicelli expensive angry sb stop stress,,-0.433333333,0.633333333,Negative
31/1/2023 13:33,#IWantToThankMe,food malaysia always scam going expensive place je raso shopping malaysia dr mersing rompin food,,-0.500000000,0.7,Negative
31/1/2023 19:47,????,know much paycheck expensive food going expensive,,-0.266666667,0.533333333,Negative
31/1/2023 22:21,iam.fuzy ???? | Blogger | GW | #umifuzy,get fenced forest pretty calm price food expensive fatty rice portion big know later,,-0.025000000,0.491666667,Negative
1/2/2023 1:27,sehidangrasa29,one reason price food near store expensive try see thing sale near grab food panda shopee food platform expensive,,-0.200000000,0.55,Negative
1/2/2023 16:41,Azah,expensive expensive thailand much food cheap,,-0.100000000,0.575,Negative
2/2/2023 16:33,xeraheadstrong??,hahahahahahah opened diner chat poor trader people sorry expensive ask government lower price government dropped price food pity trader originally national dispute thing arguing,,-0.225000000,0.65,Negative
25/2/2023,Pup Fiction,afternoon beach low tide crazy zoomies first time ever ran water knee deep chase housemate swimming definitely le scared water found fish skeleton ate,,-0.070000000,0.486666667,Negative
25/2/2023,Miraa Ibrahim,dating husband long eating steak dinner last night best many people last came last year year price come whatever thank delicious food,,0.350000000,0.342857143,Positive
25/2/2023,"oops, you just",hungry ate since morning,,0.000000000,0,Negative
25/2/2023,susi,wah fk hungry stomach scolding spanish,,0.000000000,0,Negative
26/2/2023,Alanna Eloa,hungry shower brisk walk grocery shop later middle night opening hour mamak restaurant also hour cash money,,0.000000000,0,Negative
26/2/2023,Harry Adha,erik need cup win get squad hungry success ready next one next one,,0.260000000,0.18,Positive
26/2/2023,Unggun Untuk Uni ?? ™️,need lot donation child hunger people wherever,,0.000000000,0,Negative
27/2/2023,BrenWah™ ????,player tasted victory feel hungry platform unleash inner beast start new era begun,,0.068181818,0.310606061,Positive
28/2/2023,SK,hungry ordered chicken double thigh burger supper,,-0.300000000,0.475,Negative
28/2/2023,K. Huang,bear standing side bridge bear seen milo looked hungry milo terrified know bear started walk towards slowly growling menacingly milo thought fast remembered brought along cheese,,-0.366666667,0.666666667,Negative
28/2/2023,bob yap,jesus said love feed lamb sometimes journey tough fell got hurt world thing world need good samaritan hungry n fed thirsty put cup lip,,0.270370370,0.677777778,Positive
28/2/2023,Alanna Eloa,time passport australia passport need worry much world id loved hungry money enoughnot buy food said healthy protein bar fresh blended fruit veggie nut bean advisable pool part,,0.425000000,0.5,Positive
28/2/2023,Fabian Ding Atikah,half passed dead waiting ayah get ready next adventure barcelona time guess maybe barcelona tired sleepy hungry woke nap suddenly surprise sleep photo taken,,-0.094444444,0.377777778,Negative
28/2/2023,Abg Bae??,omg dayah piece empty bread last hour make moment,,-0.050000000,0.283333333,Negative
28/2/2023,Melly_11,since transfer ship every night starving starving,,0.000000000,0,Negative
28/2/2023,Daniel ????????,takpe awakslow nanti datang balik selera make sure skip meal,,0.500000000,0.888888889,Positive
1/3/2023,Alanna Eloa,must know emergency hospital nearest best hungry person send tell local know send emergency research keep feeding time,,0.500000000,0.15,Positive
1/3/2023,Diogenes dotes Dior diodes,breakfast done yakitora rice fuck hungry,,-0.400000000,0.6,Negative
1/3/2023,Tuti Sutinadewi,biggest fear happening lot ulcer aisyahs mouth nothing cry pain helpless hungry eat drink milk hang baby,,0.000000000,0,Negative
1/3/2023,Elfy Hassan™,raining whole day raining right hungry order food delivery,,0.242857143,0.467857143,Positive
